metric_family,module,schema_table,current_role,duplication_risk,required_definition_owner,consolidation_action
Generic metric,Source,public.source_contract_evidence_metrics,"Metric, KPI, value, or outcome measurement substrate.",Medium,shared metric definition registry; domain observations remain local until published,"Separate metric definition from observation; reconcile units, period, tenant, and source lineage before consumption."
to_be_mapped_after_live_profile,Source,public.source_meeting_outcomes,"Metric, KPI, value, or outcome measurement substrate.",Medium,shared metric definition registry; domain observations remain local until published,"Separate metric definition from observation; reconcile units, period, tenant, and source lineage before consumption."
knowledge.value_flow_step,Source,public.source_value_chain,"Metric, KPI, value, or outcome measurement substrate.",Medium,shared metric definition registry; domain observations remain local until published,"Separate metric definition from observation; reconcile units, period, tenant, and source lineage before consumption."
knowledge.value_driver_or_lever,Source,public.source_value_levers,"Metric, KPI, value, or outcome measurement substrate.",Medium,shared metric definition registry; domain observations remain local until published,"Separate metric definition from observation; reconcile units, period, tenant, and source lineage before consumption."
to_be_mapped_after_live_profile,Source,public.source_value_lines,"Metric, KPI, value, or outcome measurement substrate.",Medium,shared metric definition registry; domain observations remain local until published,"Separate metric definition from observation; reconcile units, period, tenant, and source lineage before consumption."
knowledge.value_state_or_readiness,Source,public.source_value_states,"Metric, KPI, value, or outcome measurement substrate.",Medium,shared metric definition registry; domain observations remain local until published,"Separate metric definition from observation; reconcile units, period, tenant, and source lineage before consumption."
to_be_mapped_after_live_profile,Tower,cio_tower.mart_value_funnel,Derived read model or reporting projection.,Medium,shared metric definition registry; domain observations remain local until published,"Separate metric definition from observation; reconcile units, period, tenant, and source lineage before consumption."
Generic metric,Tower,cio_tower.measure_results,Persisted module object requiring owner review.,Medium,shared metric definition registry; domain observations remain local until published,"Separate metric definition from observation; reconcile units, period, tenant, and source lineage before consumption."
knowledge.metric_definition,Tower,cio_tower.measures,Persisted module object requiring owner review.,Medium,shared metric definition registry; domain observations remain local until published,"Separate metric definition from observation; reconcile units, period, tenant, and source lineage before consumption."
knowledge.outcome,Tower,public.ai_control_agent_outcomes,"Metric, KPI, value, or outcome measurement substrate.",Medium,shared metric definition registry; domain observations remain local until published,"Separate metric definition from observation; reconcile units, period, tenant, and source lineage before consumption."
Operational performance,Tower,public.ai_control_dora_metrics,"Metric, KPI, value, or outcome measurement substrate.",Medium,shared metric definition registry; domain observations remain local until published,"Separate metric definition from observation; reconcile units, period, tenant, and source lineage before consumption."
knowledge.contract,Tower,public.ai_control_spend_contracts,Risk/control governance or monitoring substrate.,Medium,shared metric definition registry; domain observations remain local until published,"Separate metric definition from observation; reconcile units, period, tenant, and source lineage before consumption."
to_be_mapped_after_live_profile,Tower,public.dora_baselines,Persisted module object requiring owner review.,Low,shared metric definition registry; domain observations remain local until published,"Separate metric definition from observation; reconcile units, period, tenant, and source lineage before consumption."
to_be_mapped_after_live_profile,Tower,public.tower_budget_rollups,Derived read model or reporting projection.,Medium,shared metric definition registry; domain observations remain local until published,"Separate metric definition from observation; reconcile units, period, tenant, and source lineage before consumption."
to_be_mapped_after_live_profile,Tower,public.tower_cloud_cost,Persisted module object requiring owner review.,Medium,shared metric definition registry; domain observations remain local until published,"Separate metric definition from observation; reconcile units, period, tenant, and source lineage before consumption."
Operational performance,Tower,public.tower_dora_metrics,"Metric, KPI, value, or outcome measurement substrate.",Medium,shared metric definition registry; domain observations remain local until published,"Separate metric definition from observation; reconcile units, period, tenant, and source lineage before consumption."
Cost / spend / budget,Tower,public.tower_program_financials,Persisted module object requiring owner review.,Medium,shared metric definition registry; domain observations remain local until published,"Separate metric definition from observation; reconcile units, period, tenant, and source lineage before consumption."
to_be_mapped_after_live_profile,Tower,public.tower_spend_realism_audit,Persisted module object requiring owner review.,Medium,shared metric definition registry; domain observations remain local until published,"Separate metric definition from observation; reconcile units, period, tenant, and source lineage before consumption."
Cost / spend / budget,Tower,public.tower_vendor_spend,"Vendor, contract, or commercial-evidence substrate.",Medium,shared metric definition registry; domain observations remain local until published,"Separate metric definition from observation; reconcile units, period, tenant, and source lineage before consumption."
to_be_mapped_after_live_profile,Tower,public.value_states,"Metric, KPI, value, or outcome measurement substrate.",Medium,shared metric definition registry; domain observations remain local until published,"Separate metric definition from observation; reconcile units, period, tenant, and source lineage before consumption."
