module,schema_table,provisional_canonical_object_family,mapping_confidence,promotion_trigger,required_crosswalk,lineage_required,complexity,blocker
Source,public.evidence,knowledge.evidence,provisional,Approved/accepted/published state plus evidence lineage and tenant identity verified,governance.object_identity_map,source/evidence/provenance fields or outbox payload evidence,High,
Source,public.home_knowledge_evidence_sources,knowledge.evidence,provisional,Approved/accepted/published state plus evidence lineage and tenant identity verified,governance.object_identity_map,source/evidence/provenance fields or outbox payload evidence,Medium,
Source,public.source_artifact_chunks,knowledge.evidence_chunk,provisional,Approved/accepted/published state plus evidence lineage and tenant identity verified,governance.object_identity_map,source/evidence/provenance fields or outbox payload evidence,High,
Source,public.source_artifact_facts,knowledge.fact,provisional,Approved/accepted/published state plus evidence lineage and tenant identity verified,governance.object_identity_map,source/evidence/provenance fields or outbox payload evidence,High,
Source,public.source_contract_evidence_manifests,knowledge.evidence_manifest,provisional,Approved/accepted/published state plus evidence lineage and tenant identity verified,governance.object_identity_map,source/evidence/provenance fields or outbox payload evidence,High,
Source,public.source_contract_evidence_metrics,knowledge.metric_observation,provisional,Approved/accepted/published state plus evidence lineage and tenant identity verified,governance.object_identity_map,source/evidence/provenance fields or outbox payload evidence,High,
Source,public.source_contract_evidence_rows,knowledge.evidence_fragment_or_contract_fact_assertion,provisional,Approved/accepted/published state plus evidence lineage and tenant identity verified,governance.object_identity_map,source/evidence/provenance fields or outbox payload evidence,High,
Source,public.source_contract_optimization_findings,knowledge.contract_finding,provisional,Approved/accepted/published state plus evidence lineage and tenant identity verified,governance.object_identity_map,source/evidence/provenance fields or outbox payload evidence,High,
Source,public.source_contract_optimization_levers,knowledge.value_driver_or_commercial_lever,provisional,Approved/accepted/published state plus evidence lineage and tenant identity verified,governance.object_identity_map,source/evidence/provenance fields or outbox payload evidence,High,
Source,public.source_contract_optimization_profiles,knowledge.contract_profile,provisional,Approved/accepted/published state plus evidence lineage and tenant identity verified,governance.object_identity_map,source/evidence/provenance fields or outbox payload evidence,Medium,
Source,public.source_event_facts,knowledge.fact,provisional,Approved/accepted/published state plus evidence lineage and tenant identity verified,governance.object_identity_map,source/evidence/provenance fields or outbox payload evidence,Medium,
Source,public.source_meeting_outcomes,to_be_mapped_after_live_profile,unresolved,Approved/accepted/published state plus evidence lineage and tenant identity verified,governance.object_identity_map,source/evidence/provenance fields or outbox payload evidence,Medium,
Source,public.source_value_chain,knowledge.value_flow_step,provisional,Approved/accepted/published state plus evidence lineage and tenant identity verified,governance.object_identity_map,source/evidence/provenance fields or outbox payload evidence,Medium,
Source,public.source_value_levers,knowledge.value_driver_or_lever,provisional,Approved/accepted/published state plus evidence lineage and tenant identity verified,governance.object_identity_map,source/evidence/provenance fields or outbox payload evidence,High,
Source,public.source_value_lines,to_be_mapped_after_live_profile,unresolved,Approved/accepted/published state plus evidence lineage and tenant identity verified,governance.object_identity_map,source/evidence/provenance fields or outbox payload evidence,Medium,
Source,public.source_value_states,knowledge.value_state_or_readiness,provisional,Approved/accepted/published state plus evidence lineage and tenant identity verified,governance.object_identity_map,source/evidence/provenance fields or outbox payload evidence,Medium,
Source,public.source_vendor_commitments,knowledge.commercial_commitment,provisional,Approved/accepted/published state plus evidence lineage and tenant identity verified,governance.object_identity_map,source/evidence/provenance fields or outbox payload evidence,High,
Source,public.source_vendor_proposal_facts,knowledge.proposal_fact_assertion,provisional,Approved/accepted/published state plus evidence lineage and tenant identity verified,governance.object_identity_map,source/evidence/provenance fields or outbox payload evidence,High,
Source,public.vendor_contracts,knowledge.contract,provisional,Approved/accepted/published state plus evidence lineage and tenant identity verified,governance.object_identity_map,source/evidence/provenance fields or outbox payload evidence,Medium,Lineage field not found statically
Tower,cio_tower.measures,knowledge.metric_definition,provisional,Approved/accepted/published state plus evidence lineage and tenant identity verified,governance.object_identity_map,source/evidence/provenance fields or outbox payload evidence,Medium,
Tower,cio_tower.tool_identity_aliases,to_be_mapped_after_live_profile,unresolved,Approved/accepted/published state plus evidence lineage and tenant identity verified,governance.object_identity_map,source/evidence/provenance fields or outbox payload evidence,Medium,
Tower,public.ai_control_actions,knowledge.action_or_decision,provisional,Approved/accepted/published state plus evidence lineage and tenant identity verified,governance.object_identity_map,source/evidence/provenance fields or outbox payload evidence,High,
Tower,public.ai_control_agent_outcomes,knowledge.outcome,provisional,Approved/accepted/published state plus evidence lineage and tenant identity verified,governance.object_identity_map,source/evidence/provenance fields or outbox payload evidence,High,
Tower,public.ai_control_benefit_realization,knowledge.metric_observation,provisional,Approved/accepted/published state plus evidence lineage and tenant identity verified,governance.object_identity_map,source/evidence/provenance fields or outbox payload evidence,High,
Tower,public.ai_control_context_facts,knowledge.fact_assertion,provisional,Approved/accepted/published state plus evidence lineage and tenant identity verified,governance.object_identity_map,source/evidence/provenance fields or outbox payload evidence,High,
Tower,public.ai_control_context_relationships,knowledge.relationship_assertion,provisional,Approved/accepted/published state plus evidence lineage and tenant identity verified,governance.object_identity_map,source/evidence/provenance fields or outbox payload evidence,High,Lineage field not found statically
Tower,public.ai_control_dora_metrics,knowledge.metric_observation,provisional,Approved/accepted/published state plus evidence lineage and tenant identity verified,governance.object_identity_map,source/evidence/provenance fields or outbox payload evidence,High,
Tower,public.ai_control_evidence_items,knowledge.evidence,provisional,Approved/accepted/published state plus evidence lineage and tenant identity verified,governance.object_identity_map,source/evidence/provenance fields or outbox payload evidence,High,
Tower,public.ai_control_initiatives,knowledge.program,provisional,Approved/accepted/published state plus evidence lineage and tenant identity verified,governance.object_identity_map,source/evidence/provenance fields or outbox payload evidence,High,
Tower,public.ai_control_persona_productivity,knowledge.metric_observation,provisional,Approved/accepted/published state plus evidence lineage and tenant identity verified,governance.object_identity_map,source/evidence/provenance fields or outbox payload evidence,High,
Tower,public.ai_control_risk_governance,knowledge.risk_control,provisional,Approved/accepted/published state plus evidence lineage and tenant identity verified,governance.object_identity_map,source/evidence/provenance fields or outbox payload evidence,High,
Tower,public.ai_control_spend_contracts,knowledge.contract,provisional,Approved/accepted/published state plus evidence lineage and tenant identity verified,governance.object_identity_map,source/evidence/provenance fields or outbox payload evidence,High,
Tower,public.ai_control_tool_usage_monthly,knowledge.metric_observation,provisional,Approved/accepted/published state plus evidence lineage and tenant identity verified,governance.object_identity_map,source/evidence/provenance fields or outbox payload evidence,High,
Tower,public.application_portfolio,knowledge.application,provisional,Approved/accepted/published state plus evidence lineage and tenant identity verified,governance.object_identity_map,source/evidence/provenance fields or outbox payload evidence,Medium,Lineage field not found statically
Tower,public.enterprise_context_records,to_be_mapped_after_live_profile,unresolved,Approved/accepted/published state plus evidence lineage and tenant identity verified,governance.object_identity_map,source/evidence/provenance fields or outbox payload evidence,High,
Tower,public.tower_cmdb_cis,knowledge.application,provisional,Approved/accepted/published state plus evidence lineage and tenant identity verified,governance.object_identity_map,source/evidence/provenance fields or outbox payload evidence,Medium,
