question_id,surface,question,expected_answer_posture,must_include,must_not_claim,source_rows
Q-001,Home,"Who is Lakeshore, and why is Legal Contract Intake a good CXO demo problem?","Explain diversified industrial holdco context, OpCo/shared-services friction, and why legal intake touches cost, speed, risk, and controls.",7.12B roll-up revenue caveat; Legal Ops/Procurement/Finance/Security/IT/Data involvement.,Do not say holdco has direct operating revenue; do not claim production data.,CTX-001; CTX-002
Q-002,Home,What data do we actually have loaded for the legal intake story?,List evidence files and strongest operational counts with caveats.,2400 requests; 780 queue items; 860 status inquiries; cycle-time workbook; missing fields; obligation gaps; policy exceptions.,Do not say live retrieval or production upload is proven.,BASE-001 through BASE-020
Q-003,Intelligence,"Across Lakeshore shared services, where are the highest-value AI opportunities?","Rank legal contract intake high because it combines volume, rework, obligation risk, status noise, and measurable controls.",Compare against finance/treasury context; state why legal has a strong first-move shape.,Do not invent opportunities unsupported by dataset.,CTX-008; BASE metrics; VAL rows
Q-004,Intelligence,What makes Legal Contract Intake valuable but unsafe to automate blindly?,"Explain attorney-owned judgment, privilege/privacy, non-standard terms, indemnity, termination, and policy exceptions.","AI assists intake, triage, extraction, status, decision support; humans approve legal judgment.",Do not claim autonomous legal decisioning or legal advice.,CTX-004; BASE-016; VAL-005
Q-005,Intelligence,What is the real root cause of delay?,"Say corrected root cause is incomplete intake, inconsistent triage, missing obligation ownership, and manual cross-system work.",Use P2 corrected assumption and operational metrics.,Do not blame attorneys as main bottleneck.,CTX-003; BASE-006; BASE-014; BASE-018
Q-006,Moves,Create the transformation move for Legal Contract Intake and Obligation Control.,"Frame P2/P3/P4/P5 plan around current-state truth, CLM-embedded assisted triage, finance-disciplined roadmap, controls, RACI, and Tower metrics.",Option B selected; finance caveats; human legal approval.,Do not skip controls or overstate hard savings.,CTX-005; CTX-006; SCN-B; VAL rows
Q-007,Moves,What solution architecture should Claude generate next?,"Generate pragmatic phase-one architecture with intake sources, CLM/workflow, AI triage/extraction, attorney approval, obligation routing, Tower metrics, audit trail.",Existing CLM/workflow path; ServiceNow/mailbox/Coupa/reference systems; privilege fence.,Do not propose broad orchestration as phase one.,SCN-B; Systems and Data Sources evidence
Q-008,Moves,Estimate implementation cost using rate cards: Big 4 vs boutique vs offshore-heavy.,Compare scenarios and explain why boutique-led hybrid is recommended for phase one.,Scenario B 950K-1.45M; Big 4 1.8M-2.8M; offshore-heavy 620K-980K with control/adoption risk.,Do not present estimate as final SOW.,RC rows; SCN rows
Q-009,Tower,Which metrics should Tower track after mobilization?,"Track cycle time, missing intake field rate, aged queue, obligation owner completeness, renewal notice risk, status inquiries, outside counsel triage hours.",Metric ownership and cadence; hard savings need finance approval.,Do not call directional savings hard value.,CTX-007; VAL rows
Q-010,Tower,What value can we claim in a CXO demo today?,"Claim operationally grounded planning value, not board-grade realized savings.",Cycle time KPI; rework reduction; status inquiry deflection; obligation risk reduction; planning cost range.,"Do not claim realized ROI, production proof, or board-grade hard savings.",VAL-001 through VAL-008
