metric_id,metric,baseline_value,unit,segment,why_it_matters,cxo_interpretation,source_file,source_rows_or_basis,confidence,proof_gap
BASE-001,Contract requests in evidence pack,2400,requests,Legal intake,High volume creates enough process signal for AI-assisted triage and measurement.,This is not a niche workflow; it is a shared-services operating system problem.,Contract Request Log.csv,2400 request rows,high,Confirm sample period and production source system.
BASE-002,Contract spend at stake,5173780000,USD,Commercial exposure,Total spend tied to request log indicates material commercial risk and prioritization value.,"Even small improvements in cycle time, leakage, and obligation control can justify focused investment.",Contract Request Log.csv,sum(spend_usd),medium,Spend field is planning data; finance attestation required.
BASE-003,Average request age,31.6,days,Throughput,Long aging creates escalations and status inquiries.,"The problem is queue health and handoff quality, not just review effort.",Contract Request Log.csv,mean(age_days),high,Separate open age from full cycle time.
BASE-004,P75 request age,43,days,Throughput,Upper-quartile aging shows systemic delay beyond normal variation.,CXOs should ask which bottlenecks are controllable through intake and routing.,Contract Request Log.csv,75th percentile age_days,high,Validate date range.
BASE-005,P90 request age,52,days,Throughput,Tail latency creates executive escalations and renewal risk.,"AbarVa should target tail reduction, not only averages.",Contract Request Log.csv,90th percentile age_days,high,Validate status cut logic.
BASE-006,Requests with at least one missing field,81.5,percent,Intake quality,"Missing intake data drives rework, triage delay, and escalation.",The first value lever is intake completeness and routing quality.,Contract Request Log.csv,missing_fields_count > 0,high,Need required-field contract by request type.
BASE-007,Weighted average review cycle time,16.0,days,Cycle time,Cycle-time baseline provides a measurable Tower KPI.,Finance-approved target should be 8-12% improvement in pilot.,Contract Review Cycle Times.xlsx,volume-weighted avg_cycle_days,high,Confirm whether cycle time includes vendor wait.
BASE-008,Weighted P90 cycle time,32.0,days,Cycle time,P90 cycle time exposes high-friction request categories.,Focus on reducing tail cases that consume Legal Ops and executive attention.,Contract Review Cycle Times.xlsx,volume-weighted p90_cycle_days,high,Confirm outlier handling.
BASE-009,Weighted missing intake rate,36.5,percent,Intake quality,Independent cycle-time file confirms missing intake is structural.,Guided intake and completeness checks are credible phase-one controls.,Contract Review Cycle Times.xlsx,volume-weighted percent_missing_intake,high,Map missing fields to required controls.
BASE-010,Weighted escalation rate,16.8,percent,Escalation,Escalation rate quantifies avoidable management attention.,Visible status and triage can reduce escalation noise.,Contract Review Cycle Times.xlsx,volume-weighted percent_escalated,high,Classify escalation reasons.
BASE-011,Legal queue items,780,items,Queue health,Queue extract shows active operational workload.,AbarVa can demonstrate current-state queue triage logic.,Legal Work Queue Extract.csv,780 queue rows,high,Confirm snapshot date.
BASE-012,Breached queue items,320,items,SLA health,Breached items show operational urgency.,This is a strong Home/Tower signal.,Legal Work Queue Extract.csv,sla_status = Breached,high,Need SLA policy definition.
BASE-013,At-risk queue items,281,items,SLA health,At-risk queue items are candidates for proactive intervention.,AI-assisted prioritization can target aging before breach.,Legal Work Queue Extract.csv,sla_status = At risk,high,Need risk scoring thresholds.
BASE-014,Status inquiries,860,inquiries,Status visibility,Status-chase volume signals poor transparency.,A status portal can reduce low-value interruptions.,Status Inquiry Log.csv,860 inquiry rows,high,Confirm period and duplicate rules.
BASE-015,Avoidable status inquiries,663,inquiries,Status visibility,Most inquiries are avoidable with better visibility.,This is a crisp productivity and experience lever.,Status Inquiry Log.csv,avoidable_with_status_portal = Yes,high,Estimate time saved per inquiry.
BASE-016,Policy exceptions,360,exceptions,Control risk,Exception volume proves control and governance relevance.,AI must flag exceptions and route approvals; it must not approve them.,Policy Exception Log.xlsx,360 exception rows,high,Map exception type to approval policy.
BASE-017,Missing intake field rows,1350,rows,Intake quality,Detailed missing-field evidence can train request-type completeness checks.,Converts generic bad intake into specific controls.,Missing Intake Fields Analysis.xlsx,1350 analysis rows,high,Define required-vs-optional fields.
BASE-018,Obligation gaps,320,gaps,Obligation control,"Obligation gaps create renewal, security, termination, and indemnity risk.",Contract intake is also obligation control.,Obligation Gap Register.xlsx,320 gap rows,high,Confirm criticality and exposure.
BASE-019,Systems in scope,64,systems,System/data landscape,Multiple systems mean phase-one must be pragmatic.,Supports Option B over broad orchestration.,Systems and Data Sources.xlsx,Systems sheet rows,medium,Classify phase-one integrated vs reference.
BASE-020,Data sources in scope,68,sources,Data landscape,Many data sources explain manual workarounds.,Show source readiness and privilege constraints before automation.,Systems and Data Sources.xlsx,Data Sources sheet rows,medium,Confirm source ownership and access path.
