erp_object_id,platform,process_area,owner_role,business_unit_id,customization_count,tsa_dependency,retirement_posture
NST-ERP-001,SAP S/4HANA pilot,Manufacturing,Process Owner 1,BU-DENTAL,4,false,tolerate
NST-ERP-002,Oracle EBS,Order management,Process Owner 2,BU-HIS,8,false,tolerate
NST-ERP-003,JD Edwards,Rebates,Process Owner 3,BU-STERILE,12,false,tolerate
NST-ERP-004,Infor LN,Quality release,Process Owner 4,BU-MONITOR,16,false,tolerate
NST-ERP-005,Dynamics AX,Procurement,Process Owner 5,BU-FILTER,20,false,migrate
NST-ERP-006,AS/400 RPG,Distributor pricing,Process Owner 6,BU-AWC,24,false,tolerate
NST-ERP-007,Mainframe batch,Finance close,Process Owner 7,BU-DENTAL,28,false,tolerate
NST-ERP-008,SAP ECC 6.0,Manufacturing,Process Owner 8,BU-HIS,32,false,tolerate
NST-ERP-009,SAP S/4HANA pilot,Order management,Process Owner 9,BU-STERILE,84,false,tolerate
NST-ERP-010,Oracle EBS,Rebates,Process Owner 10,BU-MONITOR,40,false,migrate
NST-ERP-011,JD Edwards,Quality release,Process Owner 11,BU-FILTER,44,true,tolerate
NST-ERP-012,Infor LN,Procurement,Process Owner 12,BU-AWC,0,false,tolerate
NST-ERP-013,Dynamics AX,Distributor pricing,Process Owner 13,BU-DENTAL,4,false,retire
NST-ERP-014,AS/400 RPG,Finance close,Process Owner 14,BU-HIS,8,false,tolerate
NST-ERP-015,Mainframe batch,Manufacturing,Process Owner 15,BU-STERILE,12,false,migrate
NST-ERP-016,SAP ECC 6.0,Order management,Process Owner 16,BU-MONITOR,16,false,tolerate
NST-ERP-017,SAP S/4HANA pilot,Rebates,,BU-FILTER,20,false,tolerate
NST-ERP-018,Oracle EBS,Quality release,Process Owner 18,BU-AWC,84,false,tolerate
NST-ERP-019,JD Edwards,Procurement,Process Owner 19,BU-DENTAL,28,false,tolerate
NST-ERP-020,Infor LN,Distributor pricing,Process Owner 20,BU-HIS,32,false,migrate
NST-ERP-021,Dynamics AX,Finance close,Process Owner 21,BU-STERILE,36,false,tolerate
NST-ERP-022,AS/400 RPG,Manufacturing,Process Owner 22,BU-MONITOR,40,true,tolerate
NST-ERP-023,Mainframe batch,Order management,Process Owner 23,BU-FILTER,44,false,tolerate
NST-ERP-024,SAP ECC 6.0,Rebates,Process Owner 24,BU-AWC,0,false,tolerate
NST-ERP-025,SAP S/4HANA pilot,Quality release,Process Owner 25,BU-DENTAL,4,false,migrate
NST-ERP-026,Oracle EBS,Procurement,Process Owner 26,BU-HIS,8,false,retire
NST-ERP-027,JD Edwards,Distributor pricing,Process Owner 27,BU-STERILE,84,false,tolerate
NST-ERP-028,Infor LN,Finance close,Process Owner 0,BU-MONITOR,16,false,tolerate
NST-ERP-029,Dynamics AX,Manufacturing,Process Owner 1,BU-FILTER,20,false,tolerate
NST-ERP-030,AS/400 RPG,Order management,Process Owner 2,BU-AWC,24,false,migrate
NST-ERP-031,Mainframe batch,Rebates,Process Owner 3,BU-DENTAL,28,false,tolerate
NST-ERP-032,SAP ECC 6.0,Quality release,Process Owner 4,BU-HIS,32,false,tolerate
NST-ERP-033,SAP S/4HANA pilot,Procurement,Process Owner 5,BU-STERILE,36,true,tolerate
NST-ERP-034,Oracle EBS,Distributor pricing,,BU-MONITOR,40,false,tolerate
NST-ERP-035,JD Edwards,Finance close,Process Owner 7,BU-FILTER,44,false,migrate
NST-ERP-036,Infor LN,Manufacturing,Process Owner 8,BU-AWC,84,false,tolerate
NST-ERP-037,Dynamics AX,Order management,Process Owner 9,BU-DENTAL,4,false,tolerate
NST-ERP-038,AS/400 RPG,Rebates,Process Owner 10,BU-HIS,8,false,tolerate
NST-ERP-039,Mainframe batch,Quality release,Process Owner 11,BU-STERILE,12,false,retire
NST-ERP-040,SAP ECC 6.0,Procurement,Process Owner 12,BU-MONITOR,16,false,migrate
NST-ERP-041,SAP S/4HANA pilot,Distributor pricing,Process Owner 13,BU-FILTER,20,false,tolerate
NST-ERP-042,Oracle EBS,Finance close,Process Owner 14,BU-AWC,24,false,tolerate
NST-ERP-043,JD Edwards,Manufacturing,Process Owner 15,BU-DENTAL,28,false,tolerate
NST-ERP-044,Infor LN,Order management,Process Owner 16,BU-HIS,32,true,tolerate
NST-ERP-045,Dynamics AX,Rebates,Process Owner 17,BU-STERILE,84,false,migrate
NST-ERP-046,AS/400 RPG,Quality release,Process Owner 18,BU-MONITOR,40,false,tolerate
NST-ERP-047,Mainframe batch,Procurement,Process Owner 19,BU-FILTER,44,false,tolerate
NST-ERP-048,SAP ECC 6.0,Distributor pricing,Process Owner 20,BU-AWC,0,false,tolerate
NST-ERP-049,SAP S/4HANA pilot,Finance close,Process Owner 21,BU-DENTAL,4,false,tolerate
NST-ERP-050,Oracle EBS,Manufacturing,Process Owner 22,BU-HIS,8,false,migrate
NST-ERP-051,JD Edwards,Order management,,BU-STERILE,12,false,tolerate
NST-ERP-052,Infor LN,Rebates,Process Owner 24,BU-MONITOR,16,false,retire
NST-ERP-053,Dynamics AX,Quality release,Process Owner 25,BU-FILTER,20,false,tolerate
NST-ERP-054,AS/400 RPG,Procurement,Process Owner 26,BU-AWC,84,false,tolerate
NST-ERP-055,Mainframe batch,Distributor pricing,Process Owner 27,BU-DENTAL,28,true,migrate
NST-ERP-056,SAP ECC 6.0,Finance close,Process Owner 0,BU-HIS,32,false,tolerate
NST-ERP-057,SAP S/4HANA pilot,Manufacturing,Process Owner 1,BU-STERILE,36,false,tolerate
NST-ERP-058,Oracle EBS,Order management,Process Owner 2,BU-MONITOR,40,false,tolerate
NST-ERP-059,JD Edwards,Rebates,Process Owner 3,BU-FILTER,44,false,tolerate
NST-ERP-060,Infor LN,Quality release,Process Owner 4,BU-AWC,0,false,migrate
NST-ERP-061,Dynamics AX,Procurement,Process Owner 5,BU-DENTAL,4,false,tolerate
NST-ERP-062,AS/400 RPG,Distributor pricing,Process Owner 6,BU-HIS,8,false,tolerate
NST-ERP-063,Mainframe batch,Finance close,Process Owner 7,BU-STERILE,84,false,tolerate
NST-ERP-064,SAP ECC 6.0,Manufacturing,Process Owner 8,BU-MONITOR,16,false,tolerate
NST-ERP-065,SAP S/4HANA pilot,Order management,Process Owner 9,BU-FILTER,20,false,retire
NST-ERP-066,Oracle EBS,Rebates,Process Owner 10,BU-AWC,24,true,tolerate
NST-ERP-067,JD Edwards,Quality release,Process Owner 11,BU-DENTAL,28,false,tolerate
NST-ERP-068,Infor LN,Procurement,,BU-HIS,32,false,tolerate
NST-ERP-069,Dynamics AX,Distributor pricing,Process Owner 13,BU-STERILE,36,false,tolerate
NST-ERP-070,AS/400 RPG,Finance close,Process Owner 14,BU-MONITOR,40,false,migrate
NST-ERP-071,Mainframe batch,Manufacturing,Process Owner 15,BU-FILTER,44,false,tolerate
NST-ERP-072,SAP ECC 6.0,Order management,Process Owner 16,BU-AWC,84,false,tolerate
NST-ERP-073,SAP S/4HANA pilot,Rebates,Process Owner 17,BU-DENTAL,4,false,tolerate
NST-ERP-074,Oracle EBS,Quality release,Process Owner 18,BU-HIS,8,false,tolerate
NST-ERP-075,JD Edwards,Procurement,Process Owner 19,BU-STERILE,12,false,migrate
NST-ERP-076,Infor LN,Distributor pricing,Process Owner 20,BU-MONITOR,16,false,tolerate
NST-ERP-077,Dynamics AX,Finance close,Process Owner 21,BU-FILTER,20,true,tolerate
NST-ERP-078,AS/400 RPG,Manufacturing,Process Owner 22,BU-AWC,24,false,retire
NST-ERP-079,Mainframe batch,Order management,Process Owner 23,BU-DENTAL,28,false,tolerate
NST-ERP-080,SAP ECC 6.0,Rebates,Process Owner 24,BU-HIS,32,false,migrate
NST-ERP-081,SAP S/4HANA pilot,Quality release,Process Owner 25,BU-STERILE,84,false,tolerate
NST-ERP-082,Oracle EBS,Procurement,Process Owner 26,BU-MONITOR,40,false,tolerate
NST-ERP-083,JD Edwards,Distributor pricing,Process Owner 27,BU-FILTER,44,false,tolerate
