path,term,status,evidence,occurrences,visible_occurrences,classification,action
src/app/(maestro)/admin/_cached-helpers.ts,substrate,WARN,"1 occurrence(s) in internal/admin control surface, not CXO-facing tenant context.",1,0,allowed-internal-admin,rename_when_admin_copy_is_refreshed
src/app/(maestro)/admin/agent-readiness/page.tsx,substrate,WARN,"2 occurrence(s) in internal/admin control surface, not CXO-facing tenant context.",2,0,allowed-internal-admin,rename_when_admin_copy_is_refreshed
src/app/(maestro)/admin/context-layer/page.tsx,substrate,WARN,"1 occurrence(s) in internal/admin control surface, not CXO-facing tenant context.",1,0,allowed-internal-admin,rename_when_admin_copy_is_refreshed
src/app/(maestro)/admin/customer/page.tsx,substrate,WARN,"13 occurrence(s) in internal/admin control surface, not CXO-facing tenant context.",13,2,allowed-internal-admin,rename_when_admin_copy_is_refreshed
src/app/(maestro)/admin/data-layer-explorer/__tests__/page-source.test.ts,projection,WARN,2 occurrence(s) in test fixture or regression assertion; not runtime-visible.,2,0,allowed-test-fixture,keep_internal
src/app/(maestro)/admin/data-layer-explorer/page.tsx,projection,WARN,"3 occurrence(s) in internal/admin control surface, not CXO-facing tenant context.",3,0,allowed-internal-admin,rename_when_admin_copy_is_refreshed
src/app/(maestro)/admin/data-trust/page.tsx,substrate,WARN,"2 occurrence(s) in internal/admin control surface, not CXO-facing tenant context.",2,0,allowed-internal-admin,rename_when_admin_copy_is_refreshed
src/app/(maestro)/admin/dossiers/page.tsx,dossier,WARN,"23 occurrence(s) in internal/admin control surface, not CXO-facing tenant context.",23,2,allowed-internal-admin,rename_when_admin_copy_is_refreshed
src/app/(maestro)/admin/knowledge-preview/page.tsx,context packet,WARN,"1 occurrence(s) in internal/admin control surface, not CXO-facing tenant context.",1,1,allowed-internal-admin,rename_when_admin_copy_is_refreshed
src/app/(maestro)/admin/segments/[segmentId]/page.tsx,substrate,WARN,"1 occurrence(s) in internal/admin control surface, not CXO-facing tenant context.",1,0,allowed-internal-admin,rename_when_admin_copy_is_refreshed
src/app/(maestro)/admin/setup/cxo-intel/page.tsx,substrate,WARN,"1 occurrence(s) in internal/admin control surface, not CXO-facing tenant context.",1,0,allowed-internal-admin,rename_when_admin_copy_is_refreshed
src/app/(maestro)/admin/setup/page.tsx,substrate,WARN,"1 occurrence(s) in internal/admin control surface, not CXO-facing tenant context.",1,0,allowed-internal-admin,rename_when_admin_copy_is_refreshed
src/app/(maestro)/dossier/[threadId]/page.tsx,dossier,WARN,"5 visible occurrence(s), 24 total occurrence(s), in active runtime source outside generated CXO/context artifacts.",24,5,existing-runtime-copy-outside-dataset-sunset-boundary,track_separately
src/app/(maestro)/home/__tests__/home-admin-boundary-contract.test.ts,V7,WARN,1 occurrence(s) in test fixture or regression assertion; not runtime-visible.,1,0,allowed-test-fixture,keep_internal
src/app/(maestro)/home/page.tsx,V6,WARN,1 occurrence(s) in wrapped internal storage/reader lineage code; not rendered language.,1,0,allowed-internal-storage-lineage,keep_wrapped
src/app/(maestro)/home/page.tsx,V7,WARN,"1 visible occurrence(s), 2 total occurrence(s), in active runtime source outside generated CXO/context artifacts.",2,1,existing-runtime-copy-outside-dataset-sunset-boundary,track_separately
src/app/(maestro)/platform/admin/pilot/[tenantKey]/page.tsx,substrate,WARN,"1 visible occurrence(s), 14 total occurrence(s), in active runtime source outside generated CXO/context artifacts.",14,1,existing-runtime-copy-outside-dataset-sunset-boundary,track_separately
src/app/(maestro)/source/events/[eventId]/page.tsx,dossier,WARN,"1 visible occurrence(s), 1 total occurrence(s), in active runtime source outside generated CXO/context artifacts.",1,1,existing-runtime-copy-outside-dataset-sunset-boundary,track_separately
src/app/(maestro)/source/events/[eventId]/page.tsx,substrate,WARN,"3 occurrence(s) in code identifier, import, route name, or non-rendered implementation text.",3,0,allowed-code-identifier-or-route,keep_internal
src/app/(maestro)/strategic-moves/expert-kernel/dossier/page.tsx,dossier,WARN,"8 visible occurrence(s), 50 total occurrence(s), in active runtime source outside generated CXO/context artifacts.",50,8,existing-runtime-copy-outside-dataset-sunset-boundary,track_separately
src/app/api/admin/context-layer/csv-upload/__tests__/route.test.ts,source_record_id,WARN,2 occurrence(s) in test fixture or regression assertion; not runtime-visible.,2,0,allowed-test-fixture,keep_internal
src/app/api/chat/agent/route.ts,dossier,WARN,1 occurrence(s) in API implementation code; not selected by default Home/Knowledge rendering.,1,0,allowed-api-implementation,wrap_or_rename_later
src/app/api/chat/agent/route.ts,substrate,WARN,5 occurrence(s) in API implementation code; not selected by default Home/Knowledge rendering.,5,0,allowed-api-implementation,wrap_or_rename_later
src/app/api/debug/tower-substrate/route.ts,substrate,WARN,2 occurrence(s) in API implementation code; not selected by default Home/Knowledge rendering.,2,0,allowed-api-implementation,wrap_or_rename_later
src/app/api/home/know/ask/route.ts,V6,WARN,10 occurrence(s) in API implementation code; not selected by default Home/Knowledge rendering.,10,0,allowed-api-implementation,wrap_or_rename_later
src/app/api/home/know/ask/route.ts,V7,WARN,6 occurrence(s) in API implementation code; not selected by default Home/Knowledge rendering.,6,0,allowed-api-implementation,wrap_or_rename_later
src/app/api/home/summary-snapshot/route.ts,V6,WARN,1 occurrence(s) in API implementation code; not selected by default Home/Knowledge rendering.,1,0,allowed-api-implementation,wrap_or_rename_later
src/app/api/home/summary-snapshot/route.ts,V7,WARN,1 occurrence(s) in API implementation code; not selected by default Home/Knowledge rendering.,1,0,allowed-api-implementation,wrap_or_rename_later
src/app/api/intelligence/ask/__tests__/route.telemetry.test.ts,V7,WARN,6 occurrence(s) in test fixture or regression assertion; not runtime-visible.,6,0,allowed-test-fixture,keep_internal
src/app/api/intelligence/ask/__tests__/route.telemetry.test.ts,dossier,WARN,2 occurrence(s) in test fixture or regression assertion; not runtime-visible.,2,0,allowed-test-fixture,keep_internal
src/app/api/intelligence/ask/__tests__/route.telemetry.test.ts,substrate,WARN,3 occurrence(s) in test fixture or regression assertion; not runtime-visible.,3,0,allowed-test-fixture,keep_internal
src/app/api/intelligence/ask/route.ts,dossier,WARN,2 occurrence(s) in API implementation code; not selected by default Home/Knowledge rendering.,2,0,allowed-api-implementation,wrap_or_rename_later
src/app/api/intelligence/ask/route.ts,substrate,WARN,6 occurrence(s) in API implementation code; not selected by default Home/Knowledge rendering.,6,0,allowed-api-implementation,wrap_or_rename_later
src/app/api/intelligence/ask/route.ts,source_record_id,WARN,1 occurrence(s) in API implementation code; not selected by default Home/Knowledge rendering.,1,0,allowed-api-implementation,wrap_or_rename_later
src/app/api/programs/synthesis/__tests__/route.test.ts,V6,WARN,9 occurrence(s) in test fixture or regression assertion; not runtime-visible.,9,0,allowed-test-fixture,keep_internal
src/app/api/programs/synthesis/route.ts,V6,WARN,7 occurrence(s) in API implementation code; not selected by default Home/Knowledge rendering.,7,0,allowed-api-implementation,wrap_or_rename_later
src/app/api/reasoning/_auth.ts,substrate,WARN,1 occurrence(s) in API implementation code; not selected by default Home/Knowledge rendering.,1,0,allowed-api-implementation,wrap_or_rename_later
src/app/api/reasoning/audit/route.ts,substrate,WARN,2 occurrence(s) in API implementation code; not selected by default Home/Knowledge rendering.,2,0,allowed-api-implementation,wrap_or_rename_later
src/app/api/source/synthesis/__tests__/route.test.ts,V6,WARN,9 occurrence(s) in test fixture or regression assertion; not runtime-visible.,9,0,allowed-test-fixture,keep_internal
src/app/api/source/synthesis/route.ts,V6,WARN,7 occurrence(s) in API implementation code; not selected by default Home/Knowledge rendering.,7,0,allowed-api-implementation,wrap_or_rename_later
src/app/api/tower/ask/route.ts,V6,WARN,4 occurrence(s) in API implementation code; not selected by default Home/Knowledge rendering.,4,0,allowed-api-implementation,wrap_or_rename_later
src/app/api/tower/initiative-detail/route.ts,substrate,WARN,1 occurrence(s) in API implementation code; not selected by default Home/Knowledge rendering.,1,0,allowed-api-implementation,wrap_or_rename_later
