check,status,evidence
primary-v3-generation-script-present,PASS,package exposes generate:tenant-v3-data
primary-v3-audit-script-present,PASS,package exposes v3 tenant input audit
home-approved-artifact-fallback-present,PASS,Home can render approved Claude-derived local artifacts
default-reader-active-pointer,PASS,default DB reader uses active pointer instead of latest loaded row
candidate-preview-explicit,PASS,candidate preview requires an intentional preview mode flag; default runtime uses active mode
v3-inputs:meridian-health,PASS,19 standard v3 files present
approved-home-knowledge:meridian-health,PASS,approved story blocks and visual specs present
v3-inputs:skyharbor-air,PASS,19 standard v3 files present
approved-home-knowledge:skyharbor-air,PASS,approved story blocks and visual specs present
v3-inputs:first-capital,PASS,19 standard v3 files present
approved-home-knowledge:first-capital,PASS,approved story blocks and visual specs present
candidate-invisibility-guard,PASS,default runtime requires active pointer; candidate preview is explicit
local-runtime-retrieval-proof,PASS,local runtime retrieval proof bundle exists
