path,term,status,evidence,occurrences,visible_occurrences,classification,action
src/app/(maestro)/admin/_cached-helpers.ts,substrate,WARN,"1 occurrence(s) in internal/admin control surface, not CXO-facing tenant context.",1,0,allowed-internal-admin,rename_when_admin_copy_is_refreshed
src/app/(maestro)/admin/agent-readiness/page.tsx,substrate,WARN,"2 occurrence(s) in internal/admin control surface, not CXO-facing tenant context.",2,0,allowed-internal-admin,rename_when_admin_copy_is_refreshed
src/app/(maestro)/admin/context-layer/page.tsx,substrate,WARN,"1 occurrence(s) in internal/admin control surface, not CXO-facing tenant context.",1,0,allowed-internal-admin,rename_when_admin_copy_is_refreshed
src/app/(maestro)/admin/customer/page.tsx,substrate,WARN,"13 occurrence(s) in internal/admin control surface, not CXO-facing tenant context.",13,2,allowed-internal-admin,rename_when_admin_copy_is_refreshed
src/app/(maestro)/admin/data-layer-explorer/__tests__/page-source.test.ts,projection,WARN,2 occurrence(s) in test fixture or regression assertion; not runtime-visible.,2,0,allowed-test-fixture,keep_internal
src/app/(maestro)/admin/data-layer-explorer/page.tsx,projection,WARN,"3 occurrence(s) in internal/admin control surface, not CXO-facing tenant context.",3,0,allowed-internal-admin,rename_when_admin_copy_is_refreshed
src/app/(maestro)/admin/data-trust/page.tsx,substrate,WARN,"2 occurrence(s) in internal/admin control surface, not CXO-facing tenant context.",2,0,allowed-internal-admin,rename_when_admin_copy_is_refreshed
src/app/(maestro)/admin/dossiers/page.tsx,dossier,WARN,"24 occurrence(s) in internal/admin control surface, not CXO-facing tenant context.",24,2,allowed-internal-admin,rename_when_admin_copy_is_refreshed
src/app/(maestro)/admin/knowledge-preview/page.tsx,context packet,WARN,"1 occurrence(s) in internal/admin control surface, not CXO-facing tenant context.",1,1,allowed-internal-admin,rename_when_admin_copy_is_refreshed
src/app/(maestro)/admin/segments/[segmentId]/page.tsx,substrate,WARN,"1 occurrence(s) in internal/admin control surface, not CXO-facing tenant context.",1,0,allowed-internal-admin,rename_when_admin_copy_is_refreshed
src/app/(maestro)/admin/setup/cxo-intel/page.tsx,substrate,WARN,"1 occurrence(s) in internal/admin control surface, not CXO-facing tenant context.",1,0,allowed-internal-admin,rename_when_admin_copy_is_refreshed
src/app/(maestro)/admin/setup/page.tsx,substrate,WARN,"1 occurrence(s) in internal/admin control surface, not CXO-facing tenant context.",1,0,allowed-internal-admin,rename_when_admin_copy_is_refreshed
src/app/(maestro)/dossier/[threadId]/page.tsx,dossier,WARN,"5 visible occurrence(s), 28 total occurrence(s), in active runtime source outside generated CXO/context artifacts.",28,5,existing-runtime-copy-outside-dataset-sunset-boundary,track_separately
src/app/(maestro)/home/__tests__/home-page-ecl-route.test.tsx,projection,WARN,3 occurrence(s) in test fixture or regression assertion; not runtime-visible.,3,0,allowed-test-fixture,keep_internal
src/app/(maestro)/home/page.tsx,projection,WARN,"1 occurrence(s) in code identifier, import, route name, or non-rendered implementation text.",1,0,allowed-code-identifier-or-route,keep_internal
src/app/(maestro)/home/preview/page.tsx,projection,WARN,"1 occurrence(s) in code identifier, import, route name, or non-rendered implementation text.",1,0,allowed-code-identifier-or-route,keep_internal
src/app/(maestro)/intelligence/page.tsx,projection,WARN,"2 occurrence(s) in code identifier, import, route name, or non-rendered implementation text.",2,0,allowed-code-identifier-or-route,keep_internal
src/app/(maestro)/knowledge-preview/page.tsx,old Home,WARN,"1 occurrence(s) in code identifier, import, route name, or non-rendered implementation text.",1,0,allowed-code-identifier-or-route,keep_internal
src/app/(maestro)/platform/admin/pilot/[tenantKey]/page.tsx,substrate,WARN,"1 visible occurrence(s), 14 total occurrence(s), in active runtime source outside generated CXO/context artifacts.",14,1,existing-runtime-copy-outside-dataset-sunset-boundary,track_separately
src/app/(maestro)/source/__tests__/tenant-resolution-source-contract.test.ts,substrate,WARN,2 occurrence(s) in test fixture or regression assertion; not runtime-visible.,2,0,allowed-test-fixture,keep_internal
src/app/(maestro)/source/events/[eventId]/page.tsx,substrate,WARN,"1 occurrence(s) in code identifier, import, route name, or non-rendered implementation text.",1,0,allowed-code-identifier-or-route,keep_internal
src/app/(maestro)/source/optimize/__tests__/page.financial-access.test.tsx,V4,WARN,1 occurrence(s) in test fixture or regression assertion; not runtime-visible.,1,0,allowed-test-fixture,keep_internal
src/app/(maestro)/source/optimize/page.tsx,V4,WARN,"1 occurrence(s) in code identifier, import, route name, or non-rendered implementation text.",1,0,allowed-code-identifier-or-route,keep_internal
src/app/(maestro)/source/preview/workspace/ContractAnatomy.tsx,projection,WARN,"1 occurrence(s) in code identifier, import, route name, or non-rendered implementation text.",1,0,allowed-code-identifier-or-route,keep_internal
src/app/(maestro)/source/preview/workspace/WorkspaceExecutiveShell.tsx,projection,WARN,"1 occurrence(s) in code identifier, import, route name, or non-rendered implementation text.",1,0,allowed-code-identifier-or-route,keep_internal
src/app/(maestro)/source/preview/workspace/WorkspaceExecutiveShell.tsx,substrate,WARN,"7 visible occurrence(s), 35 total occurrence(s), in active runtime source outside generated CXO/context artifacts.",35,7,existing-runtime-copy-outside-dataset-sunset-boundary,track_separately
src/app/(maestro)/source/preview/workspace/__tests__/ContractCanvas.executive-story.test.tsx,source_record_id,WARN,1 occurrence(s) in test fixture or regression assertion; not runtime-visible.,1,0,allowed-test-fixture,keep_internal
src/app/(maestro)/source/preview/workspace/__tests__/WorkspaceClient.ecl-browser.test.tsx,V4,WARN,1 occurrence(s) in test fixture or regression assertion; not runtime-visible.,1,0,allowed-test-fixture,keep_internal
src/app/(maestro)/source/preview/workspace/__tests__/WorkspaceClient.ecl-browser.test.tsx,projection,WARN,1 occurrence(s) in test fixture or regression assertion; not runtime-visible.,1,0,allowed-test-fixture,keep_internal
src/app/(maestro)/source/preview/workspace/__tests__/WorkspaceClient.ecl-browser.test.tsx,source_record_id,WARN,1 occurrence(s) in test fixture or regression assertion; not runtime-visible.,1,0,allowed-test-fixture,keep_internal
src/app/(maestro)/source/preview/workspace/__tests__/WorkspaceExecutiveShell.performance.test.ts,projection,WARN,4 occurrence(s) in test fixture or regression assertion; not runtime-visible.,4,0,allowed-test-fixture,keep_internal
src/app/(maestro)/source/preview/workspace/__tests__/buildViewModel.numeric.test.ts,V4,WARN,11 occurrence(s) in test fixture or regression assertion; not runtime-visible.,11,0,allowed-test-fixture,keep_internal
src/app/(maestro)/source/preview/workspace/__tests__/buildViewModel.numeric.test.ts,source_record_id,WARN,2 occurrence(s) in test fixture or regression assertion; not runtime-visible.,2,0,allowed-test-fixture,keep_internal
src/app/(maestro)/source/preview/workspace/__tests__/contractPerformanceCards.test.tsx,latest loaded,WARN,1 occurrence(s) in test fixture or regression assertion; not runtime-visible.,1,0,allowed-test-fixture,keep_internal
src/app/(maestro)/source/preview/workspace/__tests__/page-tenant-routing.test.ts,projection,WARN,1 occurrence(s) in test fixture or regression assertion; not runtime-visible.,1,0,allowed-test-fixture,keep_internal
src/app/(maestro)/source/preview/workspace/__tests__/portfolioAdapter.ecl.test.ts,V4,WARN,1 occurrence(s) in test fixture or regression assertion; not runtime-visible.,1,0,allowed-test-fixture,keep_internal
src/app/(maestro)/source/preview/workspace/__tests__/portfolioAdapter.ecl.test.ts,projection,WARN,3 occurrence(s) in test fixture or regression assertion; not runtime-visible.,3,0,allowed-test-fixture,keep_internal
src/app/(maestro)/source/preview/workspace/__tests__/viewModel.explore.test.ts,V4,WARN,4 occurrence(s) in test fixture or regression assertion; not runtime-visible.,4,0,allowed-test-fixture,keep_internal
src/app/(maestro)/source/preview/workspace/__tests__/workspace-ava-contract.test.ts,V4,WARN,1 occurrence(s) in test fixture or regression assertion; not runtime-visible.,1,0,allowed-test-fixture,keep_internal
src/app/(maestro)/source/preview/workspace/buildViewModel.ts,V4,WARN,"5 visible occurrence(s), 5 total occurrence(s), in active runtime source outside generated CXO/context artifacts.",5,5,existing-runtime-copy-outside-dataset-sunset-boundary,track_separately
