product_family_id,business_unit_id,name,revenue_usd,margin_pct,lifecycle_state,regulatory_burden,plant_dependency
NST-PF-001,BU-DENTAL,Dental + Orthodontic Solutions Product Family 1,20150000,13.0,grow,medium,NST-PLANT-02
NST-PF-002,BU-HIS,Health Information Systems / Coding / CDI Product Family 2,22300000,14.0,grow,medium,NST-PLANT-03
NST-PF-003,BU-STERILE,Infection Prevention + Sterilization Product Family 3,24450000,15.0,grow,medium,NST-PLANT-04
NST-PF-004,BU-MONITOR,Clinical Monitoring + Connected Devices Product Family 4,26600000,16.0,grow,medium,NST-PLANT-05
NST-PF-005,BU-FILTER,Life Sciences Filtration / Bioprocessing Product Family 5,28750000,17.0,grow,high,NST-PLANT-06
NST-PF-006,BU-AWC,Advanced Wound Care + Surgical Product Family 6,30900000,18.0,grow,medium,NST-PLANT-07
NST-PF-007,BU-DENTAL,Dental + Orthodontic Solutions Product Family 7,33050000,19.0,mature,medium,NST-PLANT-08
NST-PF-008,BU-HIS,Health Information Systems / Coding / CDI Product Family 8,35200000,20.0,grow,medium,NST-PLANT-09
NST-PF-009,BU-STERILE,Infection Prevention + Sterilization Product Family 9,37350000,21.0,grow,medium,NST-PLANT-10
NST-PF-010,BU-MONITOR,Clinical Monitoring + Connected Devices Product Family 10,39500000,22.0,grow,high,NST-PLANT-11
NST-PF-011,BU-FILTER,Life Sciences Filtration / Bioprocessing Product Family 11,41650000,23.0,rationalize,medium,NST-PLANT-12
NST-PF-012,BU-AWC,Advanced Wound Care + Surgical Product Family 12,43800000,24.0,grow,medium,NST-PLANT-13
NST-PF-013,BU-DENTAL,Dental + Orthodontic Solutions Product Family 13,45950000,25.0,grow,medium,NST-PLANT-14
NST-PF-014,BU-HIS,Health Information Systems / Coding / CDI Product Family 14,48100000,26.0,mature,medium,NST-PLANT-15
NST-PF-015,BU-STERILE,Infection Prevention + Sterilization Product Family 15,50250000,27.0,grow,high,NST-PLANT-16
NST-PF-016,BU-MONITOR,Clinical Monitoring + Connected Devices Product Family 16,52400000,28.0,grow,medium,NST-PLANT-17
NST-PF-017,BU-FILTER,Life Sciences Filtration / Bioprocessing Product Family 17,54550000,29.0,grow,medium,NST-PLANT-18
NST-PF-018,BU-AWC,Advanced Wound Care + Surgical Product Family 18,56700000,30.0,grow,medium,NST-PLANT-19
NST-PF-019,BU-DENTAL,Dental + Orthodontic Solutions Product Family 19,58850000,31.0,grow,medium,NST-PLANT-20
NST-PF-020,BU-HIS,Health Information Systems / Coding / CDI Product Family 20,61000000,32.0,grow,high,NST-PLANT-21
NST-PF-021,BU-STERILE,Infection Prevention + Sterilization Product Family 21,63150000,33.0,mature,medium,NST-PLANT-22
NST-PF-022,BU-MONITOR,Clinical Monitoring + Connected Devices Product Family 22,65300000,12.0,rationalize,medium,NST-PLANT-23
NST-PF-023,BU-FILTER,Life Sciences Filtration / Bioprocessing Product Family 23,67450000,13.0,grow,medium,NST-PLANT-24
NST-PF-024,BU-AWC,Advanced Wound Care + Surgical Product Family 24,69600000,14.0,grow,medium,NST-PLANT-25
NST-PF-025,BU-DENTAL,Dental + Orthodontic Solutions Product Family 25,71750000,15.0,grow,high,NST-PLANT-26
NST-PF-026,BU-HIS,Health Information Systems / Coding / CDI Product Family 26,73900000,16.0,grow,medium,NST-PLANT-27
