tenant_key,application_id,portfolio_company,application_name,business_capability,vendor,environment,hosting_model,lifecycle_status,business_function,technical_owner_team,source_template,is_synthetic
lakeshore-holdings,APP-0001,Northline Logistics Group,SAP ECC/S4 Finance,ERP,SAP,production,SaaS,current,operations,Northline Logistics Group IT,F05_applications-systems,True
lakeshore-holdings,APP-0002,Northline Logistics Group,Warehouse Management System,WMS,Manhattan Associates,production,SaaS,current,operations,Northline Logistics Group IT,F05_applications-systems,True
lakeshore-holdings,APP-0003,Northline Logistics Group,Transport Planning,TMS,Blue Yonder,production,SaaS,current,operations,Northline Logistics Group IT,F05_applications-systems,True
lakeshore-holdings,APP-0004,Northline Logistics Group,Logistics Data Platform,Data Platform,AWS/Snowflake,production,Cloud,watch,IT,Northline Logistics Group IT,F05_applications-systems,True
lakeshore-holdings,APP-0005,Crestpoint Marketing Services,Campaign Operations Platform,Marketing Ops,Adobe,production,SaaS,current,operations,Crestpoint Marketing Services IT,F05_applications-systems,True
lakeshore-holdings,APP-0006,Crestpoint Marketing Services,Sourcing Supplier Portal,Procurement,Coupa,production,SaaS,current,operations,Crestpoint Marketing Services IT,F05_applications-systems,True
lakeshore-holdings,APP-0007,Crestpoint Marketing Services,Client CRM,CRM,Salesforce,production,SaaS,current,operations,Crestpoint Marketing Services IT,F05_applications-systems,True
lakeshore-holdings,APP-0008,Crestpoint Marketing Services,Creative Asset Workflow,Collaboration,Adobe,production,SaaS,watch,IT,Crestpoint Marketing Services IT,F05_applications-systems,True
lakeshore-holdings,APP-0009,Riverton Consumer Products,DTC Commerce Platform,Commerce,Shopify Plus,production,SaaS,current,operations,Riverton Consumer Products IT,F05_applications-systems,True
lakeshore-holdings,APP-0010,Riverton Consumer Products,Consumer CRM,CRM,Salesforce,production,SaaS,current,operations,Riverton Consumer Products IT,F05_applications-systems,True
lakeshore-holdings,APP-0011,Riverton Consumer Products,ERP Financials,ERP,Oracle NetSuite,production,SaaS,current,operations,Riverton Consumer Products IT,F05_applications-systems,True
lakeshore-holdings,APP-0012,Riverton Consumer Products,Consumer Analytics Platform,Data Platform,Snowflake,production,SaaS,watch,IT,Riverton Consumer Products IT,F05_applications-systems,True
lakeshore-holdings,APP-0013,Arborfield Workplace Services,Micro Market Platform,Vending/Micro Market,365 Retail Markets,production,SaaS,current,operations,Arborfield Workplace Services IT,F05_applications-systems,True
lakeshore-holdings,APP-0014,Arborfield Workplace Services,Vending Telemetry,IoT Payments,Cantaloupe,production,SaaS,current,operations,Arborfield Workplace Services IT,F05_applications-systems,True
lakeshore-holdings,APP-0015,Arborfield Workplace Services,Dining POS,POS,Toast,production,SaaS,current,operations,Arborfield Workplace Services IT,F05_applications-systems,True
lakeshore-holdings,APP-0016,Arborfield Workplace Services,Route Analytics,Data Platform,AWS,production,Cloud,watch,IT,Arborfield Workplace Services IT,F05_applications-systems,True
lakeshore-holdings,APP-0017,Lakeshore Shared Services,ServiceNow ESM,ITSM/ESM,ServiceNow,production,SaaS,current,IT,Corporate IT,F05_applications-systems,True
lakeshore-holdings,APP-0018,Lakeshore Shared Services,M365 Tenant,Collaboration,Microsoft,production,SaaS,current,IT,Corporate IT,F05_applications-systems,True
lakeshore-holdings,APP-0019,Lakeshore Shared Services,Workday HCM/Finance,HCM/Planning,Workday,production,SaaS,current,operations,Corporate IT,F05_applications-systems,True
lakeshore-holdings,APP-0020,Lakeshore Shared Services,Security Operations Platform,Security,CrowdStrike,production,SaaS,watch,IT,Corporate IT,F05_applications-systems,True
