change_id,date,system_id,risk,outcome
CHG-0001,2026-01-01,APX-INV-MAINFRAME,high,rollback
CHG-0002,2026-02-02,APX-SAP-FI,standard,successful
CHG-0003,2026-03-03,APX-WMS-MANHATTAN-EXT,standard,successful
CHG-0004,2026-04-04,APX-COMMERCE-EINSTEIN,standard,successful
CHG-0005,2026-05-05,APX-CDP-SEGMENT,standard,successful
CHG-0006,2026-06-06,APX-RETURNS-SVC,standard,successful
CHG-0007,2026-01-07,APX-MAINFRAME-MOD-ASSESS,standard,successful
CHG-0008,2026-02-08,APX-JAVA-RETURNS-LEG,standard,successful
CHG-0009,2026-03-09,APX-JAVA-FULFILL,high,successful
CHG-0010,2026-04-10,APX-DOTNET-LOSS,standard,successful
CHG-0011,2026-05-11,APX-ORACLE-GL-POCKET,standard,successful
CHG-0012,2026-06-12,APX-SFCC-SEARCH,standard,successful
CHG-0013,2026-01-13,APX-M365,standard,successful
CHG-0014,2026-02-14,APX-CROWDSTRIKE,standard,successful
CHG-0015,2026-03-15,APX-DBT,standard,successful
CHG-0016,2026-04-16,APX-VERTEX-TAX,standard,successful
CHG-0017,2026-05-17,APX-JAVA-INVENTORY,high,successful
CHG-0018,2026-06-18,APX-NET-GIFTCARD,standard,rollback
CHG-0019,2026-01-19,APX-NODE-SEARCH,standard,successful
CHG-0020,2026-02-20,APX-FE-SEARCH,standard,successful
CHG-0021,2026-03-21,APX-ML-RETURNS,standard,successful
CHG-0022,2026-04-22,APX-MOBILE-MANAGER,standard,successful
CHG-0023,2026-05-23,APX-DATABRICKS,standard,successful
CHG-0024,2026-06-24,APX-VERIZON-WAN,standard,successful
CHG-0025,2026-01-25,APX-INV-MAINFRAME,high,successful
CHG-0026,2026-02-26,APX-SAP-FI,standard,successful
CHG-0027,2026-03-01,APX-WMS-MANHATTAN-EXT,standard,successful
CHG-0028,2026-04-02,APX-COMMERCE-EINSTEIN,standard,successful
CHG-0029,2026-05-03,APX-CDP-SEGMENT,standard,successful
CHG-0030,2026-06-04,APX-RETURNS-SVC,standard,successful
CHG-0031,2026-01-05,APX-MAINFRAME-MOD-ASSESS,standard,successful
CHG-0032,2026-02-06,APX-JAVA-RETURNS-LEG,standard,successful
CHG-0033,2026-03-07,APX-JAVA-FULFILL,high,successful
CHG-0034,2026-04-08,APX-DOTNET-LOSS,standard,successful
CHG-0035,2026-05-09,APX-ORACLE-GL-POCKET,standard,rollback
CHG-0036,2026-06-10,APX-SFCC-SEARCH,standard,successful
CHG-0037,2026-01-11,APX-M365,standard,successful
CHG-0038,2026-02-12,APX-CROWDSTRIKE,standard,successful
CHG-0039,2026-03-13,APX-DBT,standard,successful
CHG-0040,2026-04-14,APX-VERTEX-TAX,standard,successful
CHG-0041,2026-05-15,APX-JAVA-INVENTORY,high,successful
CHG-0042,2026-06-16,APX-NET-GIFTCARD,standard,successful
CHG-0043,2026-01-17,APX-NODE-SEARCH,standard,successful
CHG-0044,2026-02-18,APX-FE-SEARCH,standard,successful
CHG-0045,2026-03-19,APX-ML-RETURNS,standard,successful
CHG-0046,2026-04-20,APX-MOBILE-MANAGER,standard,successful
CHG-0047,2026-05-21,APX-DATABRICKS,standard,successful
CHG-0048,2026-06-22,APX-VERIZON-WAN,standard,successful
CHG-0049,2026-01-23,APX-INV-MAINFRAME,high,successful
CHG-0050,2026-02-24,APX-SAP-FI,standard,successful
CHG-0051,2026-03-25,APX-WMS-MANHATTAN-EXT,standard,successful
CHG-0052,2026-04-26,APX-COMMERCE-EINSTEIN,standard,rollback
CHG-0053,2026-05-01,APX-CDP-SEGMENT,standard,successful
CHG-0054,2026-06-02,APX-RETURNS-SVC,standard,successful
CHG-0055,2026-01-03,APX-MAINFRAME-MOD-ASSESS,standard,successful
CHG-0056,2026-02-04,APX-JAVA-RETURNS-LEG,standard,successful
CHG-0057,2026-03-05,APX-JAVA-FULFILL,high,successful
CHG-0058,2026-04-06,APX-DOTNET-LOSS,standard,successful
CHG-0059,2026-05-07,APX-ORACLE-GL-POCKET,standard,successful
CHG-0060,2026-06-08,APX-SFCC-SEARCH,standard,successful
CHG-0061,2026-01-09,APX-M365,standard,successful
CHG-0062,2026-02-10,APX-CROWDSTRIKE,standard,successful
CHG-0063,2026-03-11,APX-DBT,standard,successful
CHG-0064,2026-04-12,APX-VERTEX-TAX,standard,successful
CHG-0065,2026-05-13,APX-JAVA-INVENTORY,high,successful
CHG-0066,2026-06-14,APX-NET-GIFTCARD,standard,successful
CHG-0067,2026-01-15,APX-NODE-SEARCH,standard,successful
CHG-0068,2026-02-16,APX-FE-SEARCH,standard,successful
