problem_id,system_id,status,known_error,linked_initiative
PRB-001,APX-INV-MAINFRAME,open,batch fragility,INIT-SAP-ERP-FUTURE
PRB-002,APX-AS400-VENDOR-COMPL,mitigated,data quality,INIT-COMMERCE-OPT
PRB-003,APX-SAP-MM,mitigated,vendor SLA,INIT-CDP-MIGRATION-PH2
PRB-004,APX-STERLING-OMS,mitigated,customization debt,INIT-O9-COMPLETION
PRB-005,APX-STORE-BOH,open,batch fragility,INIT-FORECAST-AI-V2
PRB-006,APX-COMMERCE-EINSTEIN,mitigated,data quality,INIT-LOYALTY-REPLACEMENT
PRB-007,APX-NCR-POS,mitigated,vendor SLA,INIT-MAINFRAME-MOD-ASSESS
PRB-008,APX-O9-DEMAND,mitigated,customization debt,INIT-AS400-SUNSET
PRB-009,APX-PRICING-SVC,open,batch fragility,INIT-AI-PRODUCTIVITY
PRB-010,APX-DTC-STOREFRONT,mitigated,data quality,INIT-STORE-MOD
PRB-011,APX-MAINFRAME-MOD-ASSESS,mitigated,vendor SLA,INIT-RETURNS-MOD
PRB-012,APX-AS400-ITEM,mitigated,customization debt,INIT-PRICING-MOD
PRB-013,APX-JAVA-ALLOC,open,batch fragility,INIT-INVENTORY-VIS
PRB-014,APX-JAVA-GIFT,mitigated,data quality,INIT-FINOPS
PRB-015,APX-DOTNET-SCHED,mitigated,vendor SLA,INIT-WORKDAY-PHASE-2
PRB-016,APX-DOTNET-LOSS,mitigated,customization debt,INIT-SERVICENOW-MATURITY
PRB-017,APX-DOTNET-KIOSKADMIN,open,batch fragility,INIT-IDENTITY-MOD
PRB-018,APX-ORACLE-INTL,mitigated,data quality,INIT-SDWAN-REFRESH
PRB-019,APX-SFCC-PROMO,mitigated,vendor SLA,INIT-SECURITY-CONSOL
PRB-020,APX-SFCC-MARKET,mitigated,customization debt,INIT-WIPRO-AMS-OPT
PRB-021,APX-M365,open,batch fragility,INIT-MARKETPLACES
PRB-022,APX-ARIBA,mitigated,data quality,INIT-CUSTOMER-SERVICE-AI
PRB-023,APX-SPLUNK,mitigated,vendor SLA,INIT-PIM
PRB-024,APX-FIVETRAN,mitigated,customization debt,INIT-MMM
PRB-025,APX-CORNERSTONE,open,batch fragility,INIT-PERSONALIZATION
PRB-026,APX-VERTEX-TAX,mitigated,data quality,INIT-SEARCH
PRB-027,APX-JAVA-LOYALTY,mitigated,vendor SLA,INIT-TAX-COMPLIANCE
PRB-028,APX-JAVA-RETURNS-MOD,mitigated,customization debt,INIT-RETURNS-FRAUD
