record_id,row_kind,supplier_legal_name,supplier_public_profile,category_id,business_function,eligible_archetype_id,eligibility_basis,source_system,source_file,source_row,source_record_id,lineage_state,authority_state,contact_policy,contact_authority_state,existing_contract_status,existing_contract_reference,expected_decision,expected_reason
SYN-SUP-AMS-001,candidate,Fictional Aster Ridge Managed Services LLC,Application operations provider for run maintain transition and service tower governance,ams,application_operations,AMS_MANAGED_SERVICES,Eligible for AMS because services align to L2 L3 support transition SLA and retained organization needs,Synthetic supplier research registry,candidate_supplier_registry.csv,2,SYN-REG-AMS-001,declared,candidate_authority_reviewed,public_research_only,no_contact_required,no_existing_contract,,eligible,
SYN-SUP-AMS-002,candidate,Fictional Harborline Application Operations Inc.,Managed application services provider with tower based operations and service catalog controls,ams,application_operations,AMS_MANAGED_SERVICES,Eligible for AMS because scope maps to application managed services ticket volume and productivity levers,Synthetic supplier research registry,candidate_supplier_registry.csv,3,SYN-REG-AMS-002,declared,candidate_authority_restricted,buyer_introduction_required,buyer_intro_authorized,incumbent_reference_only,CTR-SYN-CAND-AMS-002,eligible,
SYN-SUP-ERP-001,candidate,Fictional Caldera ERP Delivery LLC,ERP implementation partner for process redesign integrations data migration and cutover governance,erp_si_implementation,finance_transformation,ERP_SI_IMPLEMENTATION,Eligible for ERP SI because delivery evidence aligns to enterprise platform implementation and migration risk,Synthetic supplier research registry,candidate_supplier_registry.csv,4,SYN-REG-ERP-001,declared,candidate_authority_reviewed,nda_required_before_contact,nda_required_before_contact,no_existing_contract,,eligible,
SYN-SUP-ERP-002,candidate,Fictional Ledgerwave Integration Partners LLP,Systems integration partner for global template rollout data conversion and hypercare support,erp_si_implementation,finance_transformation,ERP_SI_IMPLEMENTATION,Eligible for ERP SI because category function and archetype point to implementation partner selection,Synthetic supplier research registry,candidate_supplier_registry.csv,5,SYN-REG-ERP-002,declared,candidate_authority_reviewed,inbound_contact_allowed,inbound_contact_authorized,registered_contract_counterparty,CTR-SYN-CAND-ERP-002,eligible,
SYN-SUP-DATA-001,candidate,Fictional Clearwell Data Platforms LLC,Data platform provider for lakehouse governance semantic layer and consumption controls,data_ai_platform,data_and_analytics,AI_DATA_PLATFORM,Eligible for AI data platform because capabilities align to governed data platform and AI enablement needs,Synthetic supplier research registry,candidate_supplier_registry.csv,6,SYN-REG-DATA-001,declared,candidate_authority_reviewed,public_research_only,no_contact_required,no_existing_contract,,eligible,
SYN-SUP-DATA-002,candidate,Fictional Beacon Forge Analytics Inc.,Analytics platform provider for model tooling activation workloads and portability controls,data_ai_platform,data_and_analytics,AI_DATA_PLATFORM,Eligible for AI data platform because category and function map to analytics and AI platform sourcing,Synthetic supplier research registry,candidate_supplier_registry.csv,7,SYN-REG-DATA-002,declared,candidate_authority_restricted,do_not_contact,contact_prohibited,incumbent_reference_only,CTR-SYN-CAND-DATA-002,eligible,
SYN-SUP-AIENG-001,candidate,Fictional Orbitlane AI Engineering LLC,AI engineering partner for retrieval evaluation secure integration and MLOps controls,ai_engineering_partner,digital_product_engineering,AI_ENGINEERING_PARTNER,Eligible for AI engineering partner selection because work maps to retrieval evaluation secure integration and product handoff,Synthetic supplier research registry,candidate_supplier_registry.csv,8,SYN-REG-AIENG-001,declared,candidate_authority_reviewed,buyer_introduction_required,buyer_intro_authorized,no_existing_contract,,eligible,
SYN-SUP-AIENG-002,candidate,Fictional Keystone Product Labs Inc.,AI engineering provider for agentic build secure delivery reusable assets and knowledge transfer,ai_engineering_partner,digital_product_engineering,AI_ENGINEERING_PARTNER,Eligible for AI engineering partner selection because category signals specialist AI engineering delivery not staffing,Synthetic supplier research registry,candidate_supplier_registry.csv,9,SYN-REG-AIENG-002,declared,candidate_authority_reviewed,nda_required_before_contact,nda_required_before_contact,registered_contract_counterparty,CTR-SYN-CAND-AIENG-002,eligible,
SYN-SUP-SAAS-001,candidate,Fictional Prism SaaS Holdings LLC,SaaS publisher for renewal negotiation entitlement review support and commercial terms,saas_renewal,enterprise_applications,CONTRACT_RENEWAL,Eligible for contract renewal because the supplier motion is renewal rightsizing and price protection,Synthetic supplier research registry,candidate_supplier_registry.csv,10,SYN-REG-SAAS-001,declared,candidate_authority_reviewed,inbound_contact_allowed,inbound_contact_authorized,incumbent_reference_only,CTR-SYN-CAND-SAAS-001,eligible,
SYN-SUP-SAAS-002,candidate,Fictional North Vale Subscription Services Inc.,Subscription software provider for license optimization edition rights and renewal support,saas_renewal,enterprise_applications,CONTRACT_RENEWAL,Eligible for contract renewal because category maps to SaaS renewal rather than net new implementation,Synthetic supplier research registry,candidate_supplier_registry.csv,11,SYN-REG-SAAS-002,declared,candidate_authority_restricted,do_not_contact,contact_prohibited,registered_contract_counterparty,CTR-SYN-CAND-SAAS-002,eligible,
