incident_id,date,severity,system_id,root_cause,business_impact
INC-2025-001,2025-01-01,P0,APX-INV-MAINFRAME,legacy batch failure,Synthetic impact 1
INC-2025-002,2025-02-02,P1,APX-GL-MAINFRAME,store edge sync,Synthetic impact 2
INC-2025-003,2025-03-03,P1,APX-AS400-MERCH,vendor SaaS outage,Synthetic impact 3
INC-2025-004,2025-04-04,P1,APX-AS400-VENDOR-COMPL,deployment regression,Synthetic impact 4
INC-2025-005,2025-05-05,P1,APX-SAP-ECC,legacy batch failure,Synthetic impact 5
INC-2025-006,2025-06-06,P0,APX-SAP-FI,store edge sync,Synthetic impact 6
INC-2025-007,2025-07-07,P1,APX-SAP-MM,vendor SaaS outage,Synthetic impact 7
INC-2025-008,2025-08-08,P1,APX-SAP-SD,deployment regression,Synthetic impact 8
INC-2025-009,2025-09-09,P1,APX-SAP-CUSTOM-PROMO,legacy batch failure,Synthetic impact 9
INC-2025-010,2025-10-10,P1,APX-STERLING-OMS,store edge sync,Synthetic impact 10
INC-2025-011,2025-11-11,P0,APX-WMS-MANHATTAN-EXT,vendor SaaS outage,Synthetic impact 11
INC-2025-012,2025-12-12,P1,APX-LEG-SUPPLIER-PORTAL,deployment regression,Synthetic impact 12
INC-2025-013,2025-01-13,P1,APX-STORE-BOH,legacy batch failure,Synthetic impact 13
INC-2025-014,2025-02-14,P1,APX-ORACLE-LEG-AP,store edge sync,Synthetic impact 14
INC-2025-015,2025-03-15,P1,APX-COMMERCE-CLOUD,vendor SaaS outage,Synthetic impact 15
INC-2025-016,2025-04-16,P0,APX-COMMERCE-EINSTEIN,deployment regression,Synthetic impact 16
INC-2025-017,2025-05-17,P1,APX-WORKDAY-HCM,legacy batch failure,Synthetic impact 17
INC-2025-018,2025-06-18,P1,APX-SERVICENOW-ITSM,store edge sync,Synthetic impact 18
INC-2025-019,2025-07-19,P1,APX-NCR-POS,vendor SaaS outage,Synthetic impact 19
INC-2025-020,2025-08-20,P1,APX-PUNCHH-LOYALTY,deployment regression,Synthetic impact 20
INC-2025-021,2025-09-21,P0,APX-CDP-SEGMENT,legacy batch failure,Synthetic impact 21
INC-2025-022,2025-10-22,P1,APX-O9-DEMAND,store edge sync,Synthetic impact 22
INC-2025-023,2025-11-23,P1,APX-DATADOG,vendor SaaS outage,Synthetic impact 23
INC-2025-024,2025-12-24,P1,APX-ORDER-ORCH,deployment regression,Synthetic impact 24
INC-2025-025,2025-01-25,P1,APX-PRICING-SVC,legacy batch failure,Synthetic impact 25
INC-2025-026,2025-02-26,P0,APX-RETURNS-SVC,store edge sync,Synthetic impact 26
INC-2025-027,2025-03-01,P1,APX-CHECKOUT-DTC,vendor SaaS outage,Synthetic impact 27
INC-2025-028,2025-04-02,P1,APX-DTC-STOREFRONT,deployment regression,Synthetic impact 28
INC-2025-029,2025-05-03,P1,APX-RECS-ML,legacy batch failure,Synthetic impact 29
INC-2025-030,2025-06-04,P1,APX-FORECAST-AI-V2,store edge sync,Synthetic impact 30
INC-2025-031,2025-07-05,P0,APX-MAINFRAME-MOD-ASSESS,vendor SaaS outage,Synthetic impact 31
INC-2025-032,2025-08-06,P1,APX-MAINFRAME-CLOSE,deployment regression,Synthetic impact 32
INC-2025-033,2025-09-07,P1,APX-MAINFRAME-RPT,legacy batch failure,Synthetic impact 33
INC-2025-034,2025-10-08,P1,APX-AS400-ITEM,store edge sync,Synthetic impact 34
INC-2025-035,2025-11-09,P1,APX-JAVA-SUPPLIER-ADAPTER,vendor SaaS outage,Synthetic impact 35
INC-2025-036,2025-12-10,P0,APX-JAVA-RETURNS-LEG,deployment regression,Synthetic impact 36
INC-2025-037,2025-01-11,P1,APX-JAVA-ALLOC,legacy batch failure,Synthetic impact 37
INC-2025-038,2025-02-12,P1,APX-JAVA-TAX,store edge sync,Synthetic impact 38
INC-2025-039,2025-03-13,P1,APX-JAVA-CUSTOMER,vendor SaaS outage,Synthetic impact 39
INC-2025-040,2025-04-14,P1,APX-JAVA-GIFT,deployment regression,Synthetic impact 40
INC-2025-041,2025-05-15,P0,APX-JAVA-FULFILL,legacy batch failure,Synthetic impact 41
INC-2025-042,2025-06-16,P1,APX-JAVA-EDI-ADAPTER,store edge sync,Synthetic impact 42
INC-2025-043,2025-07-17,P1,APX-DOTNET-SCHED,vendor SaaS outage,Synthetic impact 43
INC-2025-044,2025-08-18,P1,APX-DOTNET-TRAINING,deployment regression,Synthetic impact 44
INC-2025-045,2025-09-19,P1,APX-DOTNET-RPT,legacy batch failure,Synthetic impact 45
INC-2025-046,2025-10-20,P0,APX-DOTNET-LOSS,store edge sync,Synthetic impact 46
INC-2025-047,2025-11-21,P1,APX-DOTNET-TASKS,vendor SaaS outage,Synthetic impact 47
INC-2025-048,2025-12-22,P1,APX-DOTNET-INTRANET,deployment regression,Synthetic impact 48
INC-2025-049,2025-01-23,P1,APX-DOTNET-KIOSKADMIN,legacy batch failure,Synthetic impact 49
INC-2025-050,2025-02-24,P1,APX-DOTNET-TIME,store edge sync,Synthetic impact 50
INC-2025-051,2025-03-25,P0,APX-ORACLE-GL-POCKET,vendor SaaS outage,Synthetic impact 51
INC-2025-052,2025-04-26,P1,APX-ORACLE-INTL,deployment regression,Synthetic impact 52
INC-2025-053,2025-05-01,P1,APX-ORACLE-TAX-LEG,legacy batch failure,Synthetic impact 53
INC-2025-054,2025-06-02,P1,APX-SFCC-CART,store edge sync,Synthetic impact 54
INC-2025-055,2025-07-03,P1,APX-SFCC-PROMO,vendor SaaS outage,Synthetic impact 55
INC-2025-056,2025-08-04,P0,APX-SFCC-SEARCH,deployment regression,Synthetic impact 56
