repo,team,period_start,period_end,deployment_frequency_per_day,lead_time_for_changes_hours,change_failure_rate_pct,mttr_hours,sample_size_deploys,ci_pipeline,test_automation_coverage_pct,notes
rcm-claims-edit-service,RCM Integrations,2026-01-01,2026-06-30,0.077,513.6,18.2,14.6,14,GitHub Actions,42,Manual payer-edit config applied post-deploy
rcm-remit-835-parser,RCM Integrations,2026-01-01,2026-06-30,0.060,626.4,22.7,19.2,11,GitHub Actions,31,No integration test environment with real remittance samples
denials-workflow-api,Denials Management,2026-01-01,2026-06-30,0.103,427.2,14.9,9.4,19,GitHub Actions,55,
edw-ingestion-pipelines,Data Platform Engineering,2026-01-01,2026-06-30,0.280,148.8,7.1,3.8,50,GitHub Actions,71,Asset Bundles adopted Q1
clarity-etl-nightly,Data Platform Engineering,2026-01-01,2026-06-30,0.023,1077.6,31.4,26.5,4,Jenkins,12,Legacy ETL jobs deployed manually
mirth-hl7-channels,Interface Engineering,2026-01-01,2026-06-30,0.040,806.4,27.8,21.1,7,Manual,8,41 of 88 interface channels are not under source control
tableau-published-datasources,BI Platform Team,2026-01-01,2026-06-30,0.187,218.4,11.3,5.2,34,None,0,No automated testing on published extracts
cerner-sunset-migration,Clinical Applications,2026-01-01,2026-06-30,0.013,1468.8,40.0,38.7,2,Manual,5,Decommission work tracked in spreadsheets
oracle-fusion-integrations,ERP Team,2026-01-01,2026-06-30,0.037,705.6,19.6,16.3,7,Azure DevOps,26,
servicenow-workflows,ITSM Team,2026-01-01,2026-06-30,0.140,280.8,9.8,4.1,25,ServiceNow Pipelines,48,
