tenant_key,contract_id,evidence_class,applicability_state,available_row_count,evidence_available_state,diagnosis_ready_state,action_ready_state,vendor_outreach_state,value_proven_state,review_state,caveat
skyharbor_global,CTR-090,contract_register,required,1,available,ready,ready,approved,value_proven_or_not_required,accepted,Synthetic evidence is reconciled for action-stage testing; still not client truth.
skyharbor_global,CTR-090,supplier_master,required,3,available,ready,ready,approved,value_proven_or_not_required,accepted,Synthetic evidence is reconciled for action-stage testing; still not client truth.
skyharbor_global,CTR-090,document_inventory,required,15,available,ready,ready,approved,value_proven_or_not_required,accepted,Synthetic evidence is reconciled for action-stage testing; still not client truth.
skyharbor_global,CTR-090,clause_extraction,required,60,available,ready,ready,approved,value_proven_or_not_required,accepted,Synthetic evidence is reconciled for action-stage testing; still not client truth.
skyharbor_global,CTR-090,pricing_schedule,required,8,available,ready,ready,approved,value_proven_or_not_required,accepted,Synthetic evidence is reconciled for action-stage testing; still not client truth.
skyharbor_global,CTR-090,ap_invoice_line,required,48,available,ready,ready,approved,value_proven_or_not_required,accepted,Synthetic evidence is reconciled for action-stage testing; still not client truth.
skyharbor_global,CTR-090,po_line,required,8,available,ready,ready,approved,value_proven_or_not_required,accepted,Synthetic evidence is reconciled for action-stage testing; still not client truth.
skyharbor_global,CTR-090,sla_event,required,36,available,ready,ready,approved,value_proven_or_not_required,accepted,Synthetic evidence is reconciled for action-stage testing; still not client truth.
skyharbor_global,CTR-090,usage_entitlement,required,144,available,ready,ready,approved,value_proven_or_not_required,accepted,Synthetic evidence is reconciled for action-stage testing; still not client truth.
skyharbor_global,CTR-090,cloud_billing,not_applicable,0,not_applicable,ready,ready,approved,value_proven_or_not_required,accepted,Not applicable by archetype.
skyharbor_global,CTR-090,vms_rate_card,conditional,24,available,ready,ready,approved,value_proven_or_not_required,accepted,Synthetic evidence is reconciled for action-stage testing; still not client truth.
skyharbor_global,CTR-090,renewal_negotiation,required,16,available,ready,ready,approved,value_proven_or_not_required,accepted,Synthetic evidence is reconciled for action-stage testing; still not client truth.
skyharbor_global,CTR-090,finance_realization,required,4,available,ready,ready,approved,value_proven_or_not_required,accepted,Synthetic evidence is reconciled for action-stage testing; still not client truth.
skyharbor_global,CTR-090,evidence_linkage,required,13,available,ready,ready,approved,value_proven_or_not_required,accepted,Synthetic evidence is reconciled for action-stage testing; still not client truth.
skyharbor_global,CTR-090,fact_assertion,required,10,available,ready,ready,approved,value_proven_or_not_required,accepted,Synthetic evidence is reconciled for action-stage testing; still not client truth.
skyharbor_global,CTR-090,fact_conflict,required,2,available,ready,ready,approved,value_proven_or_not_required,accepted,Synthetic evidence is reconciled for action-stage testing; still not client truth.
skyharbor_global,CTR-090,review_decision,required,6,available,ready,ready,approved,value_proven_or_not_required,accepted,Synthetic evidence is reconciled for action-stage testing; still not client truth.
skyharbor_global,CTR-090,opportunity_case,required,4,available,ready,ready,approved,value_proven_or_not_required,accepted,Synthetic evidence is reconciled for action-stage testing; still not client truth.
skyharbor_global,CTR-090,opportunity_calculation,required,44,available,ready,ready,approved,value_proven_or_not_required,accepted,Synthetic evidence is reconciled for action-stage testing; still not client truth.
skyharbor_global,CTR-090,case_lifecycle,required,24,available,ready,ready,approved,value_proven_or_not_required,accepted,Synthetic evidence is reconciled for action-stage testing; still not client truth.
skyharbor_global,CTR-090,approval,required,6,available,ready,ready,approved,value_proven_or_not_required,accepted,Synthetic evidence is reconciled for action-stage testing; still not client truth.
skyharbor_global,CTR-090,commercial_learning,required,8,available,ready,ready,approved,value_proven_or_not_required,accepted,Synthetic evidence is reconciled for action-stage testing; still not client truth.
skyharbor_global,CTR-090,new_event_control,required,8,available,ready,ready,approved,value_proven_or_not_required,accepted,Synthetic evidence is reconciled for action-stage testing; still not client truth.
skyharbor_global,CTR-090,_gate_summary,summary,492,all_required_evidence_represented,ready,ready,approved,value_proven_synthetic_ready,accepted,CTR-090 is the action-ready hero fixture.
skyharbor_global,CTR-061,contract_register,required,1,available,ready,blocked_by_governed_conflict,not_approved_conflict_control,not_value_proven_conflict_control,accepted,"Synthetic evidence is represented, but governance intentionally blocks action and value sizing."
skyharbor_global,CTR-061,supplier_master,required,3,available,ready,blocked_by_governed_conflict,not_approved_conflict_control,not_value_proven_conflict_control,accepted,"Synthetic evidence is represented, but governance intentionally blocks action and value sizing."
skyharbor_global,CTR-061,document_inventory,required,15,available,ready,blocked_by_governed_conflict,not_approved_conflict_control,not_value_proven_conflict_control,accepted,"Synthetic evidence is represented, but governance intentionally blocks action and value sizing."
skyharbor_global,CTR-061,clause_extraction,required,60,available,ready,blocked_by_governed_conflict,not_approved_conflict_control,not_value_proven_conflict_control,accepted,"Synthetic evidence is represented, but governance intentionally blocks action and value sizing."
