scorecard_id,domain,lead_time_for_change_hours,deploy_frequency_per_week,MTTR_hours,change_failure_rate_pct,automated_test_coverage_pct,environment_provisioning_time_hours,AI_tooling_adoption_pct,factory_throughput,client_id,client_key,segment_id,data_basis,source_artifact_path,source_ref,parser_used,approval_status,confidence,last_updated,drilldown_id,metric,baseline,target,insight
SHA-DORA-001,Mobile Digital,8,25,1.5,4,82,96,24,improving but bottlenecked by test data and SME availability,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S09_ENGINEERING_PRODUCTIVITY,synthetic_comparable,source_uploads/dora_productivity_baseline.csv,row 2,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27,,,,,
SHA-DORA-002,Web Booking,8,25,1.5,4,82,96,24,improving but bottlenecked by test data and SME availability,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S09_ENGINEERING_PRODUCTIVITY,synthetic_comparable,source_uploads/dora_productivity_baseline.csv,row 3,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27,,,,,
SHA-DORA-003,Mainframe Core,80,3,12,18,41,96,24,improving but bottlenecked by test data and SME availability,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S09_ENGINEERING_PRODUCTIVITY,synthetic_comparable,source_uploads/dora_productivity_baseline.csv,row 4,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27,,,,,
SHA-DORA-004,Crew Systems,84,3,12,18,41,96,24,improving but bottlenecked by test data and SME availability,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S09_ENGINEERING_PRODUCTIVITY,synthetic_comparable,source_uploads/dora_productivity_baseline.csv,row 5,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27,,,,,
SHA-DORA-005,Airport Ops,88,3,12,18,41,96,24,improving but bottlenecked by test data and SME availability,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S09_ENGINEERING_PRODUCTIVITY,synthetic_comparable,source_uploads/dora_productivity_baseline.csv,row 6,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27,,,,,
SHA-DORA-006,Baggage,92,3,12,18,41,96,24,improving but bottlenecked by test data and SME availability,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S09_ENGINEERING_PRODUCTIVITY,synthetic_comparable,source_uploads/dora_productivity_baseline.csv,row 7,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27,,,,,
SHA-DORA-007,Loyalty,96,3,12,18,41,96,24,improving but bottlenecked by test data and SME availability,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S09_ENGINEERING_PRODUCTIVITY,synthetic_comparable,source_uploads/dora_productivity_baseline.csv,row 8,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27,,,,,
SHA-DORA-008,Revenue Accounting,100,3,12,18,41,96,24,improving but bottlenecked by test data and SME availability,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S09_ENGINEERING_PRODUCTIVITY,synthetic_comparable,source_uploads/dora_productivity_baseline.csv,row 9,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27,,,,,
SHA-DORA-009,AWS Platform,36,8,6,10,63,12,58,stable,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S09_ENGINEERING_PRODUCTIVITY,synthetic_comparable,source_uploads/dora_productivity_baseline.csv,row 10,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27,,,,,
SHA-DORA-010,Data Platform,36,8,6,10,63,12,58,stable,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S09_ENGINEERING_PRODUCTIVITY,synthetic_comparable,source_uploads/dora_productivity_baseline.csv,row 11,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27,,,,,
