fact_id,name,legal_name,revenue_usd,employees,tech_employees,aircraft_total,loyalty_members,annual_it_spend_usd,it_run_usd,it_grow_usd,it_transform_usd,modernization_spend_5yr_usd,modernization_run_rate_usd,ibm_engagement_annual_usd,aws_edp_annual_commit_usd,day0_mainframe_workloads,current_mainframe_workloads,day0_mips_peak,current_mips_peak,extracted_capabilities_count,revenue_critical_volume_extracted_pct,client_id,client_key,segment_id,data_basis,source_artifact_path,source_ref,parser_used,approval_status,confidence,last_updated,fact_type,narrative
SHA-ENT-001,SkyHarbor Air,SkyHarbor Air Group,52100000000,95000,6800,950,110000000,3200000000,1800000000,700000000,700000000,2400000000,640000000,280000000,180000000,47,28,280000,165000,19,22,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S01_ENTERPRISE_PROFILE,public_anchor,source_uploads/board_technology_update_2026q1.docx,Executive summary,skyharbor-structured-template-parser-v1,approved_synthetic,0.92,2026-05-27,,
SHA-ENT-002,,,,,,,,,,,,,,,,,,,,,,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S01_ENTERPRISE_PROFILE,synthetic_comparable,source_uploads/board_technology_update_2026q1.docx,board_priority,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27,board_priority,Prove modernization value without weakening operational reliability during IROPs.
SHA-ENT-003,,,,,,,,,,,,,,,,,,,,,,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S01_ENTERPRISE_PROFILE,synthetic_comparable,source_uploads/board_technology_update_2026q1.docx,ceo_strategy,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27,ceo_strategy,Protect premium customer experience while making the technology estate faster and less brittle.
SHA-ENT-004,,,,,,,,,,,,,,,,,,,,,,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S01_ENTERPRISE_PROFILE,synthetic_comparable,source_uploads/board_technology_update_2026q1.docx,cio_challenge,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27,cio_challenge,Amala Rao is asking whether five years of modernization has created enough reusable AWS-native capability.
SHA-ENT-005,,,,,,,,,,,,,,,,,,,,,,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S01_ENTERPRISE_PROFILE,synthetic_comparable,source_uploads/board_technology_update_2026q1.docx,cto_thesis,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27,cto_thesis,"The CTO-sponsored program has reduced MIPS and delivered important customer and loyalty wins, but next-wave sequencing needs sharper evidence."
SHA-ENT-006,,,,,,,,,,,,,,,,,,,,,,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S01_ENTERPRISE_PROFILE,synthetic_comparable,source_uploads/board_technology_update_2026q1.docx,cfo_question,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27,cfo_question,"The CFO wants promised, realized, disputed, and projected modernization value separated."
SHA-ENT-007,,,,,,,,,,,,,,,,,,,,,,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S01_ENTERPRISE_PROFILE,synthetic_comparable,source_uploads/board_technology_update_2026q1.docx,coo_constraint,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27,coo_constraint,The COO will not accept extraction work that extends irregular-operations recovery time.
SHA-ENT-008,,,,,,,,,,,,,,,,,,,,,,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S01_ENTERPRISE_PROFILE,synthetic_comparable,source_uploads/board_technology_update_2026q1.docx,ciso_constraint,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27,ciso_constraint,The CISO wants cloud control-plane sprawl and AI-generated-code risk governed before scale.
SHA-ENT-009,,,,,,,,,,,,,,,,,,,,,,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S01_ENTERPRISE_PROFILE,synthetic_comparable,source_uploads/board_technology_update_2026q1.docx,gcc_gap,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27,gcc_gap,"The offshore GCC has 1,000 employees and lags peer carrier scale of roughly 3,000 to 5,000."
SHA-ENT-010,,,,,,,,,,,,,,,,,,,,,,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S01_ENTERPRISE_PROFILE,synthetic_comparable,source_uploads/board_technology_update_2026q1.docx,airport_ops,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27,airport_ops,"Airport operations, crew legality, and baggage recovery remain the most disruption-sensitive domains."
