event_id,wave_id,event_date,capability_name,action,outcome,value_promised_usd,value_realized_usd,value_disputed_usd,lesson_learned,owner_at_time,client_id,client_key,segment_id,data_basis,source_artifact_path,source_ref,parser_used,approval_status,confidence,last_updated
SHA-MOD-001,WAVE-01,2021-01-15,Passenger Name Record Core,wrap,over-ran,4000000,1680000,2320000,"Wave sequencing worked when API contracts, dual-run exit criteria, and value owner signoff were explicit.",CTO Modernization Office,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S02_MODERNIZATION_LEDGER,synthetic_comparable,source_uploads/modernization_ledger_5yr.xlsx,row 2,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-MOD-002,WAVE-02,2021-02-15,Ticketing Exchange Engine,analyze,delivered,6100000,4758000,0,"Wave sequencing worked when API contracts, dual-run exit criteria, and value owner signoff were explicit.",VP Airline Platforms,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S02_MODERNIZATION_LEDGER,synthetic_comparable,source_uploads/modernization_ledger_5yr.xlsx,row 3,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-MOD-003,WAVE-03,2021-03-15,Departure Control Closeout,analyze,delivered,8200000,6396000,0,"Wave sequencing worked when API contracts, dual-run exit criteria, and value owner signoff were explicit.",Director Cloud Migration Factory,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S02_MODERNIZATION_LEDGER,synthetic_comparable,source_uploads/modernization_ledger_5yr.xlsx,row 4,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-MOD-004,WAVE-04,2021-04-15,Crew Legality Solver,analyze,delivered,10300000,8034000,0,"Wave sequencing worked when API contracts, dual-run exit criteria, and value owner signoff were explicit.",CTO Modernization Office,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S02_MODERNIZATION_LEDGER,synthetic_comparable,source_uploads/modernization_ledger_5yr.xlsx,row 5,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-MOD-005,WAVE-05,2021-05-15,IROPs Reaccommodation Rules,analyze,delivered,12400000,9672000,0,"Wave sequencing worked when API contracts, dual-run exit criteria, and value owner signoff were explicit.",VP Airline Platforms,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S02_MODERNIZATION_LEDGER,synthetic_comparable,source_uploads/modernization_ledger_5yr.xlsx,row 6,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-MOD-006,WAVE-06,2021-06-15,Loyalty Accrual Core,analyze,delivered,14500000,11310000,0,"Wave sequencing worked when API contracts, dual-run exit criteria, and value owner signoff were explicit.",Director Cloud Migration Factory,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S02_MODERNIZATION_LEDGER,synthetic_comparable,source_uploads/modernization_ledger_5yr.xlsx,row 7,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-MOD-007,WAVE-07,2021-07-15,Revenue Accounting Batch,analyze,delivered,16600000,12948000,0,"Wave sequencing worked when API contracts, dual-run exit criteria, and value owner signoff were explicit.",CTO Modernization Office,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S02_MODERNIZATION_LEDGER,synthetic_comparable,source_uploads/modernization_ledger_5yr.xlsx,row 8,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-MOD-008,WAVE-08,2021-08-15,Interline Settlement,analyze,mixed,18700000,7854000,10846000,"Wave sequencing worked when API contracts, dual-run exit criteria, and value owner signoff were explicit.",VP Airline Platforms,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S02_MODERNIZATION_LEDGER,synthetic_comparable,source_uploads/modernization_ledger_5yr.xlsx,row 9,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-MOD-009,WAVE-01,2021-09-15,Baggage WorldTracer Bridge,analyze,delivered,20800000,16224000,0,"Wave sequencing worked when API contracts, dual-run exit criteria, and value owner signoff were explicit.",Director Cloud Migration Factory,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S02_MODERNIZATION_LEDGER,synthetic_comparable,source_uploads/modernization_ledger_5yr.xlsx,row 10,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-MOD-010,WAVE-02,2021-10-15,Cargo Capacity Rating,analyze,delayed,22900000,9618000,0,"Wave sequencing worked when API contracts, dual-run exit criteria, and value owner signoff were explicit.",CTO Modernization Office,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S02_MODERNIZATION_LEDGER,synthetic_comparable,source_uploads/modernization_ledger_5yr.xlsx,row 11,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
