app_id,workload_id,name,business_capability,MIPS_peak,MIPS_avg,transaction_volume_daily,criticality,batch_window_constraint,regulatory_flag,modernization_status,reason_still_on_Z,last_modified_date,owner_team,annual_run_cost_usd,stack_era,time_classification,ams_vendor,business_unit_id,client_id,client_key,segment_id,data_basis,source_artifact_path,source_ref,parser_used,approval_status,confidence,last_updated
SHA-Z-001,SHA-Z-001,Passenger Name Record Core,PSS,2200,950,650000,5,00:30-03:45 CT hard window,DOT consumer rule / financial settlement impact,blocked,High-volume operational transaction path still has unresolved downstream coupling.,2025-01-20,Airline Core Platforms,9500000,mainframe,tolerate,IBM,PSS,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S03_MAINFRAME_INVENTORY,synthetic_comparable,source_uploads/mainframe_inventory_current_state.xlsx,row 2,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-Z-002,SHA-Z-002,Ticketing Exchange Engine,DCS,2510,1105,825000,5,near-real-time transaction window,standard enterprise control,untouched,High-volume operational transaction path still has unresolved downstream coupling.,2025-02-20,Operations Technology,9920000,mainframe,invest,IBM,DCS,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S03_MAINFRAME_INVENTORY,synthetic_comparable,source_uploads/mainframe_inventory_current_state.xlsx,row 3,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-Z-003,SHA-Z-003,Departure Control Closeout,crew,2820,1260,1000000,5,overnight settlement feed,standard enterprise control,untouched,High-volume operational transaction path still has unresolved downstream coupling.,2025-03-20,Airline Core Platforms,10340000,mainframe,invest,IBM,crew,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S03_MAINFRAME_INVENTORY,synthetic_comparable,source_uploads/mainframe_inventory_current_state.xlsx,row 4,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-Z-004,SHA-Z-004,Crew Legality Solver,IROPs,3130,1415,1175000,5,overnight settlement feed,standard enterprise control,untouched,High-volume operational transaction path still has unresolved downstream coupling.,2025-04-20,Operations Technology,10760000,mainframe,invest,IBM,IROPs,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S03_MAINFRAME_INVENTORY,synthetic_comparable,source_uploads/mainframe_inventory_current_state.xlsx,row 5,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-Z-005,SHA-Z-005,IROPs Reaccommodation Rules,loyalty,3440,1570,1350000,5,00:30-03:45 CT hard window,standard enterprise control,in-analysis,High-volume operational transaction path still has unresolved downstream coupling.,2025-05-20,Airline Core Platforms,11180000,mainframe,invest,IBM,loyalty,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S03_MAINFRAME_INVENTORY,synthetic_comparable,source_uploads/mainframe_inventory_current_state.xlsx,row 6,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-Z-006,SHA-Z-006,Loyalty Accrual Core,revenue_accounting,3750,1725,1525000,5,near-real-time transaction window,safety-adjacent operational control,in-flight,High-volume operational transaction path still has unresolved downstream coupling.,2025-06-20,Operations Technology,11600000,mainframe,migrate,IBM,revenue_accounting,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S03_MAINFRAME_INVENTORY,synthetic_comparable,source_uploads/mainframe_inventory_current_state.xlsx,row 7,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-Z-007,SHA-Z-007,Revenue Accounting Batch,settlement,4060,1880,1700000,5,overnight settlement feed,DOT consumer rule / financial settlement impact,blocked,High-volume operational transaction path still has unresolved downstream coupling.,2025-07-20,Airline Core Platforms,12020000,mainframe,tolerate,IBM,settlement,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S03_MAINFRAME_INVENTORY,synthetic_comparable,source_uploads/mainframe_inventory_current_state.xlsx,row 8,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-Z-008,SHA-Z-008,Interline Settlement,cargo,4370,2035,1875000,5,overnight settlement feed,standard enterprise control,untouched,High-volume operational transaction path still has unresolved downstream coupling.,2025-08-20,Operations Technology,12440000,mainframe,invest,IBM,cargo,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S03_MAINFRAME_INVENTORY,synthetic_comparable,source_uploads/mainframe_inventory_current_state.xlsx,row 9,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-Z-009,SHA-Z-009,Baggage WorldTracer Bridge,MRO,4680,2190,2050000,5,00:30-03:45 CT hard window,standard enterprise control,in-analysis,High-volume operational transaction path still has unresolved downstream coupling.,2025-09-20,Airline Core Platforms,12860000,mainframe,invest,IBM,MRO,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S03_MAINFRAME_INVENTORY,synthetic_comparable,source_uploads/mainframe_inventory_current_state.xlsx,row 10,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-Z-010,SHA-Z-010,Cargo Capacity Rating,finance_batch,4990,2345,2225000,5,near-real-time transaction window,standard enterprise control,untouched,High-volume operational transaction path still has unresolved downstream coupling.,2025-10-20,Operations Technology,13280000,mainframe,invest,IBM,finance_batch,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S03_MAINFRAME_INVENTORY,synthetic_comparable,source_uploads/mainframe_inventory_current_state.xlsx,row 11,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
