engagement_id,vendor,start_date,original_scope,current_scope,original_value_usd,current_value_usd,annual_value_usd,productivity_guarantees,IP_ownership,exit_rights,client_id,client_key,segment_id,data_basis,source_artifact_path,source_ref,parser_used,approval_status,confidence,last_updated,subrecord_id,record_type,description,target_value,actual_value,dispute_status
SHA-IBM-MASTER,IBM,2021-04-01,"Mainframe modernization factory, Z run support, extraction planning, API wrapping, and migration delivery","Z run support, modernization factory, dependency analysis, test automation, and transition assistance",950000000,1400000000,280000000,Years 1-2 met; years 3-4 slipped; year 5 contested on modernization throughput definition,Client-owned business logic; IBM reusable accelerators retained by IBM unless explicitly assigned,"Transition assistance included, but knowledge-transfer acceptance criteria need clarification before FY2027 renewal",6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S06_IBM_ENGAGEMENT,synthetic_comparable,source_uploads/ibm_modernization_sow_summary.pdf,page 1,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27,,,,,,
,,,,,,,,,,,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S06_IBM_ENGAGEMENT,synthetic_comparable,source_uploads/ibm_modernization_sow_summary.pdf,section 2,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27,SHA-IBM-001,change_order,Scope expanded after downstream dependency discovery.,,,contested
,,,,,,,,,,,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S06_IBM_ENGAGEMENT,synthetic_comparable,source_uploads/ibm_modernization_sow_summary.pdf,section 3,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27,SHA-IBM-002,milestone,Modernization factory evidence item.,,,accepted
,,,,,,,,,,,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S06_IBM_ENGAGEMENT,synthetic_comparable,source_uploads/ibm_modernization_sow_summary.pdf,section 4,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27,SHA-IBM-003,kpi_actual,Modernization factory evidence item.,14,9,accepted
,,,,,,,,,,,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S06_IBM_ENGAGEMENT,synthetic_comparable,source_uploads/ibm_modernization_sow_summary.pdf,section 5,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27,SHA-IBM-004,exit_clause,Modernization factory evidence item.,,,accepted
,,,,,,,,,,,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S06_IBM_ENGAGEMENT,synthetic_comparable,source_uploads/ibm_modernization_sow_summary.pdf,section 6,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27,SHA-IBM-005,knowledge_transfer,Modernization factory evidence item.,,,accepted
,,,,,,,,,,,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S06_IBM_ENGAGEMENT,synthetic_comparable,source_uploads/ibm_modernization_sow_summary.pdf,section 7,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27,SHA-IBM-006,change_order,Scope expanded after downstream dependency discovery.,,,accepted
,,,,,,,,,,,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S06_IBM_ENGAGEMENT,synthetic_comparable,source_uploads/ibm_modernization_sow_summary.pdf,section 8,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27,SHA-IBM-007,milestone,Modernization factory evidence item.,,,accepted
,,,,,,,,,,,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S06_IBM_ENGAGEMENT,synthetic_comparable,source_uploads/ibm_modernization_sow_summary.pdf,section 9,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27,SHA-IBM-008,kpi_actual,Modernization factory evidence item.,19,11,accepted
,,,,,,,,,,,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S06_IBM_ENGAGEMENT,synthetic_comparable,source_uploads/ibm_modernization_sow_summary.pdf,section 10,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27,SHA-IBM-009,exit_clause,Modernization factory evidence item.,,,accepted
