tenant_key,persona_or_role,function_name,role_count,location_model,employment_type,vendor_supported,skills,pain_points,automation_opportunity,source_file,source_date,confidence,known_gaps,original_source_file,original_packet,original_row_number,original_row_id,source_classification,source_fingerprint,consolidation_rule_used,conflict_status
skyharbor-air,IROPS duty manager,IROPS duty manager,,,,,,,High,datasets/tenant-inputs/active/skyharbor-air/current/03_workforce_roles.csv,2026-07-10,medium,"Synthetic airline planning-grade substrate; not real SkyHarbor production data. | Existing tenant upgrade candidate; do not treat as active until promotion proof passes. | No client-approved system inventory, contract economics, or operational baseline is loaded. | No production IROPS AI, autonomous recovery, or Tower value outcome is proven. | No workshop signoff for owners, baseline metrics, control evidence, or data quality scores is loaded.",datasets/tenant-inputs/active/skyharbor-air/current/03_workforce_roles.csv,universal-standard-v3,2,SHA-PER-001,synthetic-demo,65fbc184fdc3bc7404831e9a43e37f8c333324c06d00e2d9f0a31050789f7915,retained_from_active_source,none
skyharbor-air,Dispatcher,Dispatcher,,,,,,,Medium,datasets/tenant-inputs/active/skyharbor-air/current/03_workforce_roles.csv,2026-07-10,medium,"Synthetic airline planning-grade substrate; not real SkyHarbor production data. | Existing tenant upgrade candidate; do not treat as active until promotion proof passes. | No client-approved system inventory, contract economics, or operational baseline is loaded. | No production IROPS AI, autonomous recovery, or Tower value outcome is proven. | No workshop signoff for owners, baseline metrics, control evidence, or data quality scores is loaded.",datasets/tenant-inputs/active/skyharbor-air/current/03_workforce_roles.csv,universal-standard-v3,3,SHA-PER-002,synthetic-demo,65fbc184fdc3bc7404831e9a43e37f8c333324c06d00e2d9f0a31050789f7915,retained_from_active_source,none
skyharbor-air,Crew scheduler,Crew scheduler,,,,,,,High,datasets/tenant-inputs/active/skyharbor-air/current/03_workforce_roles.csv,2026-07-10,medium,"Synthetic airline planning-grade substrate; not real SkyHarbor production data. | Existing tenant upgrade candidate; do not treat as active until promotion proof passes. | No client-approved system inventory, contract economics, or operational baseline is loaded. | No production IROPS AI, autonomous recovery, or Tower value outcome is proven. | No workshop signoff for owners, baseline metrics, control evidence, or data quality scores is loaded.",datasets/tenant-inputs/active/skyharbor-air/current/03_workforce_roles.csv,universal-standard-v3,4,SHA-PER-003,synthetic-demo,65fbc184fdc3bc7404831e9a43e37f8c333324c06d00e2d9f0a31050789f7915,retained_from_active_source,none
skyharbor-air,Customer recovery supervisor,Customer recovery supervisor,,,,,,,High,datasets/tenant-inputs/active/skyharbor-air/current/03_workforce_roles.csv,2026-07-10,medium,"Synthetic airline planning-grade substrate; not real SkyHarbor production data. | Existing tenant upgrade candidate; do not treat as active until promotion proof passes. | No client-approved system inventory, contract economics, or operational baseline is loaded. | No production IROPS AI, autonomous recovery, or Tower value outcome is proven. | No workshop signoff for owners, baseline metrics, control evidence, or data quality scores is loaded.",datasets/tenant-inputs/active/skyharbor-air/current/03_workforce_roles.csv,universal-standard-v3,5,SHA-PER-004,synthetic-demo,65fbc184fdc3bc7404831e9a43e37f8c333324c06d00e2d9f0a31050789f7915,retained_from_active_source,none
skyharbor-air,Core platform engineer,Core platform engineer,,,,,,,High,datasets/tenant-inputs/active/skyharbor-air/current/03_workforce_roles.csv,2026-07-10,medium,"Synthetic airline planning-grade substrate; not real SkyHarbor production data. | Existing tenant upgrade candidate; do not treat as active until promotion proof passes. | No client-approved system inventory, contract economics, or operational baseline is loaded. | No production IROPS AI, autonomous recovery, or Tower value outcome is proven. | No workshop signoff for owners, baseline metrics, control evidence, or data quality scores is loaded.",datasets/tenant-inputs/active/skyharbor-air/current/03_workforce_roles.csv,universal-standard-v3,6,SHA-PER-005,synthetic-demo,65fbc184fdc3bc7404831e9a43e37f8c333324c06d00e2d9f0a31050789f7915,retained_from_active_source,none
skyharbor-air,Operations data product owner,Operations data product owner,,,,,,,High,datasets/tenant-inputs/active/skyharbor-air/current/03_workforce_roles.csv,2026-07-10,medium,"Synthetic airline planning-grade substrate; not real SkyHarbor production data. | Existing tenant upgrade candidate; do not treat as active until promotion proof passes. | No client-approved system inventory, contract economics, or operational baseline is loaded. | No production IROPS AI, autonomous recovery, or Tower value outcome is proven. | No workshop signoff for owners, baseline metrics, control evidence, or data quality scores is loaded.",datasets/tenant-inputs/active/skyharbor-air/current/03_workforce_roles.csv,universal-standard-v3,7,SHA-PER-006,synthetic-demo,65fbc184fdc3bc7404831e9a43e37f8c333324c06d00e2d9f0a31050789f7915,retained_from_active_source,none
skyharbor-air,IROPS duty manager,,,,,,,IROPS decision latency; crew legality handoffs; fragmented operational data; mainframe dependency; unproven AI controls; missing value baselines,,datasets/tenant-inputs/active/skyharbor-air/current/03_workforce_roles.csv,2026-07-10,,"Synthetic airline planning-grade substrate; not real SkyHarbor production data. | Existing tenant upgrade candidate; do not treat as active until promotion proof passes. | No client-approved system inventory, contract economics, or operational baseline is loaded. | No production IROPS AI, autonomous recovery, or Tower value outcome is proven. | No workshop signoff for owners, baseline metrics, control evidence, or data quality scores is loaded.",datasets/tenant-inputs/active/skyharbor-air/current/03_workforce_roles.csv,universal-standard-v3,2,SHA-AIR,synthetic-demo,d0d525d49beaff2feec7bb8f1d5f6bdfe69863e0283d1512007c36059b1fe89a,retained_from_active_source,none
skyharbor-air,Dispatcher,,,,,,,IROPS decision latency; crew legality handoffs; fragmented operational data; mainframe dependency; unproven AI controls; missing value baselines,,datasets/tenant-inputs/active/skyharbor-air/current/03_workforce_roles.csv,2026-07-10,,"Synthetic airline planning-grade substrate; not real SkyHarbor production data. | Existing tenant upgrade candidate; do not treat as active until promotion proof passes. | No client-approved system inventory, contract economics, or operational baseline is loaded. | No production IROPS AI, autonomous recovery, or Tower value outcome is proven. | No workshop signoff for owners, baseline metrics, control evidence, or data quality scores is loaded.",datasets/tenant-inputs/active/skyharbor-air/current/03_workforce_roles.csv,universal-standard-v3,3,SHA-AIR,synthetic-demo,d0d525d49beaff2feec7bb8f1d5f6bdfe69863e0283d1512007c36059b1fe89a,retained_from_active_source,none
skyharbor-air,Crew scheduler,,,,,,,IROPS decision latency; crew legality handoffs; fragmented operational data; mainframe dependency; unproven AI controls; missing value baselines,,datasets/tenant-inputs/active/skyharbor-air/current/03_workforce_roles.csv,2026-07-10,,"Synthetic airline planning-grade substrate; not real SkyHarbor production data. | Existing tenant upgrade candidate; do not treat as active until promotion proof passes. | No client-approved system inventory, contract economics, or operational baseline is loaded. | No production IROPS AI, autonomous recovery, or Tower value outcome is proven. | No workshop signoff for owners, baseline metrics, control evidence, or data quality scores is loaded.",datasets/tenant-inputs/active/skyharbor-air/current/03_workforce_roles.csv,universal-standard-v3,4,SHA-AIR,synthetic-demo,d0d525d49beaff2feec7bb8f1d5f6bdfe69863e0283d1512007c36059b1fe89a,retained_from_active_source,none
skyharbor-air,Customer recovery supervisor,,,,,,,IROPS decision latency; crew legality handoffs; fragmented operational data; mainframe dependency; unproven AI controls; missing value baselines,,datasets/tenant-inputs/active/skyharbor-air/current/03_workforce_roles.csv,2026-07-10,,"Synthetic airline planning-grade substrate; not real SkyHarbor production data. | Existing tenant upgrade candidate; do not treat as active until promotion proof passes. | No client-approved system inventory, contract economics, or operational baseline is loaded. | No production IROPS AI, autonomous recovery, or Tower value outcome is proven. | No workshop signoff for owners, baseline metrics, control evidence, or data quality scores is loaded.",datasets/tenant-inputs/active/skyharbor-air/current/03_workforce_roles.csv,universal-standard-v3,5,SHA-AIR,synthetic-demo,d0d525d49beaff2feec7bb8f1d5f6bdfe69863e0283d1512007c36059b1fe89a,retained_from_active_source,none
skyharbor-air,Core platform engineer,,,,,,,IROPS decision latency; crew legality handoffs; fragmented operational data; mainframe dependency; unproven AI controls; missing value baselines,,datasets/tenant-inputs/active/skyharbor-air/current/03_workforce_roles.csv,2026-07-10,,"Synthetic airline planning-grade substrate; not real SkyHarbor production data. | Existing tenant upgrade candidate; do not treat as active until promotion proof passes. | No client-approved system inventory, contract economics, or operational baseline is loaded. | No production IROPS AI, autonomous recovery, or Tower value outcome is proven. | No workshop signoff for owners, baseline metrics, control evidence, or data quality scores is loaded.",datasets/tenant-inputs/active/skyharbor-air/current/03_workforce_roles.csv,universal-standard-v3,6,SHA-AIR,synthetic-demo,d0d525d49beaff2feec7bb8f1d5f6bdfe69863e0283d1512007c36059b1fe89a,retained_from_active_source,none
