tenant_key,platform_name,platform_type,hosting_model,data_center_or_region,technology_stack,operational_owner,criticality,lifecycle_state,capacity_or_scale,constraints,future_target_flag,source_file,source_date,confidence,known_gaps,original_source_file,original_packet,original_row_number,original_row_id,source_classification,source_fingerprint,consolidation_rule_used,conflict_status
skyharbor-air,IBM-0001,IBM Z mainframe LPAR,PR/SM,DC-East (primary),IBM z16,,,current,medium,,,datasets/tenant-inputs/active/skyharbor-air/current/06_infrastructure_platforms.csv,,,,datasets/tenant-inputs/active/skyharbor-air/current/06_infrastructure_platforms.csv,universal-standard-v3,2,IBM-0001,synthetic-demo,b6321df5d2a19679dfb665d87d708d72f8c773ef6c263d6abf3b263664067b96,retained_from_active_source,none
skyharbor-air,IBM-0002,IBM Z mainframe LPAR,PR/SM,DC-East (primary),IBM z16,,,aging,small,,,datasets/tenant-inputs/active/skyharbor-air/current/06_infrastructure_platforms.csv,,,,datasets/tenant-inputs/active/skyharbor-air/current/06_infrastructure_platforms.csv,universal-standard-v3,3,IBM-0002,synthetic-demo,b6321df5d2a19679dfb665d87d708d72f8c773ef6c263d6abf3b263664067b96,retained_from_active_source,none
skyharbor-air,IBM-0003,IBM Z mainframe LPAR,PR/SM,DC-West (DR),IBM z16,,,aging,xlarge,,,datasets/tenant-inputs/active/skyharbor-air/current/06_infrastructure_platforms.csv,,,,datasets/tenant-inputs/active/skyharbor-air/current/06_infrastructure_platforms.csv,universal-standard-v3,4,IBM-0003,synthetic-demo,b6321df5d2a19679dfb665d87d708d72f8c773ef6c263d6abf3b263664067b96,retained_from_active_source,none
skyharbor-air,IBM-0004,IBM Z mainframe LPAR,PR/SM,DC-West (DR),IBM z16,,,current,large,,,datasets/tenant-inputs/active/skyharbor-air/current/06_infrastructure_platforms.csv,,,,datasets/tenant-inputs/active/skyharbor-air/current/06_infrastructure_platforms.csv,universal-standard-v3,5,IBM-0004,synthetic-demo,b6321df5d2a19679dfb665d87d708d72f8c773ef6c263d6abf3b263664067b96,retained_from_active_source,none
skyharbor-air,IBM-0005,IBM Z mainframe LPAR,PR/SM,DC-West (DR),IBM z16,,,current,xlarge,,,datasets/tenant-inputs/active/skyharbor-air/current/06_infrastructure_platforms.csv,,,,datasets/tenant-inputs/active/skyharbor-air/current/06_infrastructure_platforms.csv,universal-standard-v3,6,IBM-0005,synthetic-demo,b6321df5d2a19679dfb665d87d708d72f8c773ef6c263d6abf3b263664067b96,retained_from_active_source,none
skyharbor-air,IBM-0006,IBM Z mainframe LPAR,PR/SM,DC-West (DR),IBM z16,,,current,medium,,,datasets/tenant-inputs/active/skyharbor-air/current/06_infrastructure_platforms.csv,,,,datasets/tenant-inputs/active/skyharbor-air/current/06_infrastructure_platforms.csv,universal-standard-v3,7,IBM-0006,synthetic-demo,b6321df5d2a19679dfb665d87d708d72f8c773ef6c263d6abf3b263664067b96,retained_from_active_source,none
skyharbor-air,IBM-0007,IBM Z mainframe LPAR,PR/SM,DC-East (primary),IBM z16,,,aging,xlarge,,,datasets/tenant-inputs/active/skyharbor-air/current/06_infrastructure_platforms.csv,,,,datasets/tenant-inputs/active/skyharbor-air/current/06_infrastructure_platforms.csv,universal-standard-v3,8,IBM-0007,synthetic-demo,b6321df5d2a19679dfb665d87d708d72f8c773ef6c263d6abf3b263664067b96,retained_from_active_source,none
skyharbor-air,IBM-0008,IBM Z mainframe LPAR,PR/SM,DC-East (primary),IBM z16,,,current,small,,,datasets/tenant-inputs/active/skyharbor-air/current/06_infrastructure_platforms.csv,,,,datasets/tenant-inputs/active/skyharbor-air/current/06_infrastructure_platforms.csv,universal-standard-v3,9,IBM-0008,synthetic-demo,b6321df5d2a19679dfb665d87d708d72f8c773ef6c263d6abf3b263664067b96,retained_from_active_source,none
skyharbor-air,IBM-0009,IBM Z mainframe LPAR,PR/SM,Colo-Hub-A,IBM z16,,,aging,small,,,datasets/tenant-inputs/active/skyharbor-air/current/06_infrastructure_platforms.csv,,,,datasets/tenant-inputs/active/skyharbor-air/current/06_infrastructure_platforms.csv,universal-standard-v3,10,IBM-0009,synthetic-demo,b6321df5d2a19679dfb665d87d708d72f8c773ef6c263d6abf3b263664067b96,retained_from_active_source,none
skyharbor-air,IBM-0010,IBM Z mainframe LPAR,PR/SM,Colo-Hub-A,IBM z16,,,aging,large,,,datasets/tenant-inputs/active/skyharbor-air/current/06_infrastructure_platforms.csv,,,,datasets/tenant-inputs/active/skyharbor-air/current/06_infrastructure_platforms.csv,universal-standard-v3,11,IBM-0010,synthetic-demo,b6321df5d2a19679dfb665d87d708d72f8c773ef6c263d6abf3b263664067b96,retained_from_active_source,none
