tenant_key,system_name,system_type,system_category,business_function,system_scope,deployment_model,hosting_location,lifecycle_state,criticality,business_owner,technology_owner,vendor,data_domains,interfaces_count,current_state_or_target_state,source_file,source_date,confidence,known_gaps,record_id,entity_id,business_name,context_item,dimension,evidence_id,active_candidate_status,source_type,source_basis,synthetic_data_flag,evidence_boundary,module_usage_notes,capability,owner,lifecycle_status,vendor_id,integrations,data_dependencies,use_case,data_domain,systems,value_hypothesis,evidence_needed,risk_or_gap,affected_systems,metric_boundary,forbidden_claims,legacy_row_flag,source_row_status,migration_action,additive_status,amount_basis,finance_attestation_status,funding_status,approved_funding_usd,realized_value_usd,tower_claim_allowed,evidence_type,evidence_location,evidence_owner,caveat,generated_fields,generation_basis
meridian-health,Epic Hyperspace,Service,clinical_ehr,,,On-premise,,current_core,critical,Clinical Platforms,,MER-VEN-EPIC,encounters; orders; results; clinical workflows,33,,,,high,,MER-V3-0001,MER-HS,Epic Hyperspace,Epic Hyperspace,04_applications_systems,MER-V3-EVID-0040,active,synthetic_v3_context_generation,user_provided_context_plus_synthetic_demo_structuring,synthetic_demo,synthetic_demo_phi_free_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,clinical_ehr,Clinical Platforms,current_core,MER-VEN-EPIC,Epic Bridges; Clarity; Caboodle,encounters; orders; results; clinical workflows,,,,,,,,,,,,,,,,,,,,,,,,system_type;deployment_model;interfaces_count,synthetic_demo_attribute_generation_2026_08_not_client_evidence
meridian-health,Epic Clarity,Service,clinical_reporting_repository,,,SaaS,,current_core,critical,Epic Analytics,,MER-VEN-EPIC,clinical reporting; encounter data; quality extracts,10,,,,high,,MER-V3-0002,MER-HS,Epic Clarity,Epic Clarity,04_applications_systems,MER-V3-EVID-0041,active,synthetic_v3_context_generation,user_provided_context_plus_synthetic_demo_structuring,synthetic_demo,synthetic_demo_phi_free_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,clinical_reporting_repository,Epic Analytics,current_core,MER-VEN-EPIC,SQL Server extracts; Caboodle; Tableau,clinical reporting; encounter data; quality extracts,,,,,,,,,,,,,,,,,,,,,,,,system_type;deployment_model;interfaces_count,synthetic_demo_attribute_generation_2026_08_not_client_evidence
meridian-health,Epic Caboodle,Application,clinical_warehouse,,,SaaS,,current_core,high,Epic Analytics,,MER-VEN-EPIC,curated Epic clinical model; quality reporting,33,,,,high,,MER-V3-0003,MER-HS,Epic Caboodle,Epic Caboodle,04_applications_systems,MER-V3-EVID-0042,active,synthetic_v3_context_generation,user_provided_context_plus_synthetic_demo_structuring,synthetic_demo,synthetic_demo_phi_free_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,clinical_warehouse,Epic Analytics,current_core,MER-VEN-EPIC,Clarity ETL; Cogito; BI tools,curated Epic clinical model; quality reporting,,,,,,,,,,,,,,,,,,,,,,,,system_type;deployment_model;interfaces_count,synthetic_demo_attribute_generation_2026_08_not_client_evidence
meridian-health,On-prem SQL Server reporting marts,Application,legacy_reporting_marts,,,SaaS,,fragmented_reporting_estate,critical,Enterprise Data Warehouse,,MER-VEN-MICROSOFT,departmental marts; duplicated business rules; extract chains,30,,,,medium,,MER-V3-0004,MER-HS,On-prem SQL Server reporting marts,On-prem SQL Server reporting marts,04_applications_systems,MER-V3-EVID-0043,active,synthetic_v3_context_generation,user_provided_context_plus_synthetic_demo_structuring,synthetic_demo,synthetic_demo_phi_free_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,legacy_reporting_marts,Enterprise Data Warehouse,fragmented_reporting_estate,MER-VEN-MICROSOFT,SSIS; SQL Agent; Tableau extracts; Power BI gateway; SAS feeds,departmental marts; duplicated business rules; extract chains,,,,,,,,,,,,,,,,,,,,,,,,system_type;deployment_model;interfaces_count,synthetic_demo_attribute_generation_2026_08_not_client_evidence
meridian-health,Tableau reporting estate,Module,business_intelligence,,,On-premise,,current_reporting,high,BI and Analytics,,MER-VEN-TABLEAU,dashboards; extracts; local metric definitions,40,,,,high,,MER-V3-0005,MER-HS,Tableau reporting estate,Tableau reporting estate,04_applications_systems,MER-V3-EVID-0044,candidate,synthetic_v3_context_generation,user_provided_context_plus_synthetic_demo_structuring,synthetic_demo,synthetic_demo_phi_free_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,business_intelligence,BI and Analytics,current_reporting,MER-VEN-TABLEAU,SQL Server marts; Caboodle extracts,dashboards; extracts; local metric definitions,,,,,,,,,,,,,,,,,,,,,,,,system_type;deployment_model;interfaces_count,synthetic_demo_attribute_generation_2026_08_not_client_evidence
meridian-health,SAS analytics estate,Application,advanced_analytics_legacy,,,SaaS,,current_reporting,medium,Analytics,,MER-VEN-SAS,analytics programs; payment integrity models; statistical extracts,21,,,,high,,MER-V3-0006,MER-HS,SAS analytics estate,SAS analytics estate,04_applications_systems,MER-V3-EVID-0045,active,synthetic_v3_context_generation,user_provided_context_plus_synthetic_demo_structuring,synthetic_demo,synthetic_demo_phi_free_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,advanced_analytics_legacy,Analytics,current_reporting,MER-VEN-SAS,SQL Server marts; flat files,analytics programs; payment integrity models; statistical extracts,,,,,,,,,,,,,,,,,,,,,,,,system_type;deployment_model;interfaces_count,synthetic_demo_attribute_generation_2026_08_not_client_evidence
meridian-health,Power BI reporting estate,Platform,business_intelligence,,,SaaS,,current_reporting,high,BI and Analytics,,MER-VEN-MICROSOFT,dashboards; finance reporting; semantic models,39,,,,high,,MER-V3-0007,MER-HS,Power BI reporting estate,Power BI reporting estate,04_applications_systems,MER-V3-EVID-0046,active,synthetic_v3_context_generation,user_provided_context_plus_synthetic_demo_structuring,synthetic_demo,synthetic_demo_phi_free_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,business_intelligence,BI and Analytics,current_reporting,MER-VEN-MICROSOFT,SQL Server gateway; Excel; semantic models,dashboards; finance reporting; semantic models,,,,,,,,,,,,,,,,,,,,,,,,system_type;deployment_model;interfaces_count,synthetic_demo_attribute_generation_2026_08_not_client_evidence
meridian-health,Claims administration platform,Module,claims,,,Vendor hosted,,current_core,critical,Health Plan Operations,,MER-VEN-CLAIMS,medical claims; adjudication; claim edits,29,,,,medium,,MER-V3-0008,MER-HS,Claims administration platform,Claims administration platform,04_applications_systems,MER-V3-EVID-0047,active,synthetic_v3_context_generation,user_provided_context_plus_synthetic_demo_structuring,synthetic_demo,synthetic_demo_phi_free_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,claims,Health Plan Operations,current_core,MER-VEN-CLAIMS,EDI; claims extracts; payment integrity feeds,medical claims; adjudication; claim edits,,,,,,,,,,,,,,,,,,,,,,,,system_type;deployment_model;interfaces_count,synthetic_demo_attribute_generation_2026_08_not_client_evidence
meridian-health,Pharmacy claims platform,Platform,pharmacy_claims,,,On-premise,,current_core,high,Pharmacy Operations,,MER-VEN-PBM,pharmacy claims; formulary; medication adherence,29,,,,high,,MER-V3-0009,MER-HS,Pharmacy claims platform,Pharmacy claims platform,04_applications_systems,MER-V3-EVID-0048,active,synthetic_v3_context_generation,user_provided_context_plus_synthetic_demo_structuring,synthetic_demo,synthetic_demo_phi_free_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,pharmacy_claims,Pharmacy Operations,current_core,MER-VEN-PBM,NCPDP feeds; claims warehouse extracts,pharmacy claims; formulary; medication adherence,,,,,,,,,,,,,,,,,,,,,,,,system_type;deployment_model;interfaces_count,synthetic_demo_attribute_generation_2026_08_not_client_evidence
meridian-health,CRM / member case management,Module,crm,,,Private cloud,,current_core,high,Member Services,,MER-VEN-CRM,member/provider cases; service history,0,,,,high,,MER-V3-0010,MER-HS,CRM / member case management,CRM / member case management,04_applications_systems,MER-V3-EVID-0049,candidate,synthetic_v3_context_generation,user_provided_context_plus_synthetic_demo_structuring,synthetic_demo,synthetic_demo_phi_free_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,crm,Member Services,current_core,MER-VEN-CRM,contact center; claims status; member profile,member/provider cases; service history,,,,,,,,,,,,,,,,,,,,,,,,system_type;deployment_model;interfaces_count,synthetic_demo_attribute_generation_2026_08_not_client_evidence
