tenant_key,data_asset_name,data_domain,source_system,target_system,integration_type,platform_or_database,current_state_or_target_state,refresh_frequency,data_owner,data_steward,quality_status,regulated_data_flag,analytics_usage,source_file,source_date,confidence,known_gaps,record_id,entity_id,business_name,context_item,dimension,evidence_id,active_candidate_status,source_type,source_basis,synthetic_data_flag,evidence_boundary,module_usage_notes,use_case,systems,value_hypothesis,evidence_needed,risk_or_gap,affected_systems,metric_boundary,forbidden_claims,legacy_row_flag,source_row_status,migration_action,additive_status,amount_basis,finance_attestation_status,funding_status,approved_funding_usd,realized_value_usd,tower_claim_allowed,evidence_type,evidence_location,evidence_owner,caveat,generated_fields,generation_basis,inherited_line_of_business,inherited_function_tier,inherited_segment_hops
meridian-health,Unified clinical + claims lakehouse: EMR clinical,EMR clinical,Epic Clarity; Epic Caboodle; Claims administration platform; Pharmacy claims platform; Databricks on AWS,,,,,Monthly,,,Not assessed,yes,,,,high,,MER-V3-0001,MER-HS,Unified clinical + claims lakehouse: EMR clinical,Unified clinical + claims lakehouse: EMR clinical,05_data_assets_integrations,MER-V3-EVID-0100,active,synthetic_v3_context_generation,user_provided_context_plus_synthetic_demo_structuring,synthetic_demo,synthetic_demo_phi_free_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,Unified clinical + claims lakehouse,Epic Clarity; Epic Caboodle; Claims administration platform; Pharmacy claims platform; Databricks on AWS,"Create a governed longitudinal patient/member view only after EMR, claims, pharmacy, identity, medallion, and governance evidence are certified; quantify value after baseline owners sign off.",No certified medallion architecture; No patient/member identity spine loaded; Claims and pharmacy harmonization not proven; AWS/Databricks foundation not ready,,,,,,,,,,,,,,,,,,,refresh_frequency;quality_status;regulated_data_flag,synthetic_demo_attribute_generation_2026_08_not_client_evidence,UNDECLARED,UNDECLARED,
meridian-health,Unified clinical + claims lakehouse: claims,claims,Epic Clarity; Epic Caboodle; Claims administration platform; Pharmacy claims platform; Databricks on AWS,,,,,Daily,,,Not assessed,yes,,,,high,,MER-V3-0002,MER-HS,Unified clinical + claims lakehouse: claims,Unified clinical + claims lakehouse: claims,05_data_assets_integrations,MER-V3-EVID-0101,active,synthetic_v3_context_generation,user_provided_context_plus_synthetic_demo_structuring,synthetic_demo,synthetic_demo_phi_free_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,Unified clinical + claims lakehouse,Epic Clarity; Epic Caboodle; Claims administration platform; Pharmacy claims platform; Databricks on AWS,"Create a governed longitudinal patient/member view only after EMR, claims, pharmacy, identity, medallion, and governance evidence are certified; quantify value after baseline owners sign off.",No certified medallion architecture; No patient/member identity spine loaded; Claims and pharmacy harmonization not proven; AWS/Databricks foundation not ready,,,,,,,,,,,,,,,,,,,refresh_frequency;quality_status;regulated_data_flag,synthetic_demo_attribute_generation_2026_08_not_client_evidence,UNDECLARED,UNDECLARED,
meridian-health,Unified clinical + claims lakehouse: pharmacy,pharmacy,Epic Clarity; Epic Caboodle; Claims administration platform; Pharmacy claims platform; Databricks on AWS,,,,,Weekly,,,Validated,no,,,,high,,MER-V3-0003,MER-HS,Unified clinical + claims lakehouse: pharmacy,Unified clinical + claims lakehouse: pharmacy,05_data_assets_integrations,MER-V3-EVID-0102,active,synthetic_v3_context_generation,user_provided_context_plus_synthetic_demo_structuring,synthetic_demo,synthetic_demo_phi_free_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,Unified clinical + claims lakehouse,Epic Clarity; Epic Caboodle; Claims administration platform; Pharmacy claims platform; Databricks on AWS,"Create a governed longitudinal patient/member view only after EMR, claims, pharmacy, identity, medallion, and governance evidence are certified; quantify value after baseline owners sign off.",No certified medallion architecture; No patient/member identity spine loaded; Claims and pharmacy harmonization not proven; AWS/Databricks foundation not ready,,,,,,,,,,,,,,,,,,,refresh_frequency;quality_status;regulated_data_flag,synthetic_demo_attribute_generation_2026_08_not_client_evidence,UNDECLARED,UNDECLARED,
meridian-health,Governed data foundation for AI / LLM automation: prior authorization,prior authorization,Epic Clarity; SQL Server reporting marts; SAS analytics estate; Databricks on AWS,,,,,Daily,,,Not assessed,no,,,,medium,,MER-V3-0004,MER-HS,Governed data foundation for AI / LLM automation: prior authorization,Governed data foundation for AI / LLM automation: prior authorization,05_data_assets_integrations,MER-V3-EVID-0103,active,synthetic_v3_context_generation,user_provided_context_plus_synthetic_demo_structuring,synthetic_demo,synthetic_demo_phi_free_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,Governed data foundation for AI / LLM automation,Epic Clarity; SQL Server reporting marts; SAS analytics estate; Databricks on AWS,"Enable prior-auth, coding, and UM automation only after governance, semantic ownership, lineage, and control evidence are in place; quantify after workflow baselines and audit requirements are captured.",No formal data governance; No certified semantic layer; No AI audit trail evidence; Data quality rules not loaded,,,,,,,,,,,,,,,,,,,refresh_frequency;quality_status;regulated_data_flag,synthetic_demo_attribute_generation_2026_08_not_client_evidence,UNDECLARED,UNDECLARED,
meridian-health,Governed data foundation for AI / LLM automation: coding,coding,Epic Clarity; SQL Server reporting marts; SAS analytics estate; Databricks on AWS,,,,,Real-time,,,Partially validated,no,,,,high,,MER-V3-0005,MER-HS,Governed data foundation for AI / LLM automation: coding,Governed data foundation for AI / LLM automation: coding,05_data_assets_integrations,MER-V3-EVID-0104,candidate,synthetic_v3_context_generation,user_provided_context_plus_synthetic_demo_structuring,synthetic_demo,synthetic_demo_phi_free_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,Governed data foundation for AI / LLM automation,Epic Clarity; SQL Server reporting marts; SAS analytics estate; Databricks on AWS,"Enable prior-auth, coding, and UM automation only after governance, semantic ownership, lineage, and control evidence are in place; quantify after workflow baselines and audit requirements are captured.",No formal data governance; No certified semantic layer; No AI audit trail evidence; Data quality rules not loaded,,,,,,,,,,,,,,,,,,,refresh_frequency;quality_status;regulated_data_flag,synthetic_demo_attribute_generation_2026_08_not_client_evidence,UNDECLARED,UNDECLARED,
meridian-health,Governed data foundation for AI / LLM automation: utilization management,utilization management,Epic Clarity; SQL Server reporting marts; SAS analytics estate; Databricks on AWS,,,,,Real-time,,,Partially validated,yes,,,,high,,MER-V3-0006,MER-HS,Governed data foundation for AI / LLM automation: utilization management,Governed data foundation for AI / LLM automation: utilization management,05_data_assets_integrations,MER-V3-EVID-0105,active,synthetic_v3_context_generation,user_provided_context_plus_synthetic_demo_structuring,synthetic_demo,synthetic_demo_phi_free_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,Governed data foundation for AI / LLM automation,Epic Clarity; SQL Server reporting marts; SAS analytics estate; Databricks on AWS,"Enable prior-auth, coding, and UM automation only after governance, semantic ownership, lineage, and control evidence are in place; quantify after workflow baselines and audit requirements are captured.",No formal data governance; No certified semantic layer; No AI audit trail evidence; Data quality rules not loaded,,,,,,,,,,,,,,,,,,,refresh_frequency;quality_status;regulated_data_flag,synthetic_demo_attribute_generation_2026_08_not_client_evidence,UNDECLARED,UNDECLARED,
meridian-health,Call center optimization: transcripts,transcripts,Contact center transcript and telephony platform; CRM / member case management; Claims administration platform; Power BI reporting estate,,,,,Monthly,,,Validated,no,,,,high,,MER-V3-0007,MER-HS,Call center optimization: transcripts,Call center optimization: transcripts,05_data_assets_integrations,MER-V3-EVID-0106,active,synthetic_v3_context_generation,user_provided_context_plus_synthetic_demo_structuring,synthetic_demo,synthetic_demo_phi_free_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,Call center optimization,Contact center transcript and telephony platform; CRM / member case management; Claims administration platform; Power BI reporting estate,"Improve agent assist and next-best-action only after transcript, CRM, claims, intent, and QA-label evidence is governed; quantify after baseline AHT, containment, and first-call-resolution data are loaded.",Transcript governance not loaded; Real-time integration not proven; Intent taxonomy not certified; Member identity linkage not proven,,,,,,,,,,,,,,,,,,,refresh_frequency;quality_status;regulated_data_flag,synthetic_demo_attribute_generation_2026_08_not_client_evidence,UNDECLARED,UNDECLARED,
meridian-health,Call center optimization: CRM cases,CRM cases,Contact center transcript and telephony platform; CRM / member case management; Claims administration platform; Power BI reporting estate,,,,,Daily,,,Not assessed,yes,,,,medium,,MER-V3-0008,MER-HS,Call center optimization: CRM cases,Call center optimization: CRM cases,05_data_assets_integrations,MER-V3-EVID-0107,active,synthetic_v3_context_generation,user_provided_context_plus_synthetic_demo_structuring,synthetic_demo,synthetic_demo_phi_free_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,Call center optimization,Contact center transcript and telephony platform; CRM / member case management; Claims administration platform; Power BI reporting estate,"Improve agent assist and next-best-action only after transcript, CRM, claims, intent, and QA-label evidence is governed; quantify after baseline AHT, containment, and first-call-resolution data are loaded.",Transcript governance not loaded; Real-time integration not proven; Intent taxonomy not certified; Member identity linkage not proven,,,,,,,,,,,,,,,,,,,refresh_frequency;quality_status;regulated_data_flag,synthetic_demo_attribute_generation_2026_08_not_client_evidence,UNDECLARED,UNDECLARED,
meridian-health,Call center optimization: claims status,claims status,Contact center transcript and telephony platform; CRM / member case management; Claims administration platform; Power BI reporting estate,,,,,Monthly,,,Partially validated,no,,,,high,,MER-V3-0009,MER-HS,Call center optimization: claims status,Call center optimization: claims status,05_data_assets_integrations,MER-V3-EVID-0108,active,synthetic_v3_context_generation,user_provided_context_plus_synthetic_demo_structuring,synthetic_demo,synthetic_demo_phi_free_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,Call center optimization,Contact center transcript and telephony platform; CRM / member case management; Claims administration platform; Power BI reporting estate,"Improve agent assist and next-best-action only after transcript, CRM, claims, intent, and QA-label evidence is governed; quantify after baseline AHT, containment, and first-call-resolution data are loaded.",Transcript governance not loaded; Real-time integration not proven; Intent taxonomy not certified; Member identity linkage not proven,,,,,,,,,,,,,,,,,,,refresh_frequency;quality_status;regulated_data_flag,synthetic_demo_attribute_generation_2026_08_not_client_evidence,UNDECLARED,UNDECLARED,
meridian-health,Provider quality and performance: HEDIS,HEDIS,Epic Caboodle; Epic Clarity; Tableau reporting estate; Power BI reporting estate; Provider contract repository,,,,,Weekly,,,Validated,no,,,,high,,MER-V3-0010,MER-HS,Provider quality and performance: HEDIS,Provider quality and performance: HEDIS,05_data_assets_integrations,MER-V3-EVID-0109,candidate,synthetic_v3_context_generation,user_provided_context_plus_synthetic_demo_structuring,synthetic_demo,synthetic_demo_phi_free_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,Provider quality and performance,Epic Caboodle; Epic Clarity; Tableau reporting estate; Power BI reporting estate; Provider contract repository,"Support provider performance management after HEDIS/STAR logic, attribution, contract linkage, and quality semantic models are certified; quantify after measure owner signoff.",Measure logic fragmented across BI tools; Attribution ownership not proven; Provider contract linkage not certified; Near-real-time quality layer not proven,,,,,,,,,,,,,,,,,,,refresh_frequency;quality_status;regulated_data_flag,synthetic_demo_attribute_generation_2026_08_not_client_evidence,UNDECLARED,UNDECLARED,
