tenant_key,source_file,source_type,source_owner,source_date,as_of_date,confidentiality,domains_covered,row_count_or_pages,quality_notes,approved_for_loading,known_gaps,record_id,entity_id,business_name,context_item,dimension,evidence_id,active_candidate_status,confidence,source_basis,synthetic_data_flag,evidence_boundary,module_usage_notes,evidence_type,evidence_location,evidence_owner,use_case,data_domain,systems,value_hypothesis,evidence_needed,risk_or_gap,affected_systems,metric_boundary,forbidden_claims,legacy_row_flag,source_row_status,migration_action,additive_status,amount_basis,finance_attestation_status,funding_status,approved_funding_usd,realized_value_usd,tower_claim_allowed,caveat,generated_fields,generation_basis
meridian-health,datasets/tenant-inputs/meridian-health/standard-2026-07-v3,synthetic_v3_context_generation,AbarVa synthetic data steward,,,synthetic_demo_phi_free_planning_grade,,,,,,MER-V3-0001,MER-HS,Unified clinical + claims lakehouse synthetic evidence bundle,Unified clinical + claims lakehouse synthetic evidence bundle,13_evidence_sources,MER-V3-EVID-0240,active,high,user_provided_context_plus_synthetic_demo_structuring,synthetic_demo,synthetic_demo_phi_free_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,synthetic_context_bundle,datasets/tenant-inputs/meridian-health/standard-2026-07-v3,AbarVa synthetic data steward,,,,,,,,,,,,,,,,,,,,,,
meridian-health,datasets/tenant-inputs/meridian-health/standard-2026-07-v3,synthetic_v3_context_generation,AbarVa synthetic data steward,,,synthetic_demo_phi_free_planning_grade,,,,,,MER-V3-0002,MER-HS,Governed data foundation for AI / LLM automation synthetic evidence bundle,Governed data foundation for AI / LLM automation synthetic evidence bundle,13_evidence_sources,MER-V3-EVID-0241,active,high,user_provided_context_plus_synthetic_demo_structuring,synthetic_demo,synthetic_demo_phi_free_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,synthetic_context_bundle,datasets/tenant-inputs/meridian-health/standard-2026-07-v3,AbarVa synthetic data steward,,,,,,,,,,,,,,,,,,,,,,
meridian-health,datasets/tenant-inputs/meridian-health/standard-2026-07-v3,synthetic_v3_context_generation,AbarVa synthetic data steward,,,synthetic_demo_phi_free_planning_grade,,,,,,MER-V3-0003,MER-HS,Call center optimization synthetic evidence bundle,Call center optimization synthetic evidence bundle,13_evidence_sources,MER-V3-EVID-0242,active,high,user_provided_context_plus_synthetic_demo_structuring,synthetic_demo,synthetic_demo_phi_free_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,synthetic_context_bundle,datasets/tenant-inputs/meridian-health/standard-2026-07-v3,AbarVa synthetic data steward,,,,,,,,,,,,,,,,,,,,,,
meridian-health,datasets/tenant-inputs/meridian-health/standard-2026-07-v3,synthetic_v3_context_generation,AbarVa synthetic data steward,,,synthetic_demo_phi_free_planning_grade,,,,,,MER-V3-0004,MER-HS,Provider quality and performance synthetic evidence bundle,Provider quality and performance synthetic evidence bundle,13_evidence_sources,MER-V3-EVID-0243,active,medium,user_provided_context_plus_synthetic_demo_structuring,synthetic_demo,synthetic_demo_phi_free_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,synthetic_context_bundle,datasets/tenant-inputs/meridian-health/standard-2026-07-v3,AbarVa synthetic data steward,,,,,,,,,,,,,,,,,,,,,,
meridian-health,datasets/tenant-inputs/meridian-health/standard-2026-07-v3,synthetic_v3_context_generation,AbarVa synthetic data steward,,,synthetic_demo_phi_free_planning_grade,,,,,,MER-V3-0005,MER-HS,End-to-end cost transparency synthetic evidence bundle,End-to-end cost transparency synthetic evidence bundle,13_evidence_sources,MER-V3-EVID-0244,candidate,high,user_provided_context_plus_synthetic_demo_structuring,synthetic_demo,synthetic_demo_phi_free_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,synthetic_context_bundle,datasets/tenant-inputs/meridian-health/standard-2026-07-v3,AbarVa synthetic data steward,,,,,,,,,,,,,,,,,,,,,,
meridian-health,datasets/tenant-inputs/meridian-health/standard-2026-07-v3,synthetic_v3_context_generation,AbarVa synthetic data steward,,,synthetic_demo_phi_free_planning_grade,,,,,,MER-V3-0006,MER-HS,Payment integrity and leakage reduction synthetic evidence bundle,Payment integrity and leakage reduction synthetic evidence bundle,13_evidence_sources,MER-V3-EVID-0245,active,high,user_provided_context_plus_synthetic_demo_structuring,synthetic_demo,synthetic_demo_phi_free_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,synthetic_context_bundle,datasets/tenant-inputs/meridian-health/standard-2026-07-v3,AbarVa synthetic data steward,,,,,,,,,,,,,,,,,,,,,,
meridian-health,datasets/tenant-inputs/meridian-health/standard-2026-07-v3,synthetic_v3_context_generation,AbarVa synthetic data steward,,,synthetic_demo_phi_free_planning_grade,,,,,,MER-V3-0007,MER-HS,Automated close and reporting synthetic evidence bundle,Automated close and reporting synthetic evidence bundle,13_evidence_sources,MER-V3-EVID-0246,active,high,user_provided_context_plus_synthetic_demo_structuring,synthetic_demo,synthetic_demo_phi_free_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,synthetic_context_bundle,datasets/tenant-inputs/meridian-health/standard-2026-07-v3,AbarVa synthetic data steward,,,,,,,,,,,,,,,,,,,,,,
meridian-health,tenant_generation_manifest,synthetic_v3_context_generation,AbarVa governance,,,synthetic_demo_phi_free_planning_grade,,,,,,MER-V3-0030,MER-HS,Boundary: Synthetic PHI-free planning-grade substrate; not real Meridian production data.,Boundary: Synthetic PHI-free planning-grade substrate; not real Meridian production data.,13_evidence_sources,MER-V3-EVID-0280,candidate,high,user_provided_context_plus_synthetic_demo_structuring,synthetic_demo,synthetic_demo_phi_free_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,claim_boundary,tenant_generation_manifest,AbarVa governance,,,,,,,,,,,,,,,,,,,,,,
meridian-health,tenant_generation_manifest,synthetic_v3_context_generation,AbarVa governance,,,synthetic_demo_phi_free_planning_grade,,,,,,MER-V3-0031,MER-HS,Boundary: AWS Databricks aspiration is not proof that the platform foundation is complete.,Boundary: AWS Databricks aspiration is not proof that the platform foundation is complete.,13_evidence_sources,MER-V3-EVID-0281,active,high,user_provided_context_plus_synthetic_demo_structuring,synthetic_demo,synthetic_demo_phi_free_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,claim_boundary,tenant_generation_manifest,AbarVa governance,,,,,,,,,,,,,,,,,,,,,,
meridian-health,tenant_generation_manifest,synthetic_v3_context_generation,AbarVa governance,,,synthetic_demo_phi_free_planning_grade,,,,,,MER-V3-0032,MER-HS,Boundary: No certified medallion architecture is loaded.,Boundary: No certified medallion architecture is loaded.,13_evidence_sources,MER-V3-EVID-0282,active,medium,user_provided_context_plus_synthetic_demo_structuring,synthetic_demo,synthetic_demo_phi_free_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,claim_boundary,tenant_generation_manifest,AbarVa governance,,,,,,,,,,,,,,,,,,,,,,
