tenant_key,platform_name,platform_type,hosting_model,data_center_or_region,technology_stack,operational_owner,criticality,lifecycle_state,capacity_or_scale,constraints,future_target_flag,source_file,source_date,confidence,known_gaps,record_id,entity_id,business_name,context_item,dimension,evidence_id,active_candidate_status,source_type,source_basis,synthetic_data_flag,evidence_boundary,module_usage_notes,capability,owner,lifecycle_status,vendor_id,integrations,data_dependencies,generated_fields,generation_basis
meridian-health,Epic Hyperspace,clinical_ehr,Hybrid,,,Clinical Platforms,critical,current_core,,,yes,,,high,Synthetically generated attribute; requires client evidence before use,MER-V3-0001,MER-HS,Epic Hyperspace,Epic Hyperspace,06_infrastructure_platforms,MER-V3-EVID-0040,active,synthetic_v3_context_generation,user_provided_context_plus_synthetic_demo_structuring,synthetic_demo,synthetic_demo_phi_free_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,clinical_ehr,Clinical Platforms,current_core,MER-VEN-EPIC,Epic Bridges; Clarity; Caboodle,encounters; orders; results; clinical workflows,hosting_model;future_target_flag;known_gaps,synthetic_demo_attribute_generation_2026_08_not_client_evidence
meridian-health,Epic Clarity,clinical_reporting_repository,Hybrid,,,Epic Analytics,critical,current_core,,,yes,,,high,Synthetically generated attribute; requires client evidence before use,MER-V3-0002,MER-HS,Epic Clarity,Epic Clarity,06_infrastructure_platforms,MER-V3-EVID-0041,active,synthetic_v3_context_generation,user_provided_context_plus_synthetic_demo_structuring,synthetic_demo,synthetic_demo_phi_free_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,clinical_reporting_repository,Epic Analytics,current_core,MER-VEN-EPIC,SQL Server extracts; Caboodle; Tableau,clinical reporting; encounter data; quality extracts,hosting_model;future_target_flag;known_gaps,synthetic_demo_attribute_generation_2026_08_not_client_evidence
meridian-health,Epic Caboodle,clinical_warehouse,On-premise,,,Epic Analytics,high,current_core,,,no,,,high,Synthetically generated attribute; requires client evidence before use,MER-V3-0003,MER-HS,Epic Caboodle,Epic Caboodle,06_infrastructure_platforms,MER-V3-EVID-0042,active,synthetic_v3_context_generation,user_provided_context_plus_synthetic_demo_structuring,synthetic_demo,synthetic_demo_phi_free_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,clinical_warehouse,Epic Analytics,current_core,MER-VEN-EPIC,Clarity ETL; Cogito; BI tools,curated Epic clinical model; quality reporting,hosting_model;future_target_flag;known_gaps,synthetic_demo_attribute_generation_2026_08_not_client_evidence
meridian-health,On-prem SQL Server reporting marts,legacy_reporting_marts,Hybrid,,,Enterprise Data Warehouse,critical,fragmented_reporting_estate,,,no,,,medium,Synthetically generated attribute; requires client evidence before use,MER-V3-0004,MER-HS,On-prem SQL Server reporting marts,On-prem SQL Server reporting marts,06_infrastructure_platforms,MER-V3-EVID-0043,active,synthetic_v3_context_generation,user_provided_context_plus_synthetic_demo_structuring,synthetic_demo,synthetic_demo_phi_free_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,legacy_reporting_marts,Enterprise Data Warehouse,fragmented_reporting_estate,MER-VEN-MICROSOFT,SSIS; SQL Agent; Tableau extracts; Power BI gateway; SAS feeds,departmental marts; duplicated business rules; extract chains,hosting_model;future_target_flag;known_gaps,synthetic_demo_attribute_generation_2026_08_not_client_evidence
meridian-health,Tableau reporting estate,business_intelligence,Hybrid,,,BI and Analytics,high,current_reporting,,,yes,,,high,Synthetically generated attribute; requires client evidence before use,MER-V3-0005,MER-HS,Tableau reporting estate,Tableau reporting estate,06_infrastructure_platforms,MER-V3-EVID-0044,candidate,synthetic_v3_context_generation,user_provided_context_plus_synthetic_demo_structuring,synthetic_demo,synthetic_demo_phi_free_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,business_intelligence,BI and Analytics,current_reporting,MER-VEN-TABLEAU,SQL Server marts; Caboodle extracts,dashboards; extracts; local metric definitions,hosting_model;future_target_flag;known_gaps,synthetic_demo_attribute_generation_2026_08_not_client_evidence
meridian-health,SAS analytics estate,advanced_analytics_legacy,Public cloud,,,Analytics,medium,current_reporting,,,no,,,high,Synthetically generated attribute; requires client evidence before use,MER-V3-0006,MER-HS,SAS analytics estate,SAS analytics estate,06_infrastructure_platforms,MER-V3-EVID-0045,active,synthetic_v3_context_generation,user_provided_context_plus_synthetic_demo_structuring,synthetic_demo,synthetic_demo_phi_free_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,advanced_analytics_legacy,Analytics,current_reporting,MER-VEN-SAS,SQL Server marts; flat files,analytics programs; payment integrity models; statistical extracts,hosting_model;future_target_flag;known_gaps,synthetic_demo_attribute_generation_2026_08_not_client_evidence
meridian-health,Power BI reporting estate,business_intelligence,Private cloud,,,BI and Analytics,high,current_reporting,,,yes,,,high,Synthetically generated attribute; requires client evidence before use,MER-V3-0007,MER-HS,Power BI reporting estate,Power BI reporting estate,06_infrastructure_platforms,MER-V3-EVID-0046,active,synthetic_v3_context_generation,user_provided_context_plus_synthetic_demo_structuring,synthetic_demo,synthetic_demo_phi_free_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,business_intelligence,BI and Analytics,current_reporting,MER-VEN-MICROSOFT,SQL Server gateway; Excel; semantic models,dashboards; finance reporting; semantic models,hosting_model;future_target_flag;known_gaps,synthetic_demo_attribute_generation_2026_08_not_client_evidence
meridian-health,Claims administration platform,claims,Private cloud,,,Health Plan Operations,critical,current_core,,,yes,,,medium,Synthetically generated attribute; requires client evidence before use,MER-V3-0008,MER-HS,Claims administration platform,Claims administration platform,06_infrastructure_platforms,MER-V3-EVID-0047,active,synthetic_v3_context_generation,user_provided_context_plus_synthetic_demo_structuring,synthetic_demo,synthetic_demo_phi_free_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,claims,Health Plan Operations,current_core,MER-VEN-CLAIMS,EDI; claims extracts; payment integrity feeds,medical claims; adjudication; claim edits,hosting_model;future_target_flag;known_gaps,synthetic_demo_attribute_generation_2026_08_not_client_evidence
meridian-health,Pharmacy claims platform,pharmacy_claims,Hybrid,,,Pharmacy Operations,high,current_core,,,no,,,high,Synthetically generated attribute; requires client evidence before use,MER-V3-0009,MER-HS,Pharmacy claims platform,Pharmacy claims platform,06_infrastructure_platforms,MER-V3-EVID-0048,active,synthetic_v3_context_generation,user_provided_context_plus_synthetic_demo_structuring,synthetic_demo,synthetic_demo_phi_free_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,pharmacy_claims,Pharmacy Operations,current_core,MER-VEN-PBM,NCPDP feeds; claims warehouse extracts,pharmacy claims; formulary; medication adherence,hosting_model;future_target_flag;known_gaps,synthetic_demo_attribute_generation_2026_08_not_client_evidence
meridian-health,CRM / member case management,crm,Private cloud,,,Member Services,high,current_core,,,no,,,high,Synthetically generated attribute; requires client evidence before use,MER-V3-0010,MER-HS,CRM / member case management,CRM / member case management,06_infrastructure_platforms,MER-V3-EVID-0049,candidate,synthetic_v3_context_generation,user_provided_context_plus_synthetic_demo_structuring,synthetic_demo,synthetic_demo_phi_free_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,crm,Member Services,current_core,MER-VEN-CRM,contact center; claims status; member profile,member/provider cases; service history,hosting_model;future_target_flag;known_gaps,synthetic_demo_attribute_generation_2026_08_not_client_evidence
