tenant_key,service_tower,service_name,scope_description,in_scope_functions,in_scope_systems,current_provider,service_volume,sla_or_kpi,run_cost_usd,target_state_option,source_file,source_date,confidence,known_gaps,record_id,entity_id,business_name,context_item,dimension,evidence_id,active_candidate_status,source_type,source_basis,synthetic_data_flag,evidence_boundary,module_usage_notes,vendor_id,service,owning_function,linked_systems,contract_risk,pricing_basis,annual_contract_value_usd,run_spend_usd,change_order_spend_usd,invoice_amount_ytd_usd,service_credit_ytd_usd,vendor_name,contract_id,fiscal_year,linked_budget_record_ids,linked_sa02_records,ai_spend_flag,tower_usage,caveat,use_case,data_domain,systems,value_hypothesis,evidence_needed,risk_or_gap,affected_systems,metric_boundary,forbidden_claims,legacy_row_flag,source_row_status,migration_action,additive_status,amount_basis,finance_attestation_status,funding_status,approved_funding_usd,realized_value_usd,tower_claim_allowed,evidence_type,evidence_location,evidence_owner
meridian-health,,clinical EHR and Cogito analytics,,Clinical Platforms,MER-SYS-EPIC-HYPERSPACE; MER-SYS-EPIC-CLARITY; MER-SYS-EPIC-CABOODLE,,,,,,,,high,,MER-V3-0001,MER-HS,Epic,Epic,17_managed_services_scope,MER-V3-EVID-0070,active,synthetic_v3_context_generation,user_provided_context_plus_synthetic_demo_structuring,synthetic_demo,synthetic_demo_phi_free_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,MER-VEN-EPIC,clinical EHR and Cogito analytics,Clinical Platforms,MER-SYS-EPIC-HYPERSPACE; MER-SYS-EPIC-CLARITY; MER-SYS-EPIC-CABOODLE,Integration to governed lakehouse not proven,license/support details not loaded,,,,,,,,,,,false,contract_context,Preserved managed-services scope. No savings or realized value unless backed by invoice/SLA evidence.,,,,,,,,,,,,,,,,,,,,,,
meridian-health,,"SQL Server, Power BI, and productivity platform",,Technology Platform,MER-SYS-SQL-MARTS; MER-SYS-POWERBI,,,,,,,,high,,MER-V3-0002,MER-HS,Microsoft,Microsoft,17_managed_services_scope,MER-V3-EVID-0071,active,synthetic_v3_context_generation,user_provided_context_plus_synthetic_demo_structuring,synthetic_demo,synthetic_demo_phi_free_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,MER-VEN-MICROSOFT,"SQL Server, Power BI, and productivity platform",Technology Platform,MER-SYS-SQL-MARTS; MER-SYS-POWERBI,SQL mart sprawl and gateway dependency,commercial terms not loaded,,,,,,,,,,,false,contract_context,Preserved managed-services scope. No savings or realized value unless backed by invoice/SLA evidence.,,,,,,,,,,,,,,,,,,,,,,
meridian-health,,BI visualization estate,,BI and Analytics,MER-SYS-TABLEAU,,,,,,,,high,,MER-V3-0003,MER-HS,Tableau,Tableau,17_managed_services_scope,MER-V3-EVID-0072,active,synthetic_v3_context_generation,user_provided_context_plus_synthetic_demo_structuring,synthetic_demo,synthetic_demo_phi_free_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,MER-VEN-TABLEAU,BI visualization estate,BI and Analytics,MER-SYS-TABLEAU,Extract sprawl and duplicate dashboards,commercial terms not loaded,,,,,,,,,,,false,contract_context,Preserved managed-services scope. No savings or realized value unless backed by invoice/SLA evidence.,,,,,,,,,,,,,,,,,,,,,,
meridian-health,,legacy statistical analytics,,Analytics,MER-SYS-SAS,,,,,,,,medium,,MER-V3-0004,MER-HS,SAS,SAS,17_managed_services_scope,MER-V3-EVID-0073,active,synthetic_v3_context_generation,user_provided_context_plus_synthetic_demo_structuring,synthetic_demo,synthetic_demo_phi_free_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,MER-VEN-SAS,legacy statistical analytics,Analytics,MER-SYS-SAS,Model and extract lineage not governed,commercial terms not loaded,,,,,,,,,,,false,contract_context,Preserved managed-services scope. No savings or realized value unless backed by invoice/SLA evidence.,,,,,,,,,,,,,,,,,,,,,,
meridian-health,,analytics managed services,,CDAO,MER-SYS-SQL-MARTS; MER-SYS-TABLEAU; MER-SYS-POWERBI; MER-SYS-SAS,,,,,,,,high,,MER-V3-0005,MER-HS,Outsourced analytics managed services provider,Outsourced analytics managed services provider,17_managed_services_scope,MER-V3-EVID-0074,candidate,synthetic_v3_context_generation,user_provided_context_plus_synthetic_demo_structuring,synthetic_demo,synthetic_demo_phi_free_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,MER-VEN-AMS,analytics managed services,CDAO,MER-SYS-SQL-MARTS; MER-SYS-TABLEAU; MER-SYS-POWERBI; MER-SYS-SAS,80 percent maintenance load limits net-new delivery,vendor identity and contract values not loaded,,,,,,,,,,,false,contract_context,Preserved managed-services scope. No savings or realized value unless backed by invoice/SLA evidence.,,,,,,,,,,,,,,,,,,,,,,
meridian-health,,target cloud analytics foundation,,Technology Platform,MER-SYS-AWS-FOUNDATION,,,,,,,,high,,MER-V3-0006,MER-HS,Amazon Web Services,Amazon Web Services,17_managed_services_scope,MER-V3-EVID-0075,active,synthetic_v3_context_generation,user_provided_context_plus_synthetic_demo_structuring,synthetic_demo,synthetic_demo_phi_free_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,MER-VEN-AWS,target cloud analytics foundation,Technology Platform,MER-SYS-AWS-FOUNDATION,Foundation not yet set up for analytics,commercial terms not loaded,,,,,,,,,,,false,contract_context,Preserved managed-services scope. No savings or realized value unless backed by invoice/SLA evidence.,,,,,,,,,,,,,,,,,,,,,,
meridian-health,,target lakehouse platform,,Data Platform,MER-SYS-DATABRICKS,,,,,,,,high,,MER-V3-0007,MER-HS,Databricks,Databricks,17_managed_services_scope,MER-V3-EVID-0076,active,synthetic_v3_context_generation,user_provided_context_plus_synthetic_demo_structuring,synthetic_demo,synthetic_demo_phi_free_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,MER-VEN-DATABRICKS,target lakehouse platform,Data Platform,MER-SYS-DATABRICKS,Target platform not yet implemented with governed medallion architecture,commercial terms not loaded,,,,,,,,,,,false,contract_context,Preserved managed-services scope. No savings or realized value unless backed by invoice/SLA evidence.,,,,,,,,,,,,,,,,,,,,,,
meridian-health,,CEO / Enterprise Strategy: Unified clinical + claims lakehouse,,,,,,,,,,,medium,,MER-SA07-17_MANAGED_SERVICES_SCOPE-0001,MER-HS,CEO / Enterprise Strategy: Unified clinical + claims lakehouse,"CEO / Enterprise Strategy says Unified clinical + claims lakehouse is promising, but strategy is not decision-grade until Epic Clarity evidence closes: No certified medallion architecture. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",17_managed_services_scope,MER-SA07-INT-EVID-0001,candidate,executive_interview,synthetic_executive_interview_evidence,synthetic_demo,synthetic_demo_phi_free_planning_grade,Enterprise Profile|Business Functions|Org Ownership|Workforce Roles|Applications & Systems|Data Assets & Integrations|Vendors & Contracts|IT Budget Spend Value|Programs & Initiatives|Risks & Controls|Metrics & Outcomes|Managed Services Scope|Operational Process Evidence|SourceContextPack|MovesContextPack|TowerContextPack|Knowledge/Home CXO story blocks,,,,,,,,,,,,,,,,,false,contract_context,Preserved managed-services scope. No savings or realized value unless backed by invoice/SLA evidence.,,,,,,,,,,,,,,,,,,,,,,
meridian-health,,CEO / Enterprise Strategy: Governed data foundation for AI / LLM automation,,,,,,,,,,,high,,MER-SA07-17_MANAGED_SERVICES_SCOPE-0002,MER-HS,CEO / Enterprise Strategy: Governed data foundation for AI / LLM automation,"CEO / Enterprise Strategy says Governed data foundation for AI / LLM automation is promising, but operating model is not decision-grade until SQL Server reporting marts evidence closes: No certified semantic layer. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",17_managed_services_scope,MER-SA07-INT-EVID-0002,candidate,executive_interview,synthetic_executive_interview_evidence,synthetic_demo,synthetic_demo_phi_free_planning_grade,Enterprise Profile|Business Functions|Org Ownership|Workforce Roles|Applications & Systems|Data Assets & Integrations|Vendors & Contracts|IT Budget Spend Value|Programs & Initiatives|Risks & Controls|Metrics & Outcomes|Managed Services Scope|Operational Process Evidence|SourceContextPack|MovesContextPack|TowerContextPack|Knowledge/Home CXO story blocks,,,,,,,,,,,,,,,,,false,contract_context,Preserved managed-services scope. No savings or realized value unless backed by invoice/SLA evidence.,,,,,,,,,,,,,,,,,,,,,,
meridian-health,,CEO / Enterprise Strategy: Call center optimization,,,,,,,,,,,high,,MER-SA07-17_MANAGED_SERVICES_SCOPE-0003,MER-HS,CEO / Enterprise Strategy: Call center optimization,"CEO / Enterprise Strategy says Call center optimization is promising, but vendor is not decision-grade until Claims administration platform evidence closes: Intent taxonomy not certified. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",17_managed_services_scope,MER-SA07-INT-EVID-0003,candidate,executive_interview,synthetic_executive_interview_evidence,synthetic_demo,synthetic_demo_phi_free_planning_grade,Enterprise Profile|Business Functions|Org Ownership|Workforce Roles|Applications & Systems|Data Assets & Integrations|Vendors & Contracts|IT Budget Spend Value|Programs & Initiatives|Risks & Controls|Metrics & Outcomes|Managed Services Scope|Operational Process Evidence|SourceContextPack|MovesContextPack|TowerContextPack|Knowledge/Home CXO story blocks,,,,,,,,,,,,,,,,,false,contract_context,Preserved managed-services scope. No savings or realized value unless backed by invoice/SLA evidence.,,,,,,,,,,,,,,,,,,,,,,
