edge_id,source_app_id,target_app_id,integration_type,direction,monitored,latency_sla,daily_volume,notes
FCF-INT-001,FCF-APP-FIS-HORIZON,FCF-APP-SNOWFLAKE,batch_file,inbound,true,nightly,2400000,Core deposit ledger → data warehouse; MRA-flagged lineage gap
FCF-INT-002,FCF-APP-FEDWIRE-ACH,FCF-APP-NICE-ACTIMIZE,api,outbound,true,real_time,,"Payment transaction feed to AML monitoring; 38,400 alerts/mo"
FCF-INT-003,FCF-APP-NCINO,FCF-APP-SAP-ECC,api,outbound,false,daily,,Commercial loan booking to GL; manual reconciliation gap
FCF-INT-004,FCF-APP-FENERGO-KYC,FCF-APP-NICE-ACTIMIZE,api,outbound,true,event,,KYC decision feed to AML case management
FCF-INT-005,FCF-APP-SALESFORCE-FSC,FCF-APP-FIS-HORIZON,api,inbound,false,15min,,Balance and product data to CRM; fragmented adoption blocks advisor productivity
FCF-INT-006,FCF-APP-DATABRICKS,FCF-APP-NICE-ACTIMIZE,api,inbound,true,real_time,,ML risk scores to AML triage agent; SR 11-7 evidence pending
FCF-INT-007,FCF-APP-SAP-ECC,FCF-APP-SNOWFLAKE,batch_file,inbound,true,nightly,,GL actuals to data warehouse for regulatory and BI reporting
FCF-INT-008,FCF-APP-FIS-HORIZON,FCF-APP-MOBILE-BANKING,api,inbound,true,real_time,,Account balance and transaction API to digital channel
FCF-INT-009,FCF-APP-SERVICENOW,FCF-APP-SPLUNK,api,inbound,true,event,,Security alerts from SIEM to ITSM for incident creation
FCF-INT-010,FCF-APP-MUREX-TREASURY,FCF-APP-SNOWFLAKE,batch_file,inbound,false,daily,,Treasury P&L and position data to enterprise warehouse
FCF-INT-011,FCF-APP-WORKDAY-HCM,FCF-APP-SNOWFLAKE,batch_file,inbound,true,daily,14200,HR headcount and workforce data to analytics
FCF-INT-012,FCF-APP-FEDNOW-RTP,FCF-APP-FEDWIRE-ACH,mq,peer,true,real_time,,Real-time payment routing between ACH hub and FedNow/RTP gateway
