tenant_key,dimension_key,dimension_name,row_count,status
first-capital-financial,00_enterprise_profile,Enterprise Profile,24,pass
first-capital-financial,01_business_functions,Business Functions,300,pass
first-capital-financial,02_org_ownership,Org Ownership,260,pass
first-capital-financial,03_workforce_roles,Workforce Roles,260,pass
first-capital-financial,04_applications_systems,Applications & Systems,360,pass
first-capital-financial,05_data_assets_integrations,Data Assets & Integrations,360,pass
first-capital-financial,06_infrastructure_platforms,Infrastructure & Platforms,240,pass
first-capital-financial,07_vendors_contracts,Vendors & Contracts,300,pass
first-capital-financial,08_spend_value,"IT Budget, Spend & Value",76,pass
first-capital-financial,09_programs_initiatives,Programs & Initiatives,300,pass
first-capital-financial,10_ai_automation_use_cases,AI & Automation Use Cases,300,pass
first-capital-financial,11_risks_controls,Risks & Controls,340,pass
first-capital-financial,12_relationships,Relationships,380,pass
first-capital-financial,13_evidence_sources,Evidence Sources,140,pass
first-capital-financial,14_metrics_outcomes,Metrics & Outcomes,300,pass
first-capital-financial,15_industry_context_patterns,Industry Context Patterns,220,pass
first-capital-financial,16_expert_lenses,Expert Lenses,160,pass
first-capital-financial,17_service_scope_managed_services,Managed Services Scope,220,pass
first-capital-financial,18_operational_process_evidence,Operational Evidence,300,pass
skyharbor-air,00_enterprise_profile,Enterprise Profile,24,pass
skyharbor-air,01_business_functions,Business Functions,300,pass
skyharbor-air,02_org_ownership,Org Ownership,260,pass
skyharbor-air,03_workforce_roles,Workforce Roles,260,pass
skyharbor-air,04_applications_systems,Applications & Systems,360,pass
skyharbor-air,05_data_assets_integrations,Data Assets & Integrations,360,pass
skyharbor-air,06_infrastructure_platforms,Infrastructure & Platforms,240,pass
skyharbor-air,07_vendors_contracts,Vendors & Contracts,300,pass
skyharbor-air,08_spend_value,"IT Budget, Spend & Value",76,pass
skyharbor-air,09_programs_initiatives,Programs & Initiatives,300,pass
skyharbor-air,10_ai_automation_use_cases,AI & Automation Use Cases,300,pass
skyharbor-air,11_risks_controls,Risks & Controls,340,pass
skyharbor-air,12_relationships,Relationships,380,pass
skyharbor-air,13_evidence_sources,Evidence Sources,140,pass
skyharbor-air,14_metrics_outcomes,Metrics & Outcomes,300,pass
skyharbor-air,15_industry_context_patterns,Industry Context Patterns,220,pass
skyharbor-air,16_expert_lenses,Expert Lenses,160,pass
skyharbor-air,17_service_scope_managed_services,Managed Services Scope,220,pass
skyharbor-air,18_operational_process_evidence,Operational Evidence,300,pass
