tenant_key,line_id,budget_area,function_or_platform,owner_role,owner_team_id,spend_type,budget_fy26_usd,run_budget_fy26_usd,change_budget_fy26_usd,ai_data_budget_fy26_usd,capex_budget_fy26_usd,opex_budget_fy26_usd,labor_pct,vendor_pct,cloud_infra_pct,budget_pressure,amount_type,view,is_rollup_of,basis,period,formula,formula_version,source_file,source_row,value_source,notes
lakeshore-industries,LAK-BUD-001,Office of CIO,,CIO,,,28830000,19840000,8990000,2170000,8649000,20181000,30,42,18,legacy run cost crowding out automation,none,it_budget,,committed,fy26,synthetic_capex_opex_split_v1:30pct_capex,tower_standardized_v1,family-4-financial-commercial/F12_it-budget-financials.csv,2,tenant_file,
lakeshore-industries,LAK-BUD-002,SAP and ERP Platforms,,VP ERP,,,145080000,99840000,45240000,16380000,50778000,94302000,33,46,21,within plan,none,it_budget,,committed,fy26,synthetic_capex_opex_split_v1:35pct_capex,tower_standardized_v1,family-4-financial-commercial/F12_it-budget-financials.csv,3,tenant_file,
lakeshore-industries,LAK-BUD-003,Treasury and Finance Systems,,VP Finance Technology,,,57660000,39680000,17980000,8680000,20181000,37479000,36,50,24,Kyriba rollout requires evidence-based scope control,none,it_budget,,committed,fy26,synthetic_capex_opex_split_v1:35pct_capex,tower_standardized_v1,family-4-financial-commercial/F12_it-budget-financials.csv,4,tenant_file,
lakeshore-industries,LAK-BUD-004,Integration and Middleware,,VP Integration,,,44640000,30720000,13920000,8400000,13392000,31248000,39,54,27,within plan,none,it_budget,,committed,fy26,synthetic_capex_opex_split_v1:30pct_capex,tower_standardized_v1,family-4-financial-commercial/F12_it-budget-financials.csv,5,tenant_file,
lakeshore-industries,LAK-BUD-005,Data Platform and BI,,Chief Data Officer,,,91140000,62720000,28420000,6860000,25519200,65620800,42,42,18,legacy run cost crowding out automation,none,it_budget,,committed,fy26,synthetic_capex_opex_split_v1:28pct_capex,tower_standardized_v1,family-4-financial-commercial/F12_it-budget-financials.csv,6,tenant_file,
lakeshore-industries,LAK-BUD-006,Manufacturing and OT Systems,,VP Manufacturing Tech,,,161820000,111360000,50460000,18270000,56637000,105183000,30,46,21,within plan,none,it_budget,,committed,fy26,synthetic_capex_opex_split_v1:35pct_capex,tower_standardized_v1,family-4-financial-commercial/F12_it-budget-financials.csv,7,tenant_file,
lakeshore-industries,LAK-BUD-007,Cloud and Infrastructure,,VP Infrastructure,,,174840000,120320000,54520000,26320000,48955200,125884800,33,50,24,within plan,none,it_budget,,committed,fy26,synthetic_capex_opex_split_v1:28pct_capex,tower_standardized_v1,family-4-financial-commercial/F12_it-budget-financials.csv,8,tenant_file,
lakeshore-industries,LAK-BUD-008,ServiceNow and IT Operations,,VP IT Operations,,,39990000,27520000,12470000,7525000,7198200,32791800,36,54,27,within plan,none,it_budget,,committed,fy26,synthetic_capex_opex_split_v1:18pct_capex,tower_standardized_v1,family-4-financial-commercial/F12_it-budget-financials.csv,9,tenant_file,
lakeshore-industries,LAK-BUD-009,Cybersecurity and Identity,,CISO,,,107880000,74240000,33640000,8120000,19418400,88461600,39,42,18,legacy run cost crowding out automation,none,it_budget,,committed,fy26,synthetic_capex_opex_split_v1:18pct_capex,tower_standardized_v1,family-4-financial-commercial/F12_it-budget-financials.csv,10,tenant_file,
lakeshore-industries,LAK-BUD-010,AI Automation Office,,Chief Data Officer,,,26040000,17920000,8120000,2940000,10936800,15103200,42,46,21,within plan,none,it_budget,,committed,fy26,synthetic_capex_opex_split_v1:42pct_capex,tower_standardized_v1,family-4-financial-commercial/F12_it-budget-financials.csv,11,tenant_file,
