resource_id,resource_type,name,location_or_region,provider,region,criticality,owner_team,modernization_note,environment,monthly_cost_usd,notes,source_file,source_row,value_source,asset_id,asset_name,hosting_model,platform,region_or_datacenter,annual_cost_usd,resilience_tier
SHA-INF-001,ibm_z,IBM z16 Complex ATL-A,Atlanta DC,,,critical,SHA-IT-009,,production,18400000,"CICS/DB2/MQ/COBOL reservations, loyalty, revenue accounting",family-2-technology-estate/F07_infrastructure-cloud.csv,2,tenant_file,,,,,,,
SHA-INF-002,ibm_z,IBM z16 Complex MSP-B,Minneapolis DR,,,critical,SHA-IT-009,,dr,9200000,Hot/warm DR for IBM Z estate,family-2-technology-estate/F07_infrastructure-cloud.csv,3,tenant_file,,,,,,,
SHA-INF-003,aws_org,AWS Enterprise Landing Zone,global,,,critical,SHA-IT-010,,production,14800000,Modern digital and data workloads,family-2-technology-estate/F07_infrastructure-cloud.csv,4,tenant_file,,,,,,,
SHA-INF-004,teradata,Teradata Vantage on AWS,us-east-1,,,critical,SHA-IT-011,,production,12300000,EDW on AWS with 38PB compressed data,family-2-technology-estate/F07_infrastructure-cloud.csv,5,tenant_file,,,,,,,
SHA-INF-005,sas_grid,SAS Grid Analytics,ATL Analytics DC,,,high,SHA-IT-011,,production,4700000,"Revenue, loyalty, safety, and ops analytics models",family-2-technology-estate/F07_infrastructure-cloud.csv,6,tenant_file,,,,,,,
SHA-INF-006,data_lake,AWS S3 Data Lake,us-east-1/us-west-2,,,critical,SHA-IT-011,,production,7600000,"Operational, digital, loyalty, and aircraft data lake",family-2-technology-estate/F07_infrastructure-cloud.csv,7,tenant_file,,,,,,,
SHA-INF-007,eventing,Kafka/MSK Event Backbone,AWS,,,critical,SHA-IT-012,,production,4100000,"IROPS, airport, baggage, and digital events",family-2-technology-estate/F07_infrastructure-cloud.csv,8,tenant_file,,,,,,,
SHA-INF-008,identity,Okta / Entra Hybrid IAM,global,,,critical,SHA-IT-015,,production,3200000,Workforce and customer identity integration,family-2-technology-estate/F07_infrastructure-cloud.csv,9,tenant_file,,,,,,,
SHA-INF-009,observability,Datadog / Splunk / CloudWatch,global,,,high,SHA-IT-014,,production,5300000,SRE observability across hybrid estate,family-2-technology-estate/F07_infrastructure-cloud.csv,10,tenant_file,,,,,,,
SHA-INF-010,network,Hub network and airport WAN,global hubs,,,critical,SHA-IT-010,,production,8700000,Airport connectivity and edge resilience,family-2-technology-estate/F07_infrastructure-cloud.csv,11,tenant_file,,,,,,,
SHA-INF-100,aws_account,SkyHarbor platform resource 1,ATL,,,critical,SHA-IT-001,,dr,450000,Resource supports airport_ops workloads,family-2-technology-estate/F07_infrastructure-cloud.csv,12,tenant_file,,,,,,,
SHA-INF-101,linux_cluster,SkyHarbor platform resource 2,DTW,,,high,SHA-IT-002,,production,700000,Resource supports cargo workloads,family-2-technology-estate/F07_infrastructure-cloud.csv,13,tenant_file,,,,,,,
SHA-INF-102,api_gateway,SkyHarbor platform resource 3,MSP,,,high,SHA-IT-003,,production,950000,Resource supports premium_lounge workloads,family-2-technology-estate/F07_infrastructure-cloud.csv,14,tenant_file,,,,,,,
SHA-INF-103,data_center,SkyHarbor platform resource 4,JFK,,,high,SHA-IT-004,,production,1200000,Resource supports deicing workloads,family-2-technology-estate/F07_infrastructure-cloud.csv,15,tenant_file,,,,,,,
SHA-INF-104,airport_edge,SkyHarbor platform resource 5,LAX,,,high,SHA-IT-005,,production,1450000,Resource supports gate_planning workloads,family-2-technology-estate/F07_infrastructure-cloud.csv,16,tenant_file,,,,,,,
SHA-INF-105,backup_dr,SkyHarbor platform resource 6,SEA,,,critical,SHA-IT-006,,production,1700000,Resource supports refunds workloads,family-2-technology-estate/F07_infrastructure-cloud.csv,17,tenant_file,,,,,,,
