tenant_key,portfolio_company,vendor,annual_spend_usd,contract_count,max_criticality
lakeshore-holdings,Lakeshore Shared Services,Microsoft,5100000,2,high
lakeshore-holdings,Lakeshore Shared Services,ServiceNow,2200000,1,high
lakeshore-holdings,Lakeshore Shared Services,CrowdStrike,1350000,1,medium
lakeshore-holdings,Lakeshore Shared Services,Workday,2400000,1,high
lakeshore-holdings,Northline Logistics Group,SAP,8200000,1,high
lakeshore-holdings,Northline Logistics Group,Blue Yonder,2800000,1,high
lakeshore-holdings,Northline Logistics Group,Manhattan Associates,3500000,1,high
lakeshore-holdings,Northline Logistics Group,AWS,6400000,1,high
lakeshore-holdings,Northline Logistics Group,Kyriba,1250000,1,medium
lakeshore-holdings,Crestpoint Marketing Services,Adobe,3100000,1,high
lakeshore-holdings,Crestpoint Marketing Services,Salesforce,2600000,1,high
lakeshore-holdings,Crestpoint Marketing Services,Coupa,1300000,1,medium
lakeshore-holdings,Crestpoint Marketing Services,GitHub/OpenAI/Anthropic,850000,1,medium
lakeshore-holdings,Riverton Consumer Products,Shopify Plus,1800000,1,medium
lakeshore-holdings,Riverton Consumer Products,Salesforce,2400000,1,high
lakeshore-holdings,Riverton Consumer Products,Oracle NetSuite,2100000,1,high
lakeshore-holdings,Riverton Consumer Products,Snowflake,1700000,1,medium
lakeshore-holdings,Riverton Consumer Products,Azure,4200000,1,high
lakeshore-holdings,Arborfield Workplace Services,365 Retail Markets,850000,1,medium
lakeshore-holdings,Arborfield Workplace Services,Cantaloupe,650000,1,medium
lakeshore-holdings,Arborfield Workplace Services,Toast,450000,1,medium
lakeshore-holdings,Arborfield Workplace Services,AWS,900000,1,medium
