resource_id,resource_type,provider,region,criticality,owner_team,environment,monthly_cost_usd,notes
APX-INF-001,cloud,AWS,us-east-1,critical,APX-IT-008,production,4200000,"Commerce, lakehouse, order services"
APX-INF-002,cloud,Azure,eastus,critical,APX-IT-008,production,2600000,"M365, identity, analytics apps"
APX-INF-003,datacenter,Equinix,Chicago,critical,APX-IT-001,production,1900000,POS and legacy retail services
APX-INF-004,datacenter,Flexential,Dallas,high,APX-IT-004,dr,940000,DR and supply chain workloads
APX-INF-005,store_edge,Apex Edge,stores,critical,APX-IT-001,production,3800000,"POS, cameras, handhelds, tasking"
APX-INF-006,private_cloud,VMware,central,high,APX-IT-006,production,1450000,ERP and legacy finance
APX-INF-007,saas,Salesforce,global,critical,APX-IT-002,production,2100000,Commerce and service
APX-INF-008,saas,Adobe,global,high,APX-IT-005,production,1100000,Experience and marketing
APX-INF-009,security,CrowdStrike,global,critical,APX-IT-009,production,900000,Endpoint and identity
APX-INF-010,network,SD-WAN,stores,critical,APX-IT-010,production,2400000,Store connectivity
APX-INF-011,data_platform,Databricks,AWS,critical,APX-IT-007,production,1800000,Lakehouse and ML
APX-INF-012,observability,Datadog,global,high,APX-IT-008,production,820000,SRE and commerce monitoring
