tenant_key,client_display_name,v6_contract_version,business_object_family,record_id,record_name,source_system,source_owner,source_basis,source_file,source_row_number,as_of_date,period_start,period_end,refresh_frequency,confidence,synthetic_demo_flag,data_sensitivity,required_for_surfaces,allowed_answer_types,not_allowed_claims,known_gaps,created_at,updated_at,ai_initiative_id,use_case,business_process,tool_or_model,agent_or_copilot_name,user_group,licensed_users,active_users,adoption_metric,value_hypothesis,measured_value_usd,production_status,risk_status,model_risk_tier,data_readiness,decision_needed,scale_hold_stop
meridian-health,Healthcare Demo,v6.0,ai_initiative,MER-AI-001,Databricks AWS clinical + claims lakehouse foundation,v4_synthetic_pack,Chief Data Officer,synthetic_demo,ai-control-tower/T00_ai-investment-super-template.csv,2,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Intelligence|Tower|Moves,ai_portfolio|adoption|risk|readiness|scale_hold_stop|gap,ai_value_without_work_change_adoption_risk_and_data_readiness,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,MER-AI-001,Databricks AWS clinical + claims lakehouse foundation,Enterprise data,M365 Copilot,Copilot,Enterprise data,80,35,"Active users divided by licensed users, with weekly workflow evidence",93000000,16740000,mobilize,Managed,Low,PHI/model governance and source evidence missing,PHI/model governance and source evidence missing,hold_until_evidence_or_risk_cleared
meridian-health,Healthcare Demo,v6.0,ai_initiative,MER-AI-002,Unified semantic layer for automation-ready data products,v4_synthetic_pack,Chief Data Officer,synthetic_demo,ai-control-tower/T00_ai-investment-super-template.csv,3,2026-06-18,2026-01-01,2026-06-18,static_snapshot,high,synthetic_demo,confidential,Intelligence|Tower|Moves,ai_portfolio|adoption|risk|readiness|scale_hold_stop|gap,ai_value_without_work_change_adoption_risk_and_data_readiness,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,MER-AI-002,Unified semantic layer for automation-ready data products,Data governance,Workflow agent,Operations Agent,Data governance,88,40,"Active users divided by licensed users, with weekly workflow evidence",42000000,11340000,design,Watch,Medium,data quality and semantic ownership not certified,data quality and semantic ownership not certified,hold
meridian-health,Healthcare Demo,v6.0,ai_initiative,MER-AI-003,Prior authorization automation evidence cockpit,v4_synthetic_pack,Chief Health Plan Officer,synthetic_demo,ai-control-tower/T00_ai-investment-super-template.csv,4,2026-06-18,2026-01-01,2026-06-18,static_snapshot,high,synthetic_demo,confidential,Intelligence|Tower|Moves,ai_portfolio|adoption|risk|readiness|scale_hold_stop|gap,ai_value_without_work_change_adoption_risk_and_data_readiness,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,MER-AI-003,Prior authorization automation evidence cockpit,Utilization management,Forecast model,Forecast Agent,Utilization management,96,45,"Active users divided by licensed users, with weekly workflow evidence",61000000,21960000,pilot,Needs control evidence,Medium,workflow integration not proven,workflow integration not proven,scale
meridian-health,Healthcare Demo,v6.0,ai_initiative,MER-AI-004,Call center agent assist and next-best-action,v4_synthetic_pack,Chief Customer Experience Officer,synthetic_demo,ai-control-tower/T00_ai-investment-super-template.csv,5,2026-06-18,2026-01-01,2026-06-18,static_snapshot,high,synthetic_demo,confidential,Intelligence|Tower|Moves,ai_portfolio|adoption|risk|readiness|scale_hold_stop|gap,ai_value_without_work_change_adoption_risk_and_data_readiness,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,MER-AI-004,Call center agent assist and next-best-action,Member experience,Document AI,Evidence Agent,Member experience,104,50,"Active users divided by licensed users, with weekly workflow evidence",68000000,30600000,pilot,Managed,Low,value measurement needs CFO signoff,value measurement needs CFO signoff,stop
meridian-health,Healthcare Demo,v6.0,ai_initiative,MER-AI-005,HEDIS/STAR provider quality performance mart,v4_synthetic_pack,Chief Quality Officer,synthetic_demo,ai-control-tower/T00_ai-investment-super-template.csv,6,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Intelligence|Tower|Moves,ai_portfolio|adoption|risk|readiness|scale_hold_stop|gap,ai_value_without_work_change_adoption_risk_and_data_readiness,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,MER-AI-005,HEDIS/STAR provider quality performance mart,Clinical quality,Decision support model,Decision Advisor,Clinical quality,112,55,"Active users divided by licensed users, with weekly workflow evidence",52000000,9360000,build,Watch,Medium,PHI/model governance and source evidence missing,PHI/model governance and source evidence missing,scale
meridian-health,Healthcare Demo,v6.0,ai_initiative,MER-AI-006,Cost-of-care and margin transparency by population,v4_synthetic_pack,CFO,synthetic_demo,ai-control-tower/T00_ai-investment-super-template.csv,7,2026-06-18,2026-01-01,2026-06-18,static_snapshot,high,synthetic_demo,confidential,Intelligence|Tower|Moves,ai_portfolio|adoption|risk|readiness|scale_hold_stop|gap,ai_value_without_work_change_adoption_risk_and_data_readiness,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,MER-AI-006,Cost-of-care and margin transparency by population,Finance,M365 Copilot,Copilot,Finance,120,60,"Active users divided by licensed users, with weekly workflow evidence",76000000,20520000,design,Needs control evidence,Medium,data quality and semantic ownership not certified,data quality and semantic ownership not certified,hold_until_evidence_or_risk_cleared
meridian-health,Healthcare Demo,v6.0,ai_initiative,MER-AI-007,Payment integrity leakage reduction analytics,v4_synthetic_pack,VP Payment Integrity,synthetic_demo,ai-control-tower/T00_ai-investment-super-template.csv,8,2026-06-18,2026-01-01,2026-06-18,static_snapshot,high,synthetic_demo,confidential,Intelligence|Tower|Moves,ai_portfolio|adoption|risk|readiness|scale_hold_stop|gap,ai_value_without_work_change_adoption_risk_and_data_readiness,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,MER-AI-007,Payment integrity leakage reduction analytics,Claims integrity,Workflow agent,Operations Agent,Claims integrity,128,65,"Active users divided by licensed users, with weekly workflow evidence",55000000,19800000,pilot,Managed,Low,workflow integration not proven,workflow integration not proven,scale
meridian-health,Healthcare Demo,v6.0,ai_initiative,MER-AI-008,Automated close and management reporting pipelines,v4_synthetic_pack,Controller,synthetic_demo,ai-control-tower/T00_ai-investment-super-template.csv,9,2026-06-18,2026-01-01,2026-06-18,static_snapshot,high,synthetic_demo,confidential,Intelligence|Tower|Moves,ai_portfolio|adoption|risk|readiness|scale_hold_stop|gap,ai_value_without_work_change_adoption_risk_and_data_readiness,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,MER-AI-008,Automated close and management reporting pipelines,Finance operations,Forecast model,Forecast Agent,Finance operations,136,70,"Active users divided by licensed users, with weekly workflow evidence",31000000,13950000,mobilize,Watch,Medium,value measurement needs CFO signoff,value measurement needs CFO signoff,stop
meridian-health,Healthcare Demo,v6.0,ai_initiative,MER-AI-009,Ambient documentation scale with safety review,v4_synthetic_pack,Chief Medical Officer,synthetic_demo,ai-control-tower/T00_ai-investment-super-template.csv,10,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Intelligence|Tower|Moves,ai_portfolio|adoption|risk|readiness|scale_hold_stop|gap,ai_value_without_work_change_adoption_risk_and_data_readiness,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,MER-AI-009,Ambient documentation scale with safety review,Clinical productivity,Document AI,Evidence Agent,Clinical productivity,144,75,"Active users divided by licensed users, with weekly workflow evidence",47000000,8460000,scale_gate,Needs control evidence,Medium,PHI/model governance and source evidence missing,PHI/model governance and source evidence missing,scale
meridian-health,Healthcare Demo,v6.0,ai_initiative,MER-AI-010,Epic to lakehouse FHIR/HL7 modernization,v4_synthetic_pack,VP Integration,synthetic_demo,ai-control-tower/T00_ai-investment-super-template.csv,11,2026-06-18,2026-01-01,2026-06-18,static_snapshot,high,synthetic_demo,confidential,Intelligence|Tower|Moves,ai_portfolio|adoption|risk|readiness|scale_hold_stop|gap,ai_value_without_work_change_adoption_risk_and_data_readiness,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,MER-AI-010,Epic to lakehouse FHIR/HL7 modernization,Interoperability,Decision support model,Decision Advisor,Interoperability,152,80,"Active users divided by licensed users, with weekly workflow evidence",36000000,9720000,build,Managed,Low,data quality and semantic ownership not certified,data quality and semantic ownership not certified,hold
