tenant_key,observation_id,business_case_id,project_id,reporting_month,baseline_value,target_value,actual_value,metric_unit,sponsor_claimed_value_usd,finance_reviewed_value_usd,finance_validated_value_usd,board_claimable_value_usd,validation_state,evidence_id,reviewer_role,source_system,source_record_id,extract_date,as_of_date,refresh_cadence,quality_state
meridian-health,VAL-BC-MER-001-2025-09,BC-MER-001,PRJ-MER-004,2025-09,0,6,0,count,0,0,0,0,not_yet_measurable,EVID-BC-MER-001-2025-09,,AI Portfolio and Business Case Tracker,VAL-BC-MER-001-2025-09,2026-08-24,2026-08-24,monthly,synthetic_review_ready
meridian-health,VAL-BC-MER-001-2025-10,BC-MER-001,PRJ-MER-004,2025-10,0,6,1,count,0,0,0,0,not_yet_measurable,EVID-BC-MER-001-2025-10,,AI Portfolio and Business Case Tracker,VAL-BC-MER-001-2025-10,2026-08-24,2026-08-24,monthly,synthetic_review_ready
meridian-health,VAL-BC-MER-001-2025-11,BC-MER-001,PRJ-MER-004,2025-11,0,6,1,count,0,0,0,0,not_yet_measurable,EVID-BC-MER-001-2025-11,,AI Portfolio and Business Case Tracker,VAL-BC-MER-001-2025-11,2026-08-24,2026-08-24,monthly,synthetic_review_ready
meridian-health,VAL-BC-MER-001-2025-12,BC-MER-001,PRJ-MER-004,2025-12,0,6,2,count,0,0,0,0,not_yet_measurable,EVID-BC-MER-001-2025-12,,AI Portfolio and Business Case Tracker,VAL-BC-MER-001-2025-12,2026-08-24,2026-08-24,monthly,synthetic_review_ready
meridian-health,VAL-BC-MER-001-2026-01,BC-MER-001,PRJ-MER-004,2026-01,0,6,2,count,0,0,0,0,not_yet_measurable,EVID-BC-MER-001-2026-01,,AI Portfolio and Business Case Tracker,VAL-BC-MER-001-2026-01,2026-08-24,2026-08-24,monthly,synthetic_review_ready
meridian-health,VAL-BC-MER-001-2026-02,BC-MER-001,PRJ-MER-004,2026-02,0,6,3,count,0,0,0,0,not_yet_measurable,EVID-BC-MER-001-2026-02,,AI Portfolio and Business Case Tracker,VAL-BC-MER-001-2026-02,2026-08-24,2026-08-24,monthly,synthetic_review_ready
meridian-health,VAL-BC-MER-001-2026-03,BC-MER-001,PRJ-MER-004,2026-03,0,6,3,count,0,0,0,0,not_yet_measurable,EVID-BC-MER-001-2026-03,,AI Portfolio and Business Case Tracker,VAL-BC-MER-001-2026-03,2026-08-24,2026-08-24,monthly,synthetic_review_ready
meridian-health,VAL-BC-MER-001-2026-04,BC-MER-001,PRJ-MER-004,2026-04,0,6,4,count,0,0,0,0,not_yet_measurable,EVID-BC-MER-001-2026-04,,AI Portfolio and Business Case Tracker,VAL-BC-MER-001-2026-04,2026-08-24,2026-08-24,monthly,synthetic_review_ready
meridian-health,VAL-BC-MER-001-2026-05,BC-MER-001,PRJ-MER-004,2026-05,0,6,4,count,0,0,0,0,not_yet_measurable,EVID-BC-MER-001-2026-05,,AI Portfolio and Business Case Tracker,VAL-BC-MER-001-2026-05,2026-08-24,2026-08-24,monthly,synthetic_review_ready
meridian-health,VAL-BC-MER-001-2026-06,BC-MER-001,PRJ-MER-004,2026-06,0,6,4,count,0,0,0,0,not_yet_measurable,EVID-BC-MER-001-2026-06,,AI Portfolio and Business Case Tracker,VAL-BC-MER-001-2026-06,2026-08-24,2026-08-24,monthly,synthetic_review_ready
meridian-health,VAL-BC-MER-001-2026-07,BC-MER-001,PRJ-MER-004,2026-07,0,6,4,count,0,0,0,0,not_yet_measurable,EVID-BC-MER-001-2026-07,,AI Portfolio and Business Case Tracker,VAL-BC-MER-001-2026-07,2026-08-24,2026-08-24,monthly,synthetic_review_ready
meridian-health,VAL-BC-MER-001-2026-08,BC-MER-001,PRJ-MER-004,2026-08,0,6,4,count,0,0,0,0,not_yet_measurable,EVID-BC-MER-001-2026-08,,AI Portfolio and Business Case Tracker,VAL-BC-MER-001-2026-08,2026-08-24,2026-08-24,monthly,synthetic_review_ready
meridian-health,VAL-BC-MER-002-2025-09,BC-MER-002,PRJ-MER-005,2025-09,0,3.2,0,percent,0,0,0,0,not_yet_measurable,EVID-BC-MER-002-2025-09,,AI Portfolio and Business Case Tracker,VAL-BC-MER-002-2025-09,2026-08-24,2026-08-24,monthly,synthetic_review_ready
meridian-health,VAL-BC-MER-002-2025-10,BC-MER-002,PRJ-MER-005,2025-10,0,3.2,0,percent,0,0,0,0,not_yet_measurable,EVID-BC-MER-002-2025-10,,AI Portfolio and Business Case Tracker,VAL-BC-MER-002-2025-10,2026-08-24,2026-08-24,monthly,synthetic_review_ready
meridian-health,VAL-BC-MER-002-2025-11,BC-MER-002,PRJ-MER-005,2025-11,0,3.2,0,percent,521411,364988,0,0,sponsor_claimed,EVID-BC-MER-002-2025-11,,AI Portfolio and Business Case Tracker,VAL-BC-MER-002-2025-11,2026-08-24,2026-08-24,monthly,synthetic_review_ready
meridian-health,VAL-BC-MER-002-2025-12,BC-MER-002,PRJ-MER-005,2025-12,0,3.2,1,percent,1042822,729975,0,0,sponsor_claimed,EVID-BC-MER-002-2025-12,,AI Portfolio and Business Case Tracker,VAL-BC-MER-002-2025-12,2026-08-24,2026-08-24,monthly,synthetic_review_ready
meridian-health,VAL-BC-MER-002-2026-01,BC-MER-002,PRJ-MER-005,2026-01,0,3.2,1,percent,1564234,1094964,0,0,sponsor_claimed,EVID-BC-MER-002-2026-01,,AI Portfolio and Business Case Tracker,VAL-BC-MER-002-2026-01,2026-08-24,2026-08-24,monthly,synthetic_review_ready
