tenant_key,project_id,project_name,domain_key,domain_name,project_classification,is_ai_related,sponsor_role,technology_owner_role,finance_partner_role,approved_budget_usd,actual_spend_ytd_usd,forecast_spend_usd,promised_annual_value_usd,committee_decision,lifecycle_stage,start_date,target_go_live_date,realization_start_month,value_tracking_required,source_system,source_record_id,extract_date,as_of_date,refresh_cadence,quality_state
meridian-health,PRJ-MER-001,Epic revenue cycle modernization,clinical_epic,Clinical / Epic,clinical_epic,false,VP Revenue Cycle,CMIO,IT Finance Business Partner,58000000,10440000,53940000,0,continue,build,2026-01-01,2027-01-28,,false,PMO / IT portfolio tracker,PRJ-MER-001,2026-08-24,2026-08-24,monthly,synthetic_review_ready
meridian-health,PRJ-MER-002,Cloud resilience and network modernization,infrastructure,Infrastructure & Cloud,infrastructure,false,CTO,CTO delegate,IT Finance Business Partner,46500000,12090000,44872500,0,continue,build,2026-02-01,2027-02-28,,false,PMO / IT portfolio tracker,PRJ-MER-002,2026-08-24,2026-08-24,monthly,synthetic_review_ready
meridian-health,PRJ-MER-003,Enterprise identity and access modernization,security,Cybersecurity & Risk,security,false,CISO,CISO,IT Finance Business Partner,39500000,13430000,39500000,0,fund,build,2026-03-01,2027-03-28,,false,PMO / IT portfolio tracker,PRJ-MER-003,2026-08-24,2026-08-24,monthly,synthetic_review_ready
meridian-health,PRJ-MER-004,Enterprise AI platform foundation,data_ai,Data & AI,platform_foundation,true,Chief Data and AI Officer,CTO delegate,IT Finance Business Partner,18000000,7560000,18630000,0,shape,build,2026-04-01,2027-04-28,,false,PMO / IT portfolio tracker,PRJ-MER-004,2026-08-24,2026-08-24,monthly,synthetic_review_ready
meridian-health,PRJ-MER-005,Digital front door personalization,digital,Digital & Member Experience,ai_use_case,true,Chief Digital Officer,CTO delegate,IT Finance Business Partner,11200000,5600000,10416000,50055476,fund,funded,2026-05-01,2027-05-28,2027-09,true,PMO / IT portfolio tracker,PRJ-MER-005,2026-08-24,2026-08-24,monthly,synthetic_review_ready
meridian-health,PRJ-MER-006,ServiceNow operations AI rollout,apps,Enterprise Applications,ai_enabled_tool_rollout,true,VP Enterprise Platforms,CTO delegate,IT Finance Business Partner,10400000,1872000,10036000,51180318,fund,funded,2026-06-01,2027-06-28,2027-01,true,PMO / IT portfolio tracker,PRJ-MER-006,2026-08-24,2026-08-24,monthly,synthetic_review_ready
meridian-health,PRJ-MER-007,Epic ambulatory access optimization,clinical_epic,Clinical / Epic,ai_assisted_automation,true,"President, Medical Group",CMIO,IT Finance Business Partner,8900000,2314000,8900000,47820856,challenge,funded,2026-01-01,2027-07-28,2027-02,true,PMO / IT portfolio tracker,PRJ-MER-007,2026-08-24,2026-08-24,monthly,synthetic_review_ready
meridian-health,PRJ-MER-008,Data quality and interoperability foundation,data_ai,Data & AI,data_readiness,true,Chief Data and AI Officer,CTO delegate,IT Finance Business Partner,9800000,3332000,10143000,0,shape,funded,2026-02-01,2027-08-28,,false,PMO / IT portfolio tracker,PRJ-MER-008,2026-08-24,2026-08-24,monthly,synthetic_review_ready
meridian-health,PRJ-MER-009,Contact center AI assist,digital,Digital & Member Experience,ai_use_case,true,SVP Member Services,CTO delegate,IT Finance Business Partner,8600000,3612000,7998000,34548723,fund,funded,2026-03-01,2027-09-28,2027-04,true,PMO / IT portfolio tracker,PRJ-MER-009,2026-08-24,2026-08-24,monthly,synthetic_review_ready
meridian-health,PRJ-MER-010,Workday finance close AI assistant,corporate_it,Corporate IT,ai_enabled_tool_rollout,true,VP Controller,CTO delegate,IT Finance Business Partner,6400000,3200000,6176000,28603129,challenge,funded,2026-04-01,2027-01-28,2027-05,true,PMO / IT portfolio tracker,PRJ-MER-010,2026-08-24,2026-08-24,monthly,synthetic_review_ready
