canonical_object_type,canonical_object_id,source_file,source_row,tenant_key,source_system,source_object,source_record_id,extract_job_id,extract_timestamp,as_of_date,contract_id,contract_family_id,commercial_instrument_id,document_id,parent_document_id,document_role,precedence_rank,execution_status,effective_from,effective_to,supersedes_document_id,conflict_group_id,source_file_name,source_file_path,sha256,mapping_status,review_state
ContractDocument,ContractDocument:DOCINV-DOC-CTR-090-MSA,source_system_extracts/contract_document_inventory.csv,2,skyharbor_global,SharePoint contract repository,Executed contract document library export,DOCINV-DOC-CTR-090-MSA,extract-docs-reconciled-v2-001,2027-06-30T21:00:00Z,2027-06-30,CTR-090,CFAM-SALESFORCE-CX-001,CI-SFDC-ORDER-2025-001,DOC-CTR-090-MSA,,master_services_agreement,1,executed,2025-01-01,2027-12-31,,,DOC-CTR-090-MSA_Salesforce_SYNTHETIC.md,documents/DOC-CTR-090-MSA_Salesforce_SYNTHETIC.md,3707ca2c715be273f8bd01550fe6119da6cc9fd69c52cdaab57d1c080ae07c63,mapped_to_register_contract,accepted
ContractDocument,ContractDocument:DOCINV-DOC-CTR-090-SOW-CORE,source_system_extracts/contract_document_inventory.csv,3,skyharbor_global,SharePoint contract repository,Executed contract document library export,DOCINV-DOC-CTR-090-SOW-CORE,extract-docs-reconciled-v2-001,2027-06-30T21:00:00Z,2027-06-30,CTR-090,CFAM-SALESFORCE-CX-001,CI-SFDC-ORDER-2025-001,DOC-CTR-090-SOW-CORE,DOC-CTR-090-MSA,statement_of_work_core,2,executed,2025-01-01,2027-12-31,,,DOC-CTR-090-SOW-CORE_Salesforce_SYNTHETIC.md,documents/DOC-CTR-090-SOW-CORE_Salesforce_SYNTHETIC.md,c178f016eb9898e6e461e32b9ee9e564c666167304f2c75580ee5ea2441a3e62,mapped_to_register_contract,accepted
ContractDocument,ContractDocument:DOCINV-DOC-CTR-090-SOW-TRANSITION,source_system_extracts/contract_document_inventory.csv,4,skyharbor_global,SharePoint contract repository,Executed contract document library export,DOCINV-DOC-CTR-090-SOW-TRANSITION,extract-docs-reconciled-v2-001,2027-06-30T21:00:00Z,2027-06-30,CTR-090,CFAM-SALESFORCE-CX-001,CI-SFDC-ORDER-2025-001,DOC-CTR-090-SOW-TRANSITION,DOC-CTR-090-MSA,statement_of_work_transition,3,executed,2025-01-01,2027-12-31,,,DOC-CTR-090-SOW-TRANSITION_Salesforce_SYNTHETIC.md,documents/DOC-CTR-090-SOW-TRANSITION_Salesforce_SYNTHETIC.md,d6a1b8d06502c75c7a79300be9d09eb7fdcf82c811f0938a8267258d64f5ba0f,mapped_to_register_contract,accepted
ContractDocument,ContractDocument:DOCINV-DOC-CTR-090-ORDER-BASE,source_system_extracts/contract_document_inventory.csv,5,skyharbor_global,SharePoint contract repository,Executed contract document library export,DOCINV-DOC-CTR-090-ORDER-BASE,extract-docs-reconciled-v2-001,2027-06-30T21:00:00Z,2027-06-30,CTR-090,CFAM-SALESFORCE-CX-001,CI-SFDC-ORDER-2025-001,DOC-CTR-090-ORDER-BASE,DOC-CTR-090-MSA,order_form_base,4,executed,2025-01-01,2027-12-31,,,DOC-CTR-090-ORDER-BASE_Salesforce_SYNTHETIC.md,documents/DOC-CTR-090-ORDER-BASE_Salesforce_SYNTHETIC.md,3d36212debc18275673d3c4c6d1909d38ef1ffcaccd098e5cf9e760ed86705b8,mapped_to_register_contract,accepted
ContractDocument,ContractDocument:DOCINV-DOC-CTR-090-ORDER-TRUEUP,source_system_extracts/contract_document_inventory.csv,6,skyharbor_global,SharePoint contract repository,Executed contract document library export,DOCINV-DOC-CTR-090-ORDER-TRUEUP,extract-docs-reconciled-v2-001,2027-06-30T21:00:00Z,2027-06-30,CTR-090,CFAM-SALESFORCE-CX-001,CI-SFDC-ORDER-2025-001,DOC-CTR-090-ORDER-TRUEUP,DOC-CTR-090-MSA,order_form_true_up,5,executed,2025-01-01,2027-12-31,,,DOC-CTR-090-ORDER-TRUEUP_Salesforce_SYNTHETIC.md,documents/DOC-CTR-090-ORDER-TRUEUP_Salesforce_SYNTHETIC.md,3e886fe6784a703ebfe2fa87cc824eae2b4cd74af05bf173fb9fa24bd0f728f3,mapped_to_register_contract,accepted
ContractDocument,ContractDocument:DOCINV-DOC-CTR-090-AMEND-001,source_system_extracts/contract_document_inventory.csv,7,skyharbor_global,SharePoint contract repository,Executed contract document library export,DOCINV-DOC-CTR-090-AMEND-001,extract-docs-reconciled-v2-001,2027-06-30T21:00:00Z,2027-06-30,CTR-090,CFAM-SALESFORCE-CX-001,CI-SFDC-ORDER-2025-001,DOC-CTR-090-AMEND-001,DOC-CTR-090-MSA,amendment_pricing,6,executed,2026-07-01,2027-12-31,DOC-CTR-090-ORDER-BASE,,DOC-CTR-090-AMEND-001_Salesforce_SYNTHETIC.md,documents/DOC-CTR-090-AMEND-001_Salesforce_SYNTHETIC.md,8feb01da78a17395fca0fd31e68272beb9f16f1c5d21650095ebfde3d0f60401,mapped_to_register_contract,accepted
ContractDocument,ContractDocument:DOCINV-DOC-CTR-090-AMEND-002,source_system_extracts/contract_document_inventory.csv,8,skyharbor_global,SharePoint contract repository,Executed contract document library export,DOCINV-DOC-CTR-090-AMEND-002,extract-docs-reconciled-v2-001,2027-06-30T21:00:00Z,2027-06-30,CTR-090,CFAM-SALESFORCE-CX-001,CI-SFDC-ORDER-2025-001,DOC-CTR-090-AMEND-002,DOC-CTR-090-MSA,amendment_service_scope,7,executed,2026-07-01,2027-12-31,DOC-CTR-090-SOW-CORE,,DOC-CTR-090-AMEND-002_Salesforce_SYNTHETIC.md,documents/DOC-CTR-090-AMEND-002_Salesforce_SYNTHETIC.md,8d56e9255b3703d55935f6b755d5856de7801a9fe486afda4c1b689a29c57289,mapped_to_register_contract,accepted
ContractDocument,ContractDocument:DOCINV-DOC-CTR-090-PRICING-EXHIBIT,source_system_extracts/contract_document_inventory.csv,9,skyharbor_global,SharePoint contract repository,Executed contract document library export,DOCINV-DOC-CTR-090-PRICING-EXHIBIT,extract-docs-reconciled-v2-001,2027-06-30T21:00:00Z,2027-06-30,CTR-090,CFAM-SALESFORCE-CX-001,CI-SFDC-ORDER-2025-001,DOC-CTR-090-PRICING-EXHIBIT,DOC-CTR-090-MSA,pricing_exhibit,8,executed,2026-07-01,2027-12-31,,,DOC-CTR-090-PRICING-EXHIBIT_Salesforce_SYNTHETIC.md,documents/DOC-CTR-090-PRICING-EXHIBIT_Salesforce_SYNTHETIC.md,68ecbcae126bcc34f155336625ccbccf56bc857699916782d26c603e0793abe8,mapped_to_register_contract,accepted
ContractDocument,ContractDocument:DOCINV-DOC-CTR-090-SLA-SCHEDULE,source_system_extracts/contract_document_inventory.csv,10,skyharbor_global,SharePoint contract repository,Executed contract document library export,DOCINV-DOC-CTR-090-SLA-SCHEDULE,extract-docs-reconciled-v2-001,2027-06-30T21:00:00Z,2027-06-30,CTR-090,CFAM-SALESFORCE-CX-001,CI-SFDC-ORDER-2025-001,DOC-CTR-090-SLA-SCHEDULE,DOC-CTR-090-MSA,service_level_schedule,9,executed,2026-07-01,2027-12-31,,,DOC-CTR-090-SLA-SCHEDULE_Salesforce_SYNTHETIC.md,documents/DOC-CTR-090-SLA-SCHEDULE_Salesforce_SYNTHETIC.md,a75580dfa47e3596efa4192d40f4f226ad9800b6f5c972651d1d001f051e9915,mapped_to_register_contract,accepted
ContractDocument,ContractDocument:DOCINV-DOC-CTR-090-SUPPORT-POLICY,source_system_extracts/contract_document_inventory.csv,11,skyharbor_global,SharePoint contract repository,Executed contract document library export,DOCINV-DOC-CTR-090-SUPPORT-POLICY,extract-docs-reconciled-v2-001,2027-06-30T21:00:00Z,2027-06-30,CTR-090,CFAM-SALESFORCE-CX-001,CI-SFDC-ORDER-2025-001,DOC-CTR-090-SUPPORT-POLICY,DOC-CTR-090-MSA,support_policy,10,executed,2026-07-01,2027-12-31,,,DOC-CTR-090-SUPPORT-POLICY_Salesforce_SYNTHETIC.md,documents/DOC-CTR-090-SUPPORT-POLICY_Salesforce_SYNTHETIC.md,438510c35bc4847475208c58370ad7e3cbb7d6c240c2227685dcc93eb3d0459b,mapped_to_register_contract,accepted
