canonical_object_type,canonical_object_id,source_file,source_row,tenant_key,source_system,source_object,source_record_id,extract_job_id,extract_timestamp,as_of_date,contract_id,billing_account_id,subscription_id,service_family,region,cost_center,commitment_id,amortized_cost_usd,actual_cost_usd,forecast_cost_usd,commitment_drawdown_pct,overage_state,tag_quality_state,review_state,row_hash
CloudBillingLine,CloudBillingLine:CLOUD-CTR-061-2026-07-1,source_system_extracts/cloud_billing_export.csv,2,skyharbor_global,Northgate Cloud Cost Management,"Actual, amortized, forecast and commitment export",CLOUD-CTR-061-2026-07-1,extract-cloud-reconciled-v2-001,2027-06-30T21:00:00Z,2027-06-30,CTR-061,AZ-BILL-SHG-001,SUB-SHG-1000,Compute,eastus,CLOUD-CORE,AZ-COMMIT-EA-2026,112800,120000,127200,0.08,within_commitment,accepted,accepted,3dc13acfad28a5dc6e517247949bbc4d253427f20e034409f800df4f6f0a557c
CloudBillingLine,CloudBillingLine:CLOUD-CTR-061-2026-07-2,source_system_extracts/cloud_billing_export.csv,3,skyharbor_global,Northgate Cloud Cost Management,"Actual, amortized, forecast and commitment export",CLOUD-CTR-061-2026-07-2,extract-cloud-reconciled-v2-001,2027-06-30T21:00:00Z,2027-06-30,CTR-061,AZ-BILL-SHG-001,SUB-SHG-1001,Storage,westus3,CLOUD-CORE,AZ-COMMIT-EA-2026,154160,164000,173840,0.09,within_commitment,accepted,accepted,3950c14fe2264c89d47317e1f49cbb5b8a2a9ed999a2574d3e049d59d29a8e44
CloudBillingLine,CloudBillingLine:CLOUD-CTR-061-2026-07-3,source_system_extracts/cloud_billing_export.csv,4,skyharbor_global,Northgate Cloud Cost Management,"Actual, amortized, forecast and commitment export",CLOUD-CTR-061-2026-07-3,extract-cloud-reconciled-v2-001,2027-06-30T21:00:00Z,2027-06-30,CTR-061,AZ-BILL-SHG-001,SUB-SHG-1002,Data and AI,eastus,CLOUD-CORE,AZ-COMMIT-EA-2026,195520,208000,220480,0.09,within_commitment,accepted,accepted,5be603849c1215c31df4bbcf40753088c4b222ac33871881c18feaef082bce28
CloudBillingLine,CloudBillingLine:CLOUD-CTR-061-2026-07-4,source_system_extracts/cloud_billing_export.csv,5,skyharbor_global,Northgate Cloud Cost Management,"Actual, amortized, forecast and commitment export",CLOUD-CTR-061-2026-07-4,extract-cloud-reconciled-v2-001,2027-06-30T21:00:00Z,2027-06-30,CTR-061,AZ-BILL-SHG-001,SUB-SHG-1003,Networking,westus3,CLOUD-CORE,AZ-COMMIT-EA-2026,236880,252000,267120,0.1,within_commitment,accepted,accepted,fb6fe0905349fc1a54458f9b79ebaf8dd471d6c9dfadc4c06a55ab1d73f11ccb
CloudBillingLine,CloudBillingLine:CLOUD-CTR-061-2026-07-5,source_system_extracts/cloud_billing_export.csv,6,skyharbor_global,Northgate Cloud Cost Management,"Actual, amortized, forecast and commitment export",CLOUD-CTR-061-2026-07-5,extract-cloud-reconciled-v2-001,2027-06-30T21:00:00Z,2027-06-30,CTR-061,AZ-BILL-SHG-001,SUB-SHG-1004,Security,eastus,CLOUD-CORE,AZ-COMMIT-EA-2026,278240,296000,313760,0.1,within_commitment,incomplete_tags,accepted,5b6e9f442f5343172a7a8f1a9a91f520424cd4a03b423a600dc0b5c5114420c0
CloudBillingLine,CloudBillingLine:CLOUD-CTR-061-2026-07-6,source_system_extracts/cloud_billing_export.csv,7,skyharbor_global,Northgate Cloud Cost Management,"Actual, amortized, forecast and commitment export",CLOUD-CTR-061-2026-07-6,extract-cloud-reconciled-v2-001,2027-06-30T21:00:00Z,2027-06-30,CTR-061,AZ-BILL-SHG-001,SUB-SHG-1005,Support,westus3,CLOUD-CORE,AZ-COMMIT-EA-2026,319600,340000,360400,0.11,within_commitment,accepted,accepted,c68c7ad7a504b5c100e0b597361800fb2735b6c2309b8bd3b2ecce08da2d5fc4
CloudBillingLine,CloudBillingLine:CLOUD-CTR-061-2026-08-1,source_system_extracts/cloud_billing_export.csv,8,skyharbor_global,Northgate Cloud Cost Management,"Actual, amortized, forecast and commitment export",CLOUD-CTR-061-2026-08-1,extract-cloud-reconciled-v2-001,2027-06-30T21:00:00Z,2027-06-30,CTR-061,AZ-BILL-SHG-001,SUB-SHG-1000,Compute,eastus,CLOUD-CORE,AZ-COMMIT-EA-2026,117688,125200,132712,0.17,within_commitment,accepted,accepted,8b0b47012314c9f1c72365c76d8ef795af1575a9aff7cfadc094781d79500b63
CloudBillingLine,CloudBillingLine:CLOUD-CTR-061-2026-08-2,source_system_extracts/cloud_billing_export.csv,9,skyharbor_global,Northgate Cloud Cost Management,"Actual, amortized, forecast and commitment export",CLOUD-CTR-061-2026-08-2,extract-cloud-reconciled-v2-001,2027-06-30T21:00:00Z,2027-06-30,CTR-061,AZ-BILL-SHG-001,SUB-SHG-1001,Storage,westus3,CLOUD-CORE,AZ-COMMIT-EA-2026,159048,169200,179352,0.17,within_commitment,accepted,accepted,123976bd757fb077b910e7413eb164fdbb8f9f90acdbeb51eceb16c73c02a928
CloudBillingLine,CloudBillingLine:CLOUD-CTR-061-2026-08-3,source_system_extracts/cloud_billing_export.csv,10,skyharbor_global,Northgate Cloud Cost Management,"Actual, amortized, forecast and commitment export",CLOUD-CTR-061-2026-08-3,extract-cloud-reconciled-v2-001,2027-06-30T21:00:00Z,2027-06-30,CTR-061,AZ-BILL-SHG-001,SUB-SHG-1002,Data and AI,eastus,CLOUD-CORE,AZ-COMMIT-EA-2026,200408,213200,225992,0.18,within_commitment,accepted,accepted,9c38ee2df7e11ee4538a7504a535a9524cdf236c542144466545a7f2083ea91e
CloudBillingLine,CloudBillingLine:CLOUD-CTR-061-2026-08-4,source_system_extracts/cloud_billing_export.csv,11,skyharbor_global,Northgate Cloud Cost Management,"Actual, amortized, forecast and commitment export",CLOUD-CTR-061-2026-08-4,extract-cloud-reconciled-v2-001,2027-06-30T21:00:00Z,2027-06-30,CTR-061,AZ-BILL-SHG-001,SUB-SHG-1003,Networking,westus3,CLOUD-CORE,AZ-COMMIT-EA-2026,241768,257200,272632,0.18,within_commitment,accepted,accepted,017651f95953b18d9befe97ff5e794b74ff8eb355c9e569c65abc3b27d57019c
