canonical_object_type,canonical_object_id,source_file,source_row,tenant_key,source_system,source_object,source_record_id,extract_job_id,extract_timestamp,as_of_date,contract_id,event_id,milestone,party,milestone_date,offer_amount_usd,concession_summary,benchmark_evidence_ref,approved_strategy_ref,owner_role,review_state,row_hash
RenewalNegotiationEvent,RenewalNegotiationEvent:NEG-CTR-090-strategy_lock-supplier,source_system_extracts/renewal_negotiation_history.csv,2,skyharbor_global,SAP Ariba Strategic Sourcing,Negotiation event and offer history export,NEG-CTR-090-strategy_lock-supplier,extract-renewal-reconciled-v2-001,2027-06-30T21:00:00Z,2027-06-30,CTR-090,EVT-REN-CTR-090,strategy_lock,supplier,2027-01-10,46110000,"Discount, service credits, transition controls, and reporting obligations improved.",BENCH-CTR-090-1,,Supplier account lead,in_review,462ff86cf03bc17520d6f34109f3dabef88177b4cb0b001ab9c2f8dfe2397ec4
RenewalNegotiationEvent,RenewalNegotiationEvent:NEG-CTR-090-strategy_lock-buyer,source_system_extracts/renewal_negotiation_history.csv,3,skyharbor_global,AbarVa Source workflow,Negotiation event and offer history export,NEG-CTR-090-strategy_lock-buyer,extract-renewal-reconciled-v2-001,2027-06-30T21:00:00Z,2027-06-30,CTR-090,EVT-REN-CTR-090,strategy_lock,buyer,2027-01-18,40455000,"Discount, service credits, transition controls, and reporting obligations improved.",BENCH-CTR-090-1,STRAT-CTR-090-001,VP Strategic Sourcing,in_review,67d8015c6f436bae194a2fb097c1387c06a699f0e48df23eeb46508288a8d7c5
RenewalNegotiationEvent,RenewalNegotiationEvent:NEG-CTR-090-rfi-supplier,source_system_extracts/renewal_negotiation_history.csv,4,skyharbor_global,SAP Ariba Strategic Sourcing,Negotiation event and offer history export,NEG-CTR-090-rfi-supplier,extract-renewal-reconciled-v2-001,2027-06-30T21:00:00Z,2027-06-30,CTR-090,EVT-REN-CTR-090,rfi,supplier,2027-01-10,45501000,"Discount, service credits, transition controls, and reporting obligations improved.",BENCH-CTR-090-2,,Supplier account lead,in_review,c65d6c20341842bc4d490f8abc9dfd869ac672e1aaf748d20b09fa3c540455d8
RenewalNegotiationEvent,RenewalNegotiationEvent:NEG-CTR-090-rfi-buyer,source_system_extracts/renewal_negotiation_history.csv,5,skyharbor_global,AbarVa Source workflow,Negotiation event and offer history export,NEG-CTR-090-rfi-buyer,extract-renewal-reconciled-v2-001,2027-06-30T21:00:00Z,2027-06-30,CTR-090,EVT-REN-CTR-090,rfi,buyer,2027-01-18,40194000,"Discount, service credits, transition controls, and reporting obligations improved.",BENCH-CTR-090-2,,VP Strategic Sourcing,in_review,d20f45a1fc68ce117543725c598c80427279bdcb7b5010385bea7f0958621415
RenewalNegotiationEvent,RenewalNegotiationEvent:NEG-CTR-090-initial_quote-supplier,source_system_extracts/renewal_negotiation_history.csv,6,skyharbor_global,SAP Ariba Strategic Sourcing,Negotiation event and offer history export,NEG-CTR-090-initial_quote-supplier,extract-renewal-reconciled-v2-001,2027-06-30T21:00:00Z,2027-06-30,CTR-090,EVT-REN-CTR-090,initial_quote,supplier,2027-02-10,44892000,"Discount, service credits, transition controls, and reporting obligations improved.",BENCH-CTR-090-3,,Supplier account lead,in_review,bd5f38ff7a57917e09dd75ab7569048badde069759f6f7428a0eb24ab91d2719
RenewalNegotiationEvent,RenewalNegotiationEvent:NEG-CTR-090-initial_quote-buyer,source_system_extracts/renewal_negotiation_history.csv,7,skyharbor_global,AbarVa Source workflow,Negotiation event and offer history export,NEG-CTR-090-initial_quote-buyer,extract-renewal-reconciled-v2-001,2027-06-30T21:00:00Z,2027-06-30,CTR-090,EVT-REN-CTR-090,initial_quote,buyer,2027-02-18,39933000,"Discount, service credits, transition controls, and reporting obligations improved.",BENCH-CTR-090-3,,VP Strategic Sourcing,in_review,3c98cad71e4817e76bd4d63fa69e5ecff0c18cee858b85a1ed5e4d1bdd8f6da0
RenewalNegotiationEvent,RenewalNegotiationEvent:NEG-CTR-090-redline-supplier,source_system_extracts/renewal_negotiation_history.csv,8,skyharbor_global,SAP Ariba Strategic Sourcing,Negotiation event and offer history export,NEG-CTR-090-redline-supplier,extract-renewal-reconciled-v2-001,2027-06-30T21:00:00Z,2027-06-30,CTR-090,EVT-REN-CTR-090,redline,supplier,2027-02-10,44283000,"Discount, service credits, transition controls, and reporting obligations improved.",BENCH-CTR-090-4,,Supplier account lead,in_review,2fab0f242e3287e2d3c2f951e773eda80e76f246dc50a61b4643e375d64fab87
RenewalNegotiationEvent,RenewalNegotiationEvent:NEG-CTR-090-redline-buyer,source_system_extracts/renewal_negotiation_history.csv,9,skyharbor_global,AbarVa Source workflow,Negotiation event and offer history export,NEG-CTR-090-redline-buyer,extract-renewal-reconciled-v2-001,2027-06-30T21:00:00Z,2027-06-30,CTR-090,EVT-REN-CTR-090,redline,buyer,2027-02-18,39672000,"Discount, service credits, transition controls, and reporting obligations improved.",BENCH-CTR-090-4,,VP Strategic Sourcing,in_review,b5139dee7e22615af7a597f0d59c504b12d7abe19ea1e636b103a56d84f6f526
RenewalNegotiationEvent,RenewalNegotiationEvent:NEG-CTR-090-commercial_counter-supplier,source_system_extracts/renewal_negotiation_history.csv,10,skyharbor_global,SAP Ariba Strategic Sourcing,Negotiation event and offer history export,NEG-CTR-090-commercial_counter-supplier,extract-renewal-reconciled-v2-001,2027-06-30T21:00:00Z,2027-06-30,CTR-090,EVT-REN-CTR-090,commercial_counter,supplier,2027-03-10,43674000,"Discount, service credits, transition controls, and reporting obligations improved.",BENCH-CTR-090-5,,Supplier account lead,in_review,c4c3a3fd322b7afde5bc110c2adde6515ef194e7b104424749c98b08f664bc22
RenewalNegotiationEvent,RenewalNegotiationEvent:NEG-CTR-090-commercial_counter-buyer,source_system_extracts/renewal_negotiation_history.csv,11,skyharbor_global,AbarVa Source workflow,Negotiation event and offer history export,NEG-CTR-090-commercial_counter-buyer,extract-renewal-reconciled-v2-001,2027-06-30T21:00:00Z,2027-06-30,CTR-090,EVT-REN-CTR-090,commercial_counter,buyer,2027-03-18,39411000,"Discount, service credits, transition controls, and reporting obligations improved.",BENCH-CTR-090-5,,VP Strategic Sourcing,in_review,c18148776e437bbe2f96cb145faec51fea84592b09f231c5cdabbb7a865cd0df
