canonical_object_type,canonical_object_id,source_file,source_row,tenant_key,dataset_version,link_id,contract_id,source_record_id,linked_entity_type,linked_entity_id,relationship_method,relationship_confidence,match_basis,candidate_rank,review_state,reviewer_role,effective_from,effective_to
EvidenceLink,EvidenceLink:CLM-CTR-090,source_system_extracts/evidence_entity_links.csv,2,skyharbor_global,golden-production-reconciled-v2,LINK-CTR-090-REGISTER,CTR-090,CLM-CTR-090,contract,CTR-090,declared_contract_id_source_record_and_steward_review,0.96,"contract_id, supplier_id, source period, document span, source owner role, and steward review",1,accepted,AbarVa data steward,2026-07-01,
EvidenceLink,EvidenceLink:CLAUSE-DOC-CTR-090-NOTICE-RENEWAL-01,source_system_extracts/evidence_entity_links.csv,3,skyharbor_global,golden-production-reconciled-v2,LINK-CTR-090-NOTICE-CLAUSE,CTR-090,CLAUSE-DOC-CTR-090-NOTICE-RENEWAL-01,document_clause,CTR-090,declared_contract_id_source_record_and_steward_review,0.96,"contract_id, supplier_id, source period, document span, source owner role, and steward review",1,accepted,AbarVa data steward,2026-07-01,
EvidenceLink,EvidenceLink:PRICE-CTR-090-current-1,source_system_extracts/evidence_entity_links.csv,4,skyharbor_global,golden-production-reconciled-v2,LINK-CTR-090-PRICING-CURRENT,CTR-090,PRICE-CTR-090-current-1,pricing_line,CTR-090,declared_contract_id_source_record_and_steward_review,0.96,"contract_id, supplier_id, source period, document span, source owner role, and steward review",1,accepted,AbarVa data steward,2026-07-01,
EvidenceLink,EvidenceLink:AP-CTR-090-2026-07-1,source_system_extracts/evidence_entity_links.csv,5,skyharbor_global,golden-production-reconciled-v2,LINK-CTR-090-AP-EXCEPTION,CTR-090,AP-CTR-090-2026-07-1,ap_invoice_line,CTR-090,declared_contract_id_source_record_and_steward_review,0.96,"contract_id, supplier_id, source period, document span, source owner role, and steward review",1,accepted,AbarVa data steward,2026-07-01,
EvidenceLink,EvidenceLink:SLAEVT-CTR-090-2026-07-1,source_system_extracts/evidence_entity_links.csv,6,skyharbor_global,golden-production-reconciled-v2,LINK-CTR-090-SLA-FEE-BASE,CTR-090,SLAEVT-CTR-090-2026-07-1,sla_event,CTR-090,declared_contract_id_source_record_and_steward_review,0.94,"contract_id, supplier_id, source period, document span, source owner role, and steward review",1,accepted,AbarVa data steward,2026-07-01,
EvidenceLink,EvidenceLink:USAGE-CTR-090-2026-07-SF-DC-ENT-crew_ops,source_system_extracts/evidence_entity_links.csv,7,skyharbor_global,golden-production-reconciled-v2,LINK-CTR-090-USAGE-SHELFWARE,CTR-090,USAGE-CTR-090-2026-07-SF-DC-ENT-crew_ops,usage_entitlement,CTR-090,declared_contract_id_source_record_and_steward_review,0.94,"contract_id, supplier_id, source period, document span, source owner role, and steward review",1,accepted,AbarVa data steward,2026-07-01,
EvidenceLink,EvidenceLink:VMS-CTR-090-001,source_system_extracts/evidence_entity_links.csv,8,skyharbor_global,golden-production-reconciled-v2,LINK-CTR-090-VMS-VARIANCE,CTR-090,VMS-CTR-090-001,vms_rate_card,CTR-090,declared_contract_id_source_record_and_steward_review,0.96,"contract_id, supplier_id, source period, document span, source owner role, and steward review",1,accepted,AbarVa data steward,2026-07-01,
EvidenceLink,EvidenceLink:FIN-CTR-090-2027-Q2,source_system_extracts/evidence_entity_links.csv,9,skyharbor_global,golden-production-reconciled-v2,LINK-CTR-090-FINANCE,CTR-090,FIN-CTR-090-2027-Q2,finance_realization,CTR-090,declared_contract_id_source_record_and_steward_review,0.97,"contract_id, supplier_id, source period, document span, source owner role, and steward review",1,accepted,AbarVa data steward,2026-07-01,
EvidenceLink,EvidenceLink:OP-CTR-090-RECOVERY-001,source_system_extracts/evidence_entity_links.csv,10,skyharbor_global,golden-production-reconciled-v2,LINK-CTR-090-OPPORTUNITY,CTR-090,OP-CTR-090-RECOVERY-001,opportunity_case,CTR-090,declared_contract_id_source_record_and_steward_review,0.96,"contract_id, supplier_id, source period, document span, source owner role, and steward review",1,accepted,AbarVa data steward,2026-07-01,
EvidenceLink,EvidenceLink:CASE-OP-CTR-090-RECOVERY-001-diagnosed,source_system_extracts/evidence_entity_links.csv,11,skyharbor_global,golden-production-reconciled-v2,LINK-CTR-090-CASE,CTR-090,CASE-OP-CTR-090-RECOVERY-001-diagnosed,case_lifecycle,CTR-090,declared_contract_id_source_record_and_steward_review,0.96,"contract_id, supplier_id, source period, document span, source owner role, and steward review",1,accepted,AbarVa data steward,2026-07-01,
EvidenceLink,EvidenceLink:APPROVAL-CTR-090-vendor_outreach,source_system_extracts/evidence_entity_links.csv,12,skyharbor_global,golden-production-reconciled-v2,LINK-CTR-090-APPROVAL,CTR-090,APPROVAL-CTR-090-vendor_outreach,approval,CTR-090,declared_contract_id_source_record_and_steward_review,0.96,"contract_id, supplier_id, source period, document span, source owner role, and steward review",1,accepted,AbarVa data steward,2026-07-01,
EvidenceLink,EvidenceLink:LEARN-CTR-090-quantity_uom_required,source_system_extracts/evidence_entity_links.csv,13,skyharbor_global,golden-production-reconciled-v2,LINK-CTR-090-LEARNING,CTR-090,LEARN-CTR-090-quantity_uom_required,commercial_learning,CTR-090,declared_contract_id_source_record_and_steward_review,0.96,"contract_id, supplier_id, source period, document span, source owner role, and steward review",1,accepted,AbarVa data steward,2026-07-01,
EvidenceLink,EvidenceLink:NEC-LEARN-CTR-090-quantity_uom_required,source_system_extracts/evidence_entity_links.csv,14,skyharbor_global,golden-production-reconciled-v2,LINK-CTR-090-NEW-EVENT-CONTROL,CTR-090,NEC-LEARN-CTR-090-quantity_uom_required,new_event_control,CTR-090,declared_contract_id_source_record_and_steward_review,0.96,"contract_id, supplier_id, source period, document span, source owner role, and steward review",1,accepted,AbarVa data steward,2026-07-01,
EvidenceLink,EvidenceLink:CLM-CTR-061,source_system_extracts/evidence_entity_links.csv,15,skyharbor_global,golden-production-reconciled-v2,LINK-CTR-061-REGISTER,CTR-061,CLM-CTR-061,contract,CTR-061,declared_contract_id_source_record_and_steward_review,0.96,"contract_id, supplier_id, source period, document span, source owner role, and steward review",1,accepted,AbarVa data steward,2026-07-01,
EvidenceLink,EvidenceLink:CLAUSE-DOC-CTR-061-NOTICE-RENEWAL-01,source_system_extracts/evidence_entity_links.csv,16,skyharbor_global,golden-production-reconciled-v2,LINK-CTR-061-NOTICE-CLAUSE,CTR-061,CLAUSE-DOC-CTR-061-NOTICE-RENEWAL-01,document_clause,CTR-061,declared_contract_id_source_record_and_steward_review,0.96,"contract_id, supplier_id, source period, document span, source owner role, and steward review",1,accepted,AbarVa data steward,2026-07-01,
EvidenceLink,EvidenceLink:PRICE-CTR-061-current-1,source_system_extracts/evidence_entity_links.csv,17,skyharbor_global,golden-production-reconciled-v2,LINK-CTR-061-PRICING-CURRENT,CTR-061,PRICE-CTR-061-current-1,pricing_line,CTR-061,declared_contract_id_source_record_and_steward_review,0.96,"contract_id, supplier_id, source period, document span, source owner role, and steward review",1,accepted,AbarVa data steward,2026-07-01,
EvidenceLink,EvidenceLink:AP-CTR-061-2027-03-2,source_system_extracts/evidence_entity_links.csv,18,skyharbor_global,golden-production-reconciled-v2,LINK-CTR-061-AP-EXCEPTION,CTR-061,AP-CTR-061-2027-03-2,ap_invoice_line,CTR-061,declared_contract_id_source_record_and_steward_review,0.82,"contract_id, supplier_id, source period, document span, source owner role, and steward review",1,accepted_with_conflict_caveat,AbarVa data steward,2026-07-01,
EvidenceLink,EvidenceLink:SLAEVT-CTR-061-2026-07-1,source_system_extracts/evidence_entity_links.csv,19,skyharbor_global,golden-production-reconciled-v2,LINK-CTR-061-SLA-FEE-BASE,CTR-061,SLAEVT-CTR-061-2026-07-1,sla_event,CTR-061,declared_contract_id_source_record_and_steward_review,0.72,"contract_id, supplier_id, source period, document span, source owner role, and steward review",1,defer_pending_client_review,AbarVa data steward,2026-07-01,
EvidenceLink,EvidenceLink:USAGE-CTR-061-2026-07-M365-E5-crew_ops,source_system_extracts/evidence_entity_links.csv,20,skyharbor_global,golden-production-reconciled-v2,LINK-CTR-061-USAGE-SHELFWARE,CTR-061,USAGE-CTR-061-2026-07-M365-E5-crew_ops,usage_entitlement,CTR-061,declared_contract_id_source_record_and_steward_review,0.78,"contract_id, supplier_id, source period, document span, source owner role, and steward review",1,diagnosis_only,AbarVa data steward,2026-07-01,
