canonical_object_type,canonical_object_id,source_file,source_row,tenant_key,source_system,source_object,source_record_id,extract_job_id,extract_timestamp,as_of_date,contract_id,document_id,pricing_line_id,sku_or_service_code,line_item_description,quantity_or_commitment,unit_of_measure,unit_price_usd,annual_value_usd,effective_from,effective_to,amendment_reference,operative_state,price_protection_clause_ref,uplift_cap_pct,review_state,row_hash
PricingLine,PricingLine:PRICE-CTR-090-superseded-1,source_system_extracts/contract_pricing_schedule.csv,2,skyharbor_global,Icertis Contract Intelligence,"Order form, amendment and pricing exhibit extract",PRICE-CTR-090-superseded-1,extract-pricing-reconciled-v2-001,2027-06-30T21:00:00Z,2027-06-30,CTR-090,DOC-CTR-090-ORDER-BASE,PL-CTR-090-superseded-1,SF-DC-ENT,Data Cloud Enterprise,21000,seat_month,81.22,20466432,2025-01-01,2026-06-30,,superseded,CLAUSE-DOC-CTR-090-PRICING-EXHIBIT-02,5,superseded,24cf58cff2a243572bb6be973155175082d14b39b57b473df5a512e338ff3bd1
PricingLine,PricingLine:PRICE-CTR-090-superseded-2,source_system_extracts/contract_pricing_schedule.csv,3,skyharbor_global,Icertis Contract Intelligence,"Order form, amendment and pricing exhibit extract",PRICE-CTR-090-superseded-2,extract-pricing-reconciled-v2-001,2027-06-30T21:00:00Z,2027-06-30,CTR-090,DOC-CTR-090-ORDER-BASE,PL-CTR-090-superseded-2,SF-MKT-ENT,Marketing Cloud Enterprise,9200,seat_month,105.75,11674800,2025-01-01,2026-06-30,,superseded,CLAUSE-DOC-CTR-090-PRICING-EXHIBIT-02,5,superseded,adb863fa1187b23919768f013d1f5c9d998fe79491075bc4b03dfb195a72c0ea
PricingLine,PricingLine:PRICE-CTR-090-superseded-3,source_system_extracts/contract_pricing_schedule.csv,4,skyharbor_global,Icertis Contract Intelligence,"Order form, amendment and pricing exhibit extract",PRICE-CTR-090-superseded-3,extract-pricing-reconciled-v2-001,2027-06-30T21:00:00Z,2027-06-30,CTR-090,DOC-CTR-090-ORDER-BASE,PL-CTR-090-superseded-3,SF-INT-API,Integration API capacity,480,million_events,1974,947520,2025-01-01,2026-06-30,,superseded,CLAUSE-DOC-CTR-090-PRICING-EXHIBIT-02,5,superseded,3bdc7970000f9df08ed82efb22969136bf70f23573850321330d9fa31f40e580
PricingLine,PricingLine:PRICE-CTR-090-superseded-4,source_system_extracts/contract_pricing_schedule.csv,5,skyharbor_global,Icertis Contract Intelligence,"Order form, amendment and pricing exhibit extract",PRICE-CTR-090-superseded-4,extract-pricing-reconciled-v2-001,2027-06-30T21:00:00Z,2027-06-30,CTR-090,DOC-CTR-090-ORDER-BASE,PL-CTR-090-superseded-4,SF-SUPPORT,Premier Support,1,annual,3431000,3431000,2025-01-01,2026-06-30,,superseded,CLAUSE-DOC-CTR-090-PRICING-EXHIBIT-02,5,superseded,57fdb4ffc8e04187bc9915f49ccac407ad3c4b24d70cd403ada02113d61241de
PricingLine,PricingLine:PRICE-CTR-090-current-1,source_system_extracts/contract_pricing_schedule.csv,6,skyharbor_global,Icertis Contract Intelligence,"Order form, amendment and pricing exhibit extract",PRICE-CTR-090-current-1,extract-pricing-reconciled-v2-001,2027-06-30T21:00:00Z,2027-06-30,CTR-090,DOC-CTR-090-AMEND-001,PL-CTR-090-current-1,SF-DC-ENT,Data Cloud Enterprise,21000,seat_month,86.4,21772800,2026-07-01,2027-12-31,DOC-CTR-090-AMEND-001,current,CLAUSE-DOC-CTR-090-PRICING-EXHIBIT-02,3.5,accepted,1d33085c14ddfb842bddd985fd27b72c0bdada8de53ec7e5a39e1c97ff9f1ab6
PricingLine,PricingLine:PRICE-CTR-090-current-2,source_system_extracts/contract_pricing_schedule.csv,7,skyharbor_global,Icertis Contract Intelligence,"Order form, amendment and pricing exhibit extract",PRICE-CTR-090-current-2,extract-pricing-reconciled-v2-001,2027-06-30T21:00:00Z,2027-06-30,CTR-090,DOC-CTR-090-AMEND-001,PL-CTR-090-current-2,SF-MKT-ENT,Marketing Cloud Enterprise,9200,seat_month,112.5,12420000,2026-07-01,2027-12-31,DOC-CTR-090-AMEND-001,current,CLAUSE-DOC-CTR-090-PRICING-EXHIBIT-02,3.5,accepted,39bb3cf2742f6d115a8c3bfc34ff1a257c0adf0d2425597fbbe29c5fa447f79d
PricingLine,PricingLine:PRICE-CTR-090-current-3,source_system_extracts/contract_pricing_schedule.csv,8,skyharbor_global,Icertis Contract Intelligence,"Order form, amendment and pricing exhibit extract",PRICE-CTR-090-current-3,extract-pricing-reconciled-v2-001,2027-06-30T21:00:00Z,2027-06-30,CTR-090,DOC-CTR-090-AMEND-001,PL-CTR-090-current-3,SF-INT-API,Integration API capacity,480,million_events,2100,1008000,2026-07-01,2027-12-31,DOC-CTR-090-AMEND-001,current,CLAUSE-DOC-CTR-090-PRICING-EXHIBIT-02,3.5,accepted,2dacb78ebe54c779d77b72acb9e7e1e43f2cb2806de9457dd736bb9d1f684799
PricingLine,PricingLine:PRICE-CTR-090-current-4,source_system_extracts/contract_pricing_schedule.csv,9,skyharbor_global,Icertis Contract Intelligence,"Order form, amendment and pricing exhibit extract",PRICE-CTR-090-current-4,extract-pricing-reconciled-v2-001,2027-06-30T21:00:00Z,2027-06-30,CTR-090,DOC-CTR-090-AMEND-001,PL-CTR-090-current-4,SF-SUPPORT,Premier Support,1,annual,3650000,3650000,2026-07-01,2027-12-31,DOC-CTR-090-AMEND-001,current,CLAUSE-DOC-CTR-090-PRICING-EXHIBIT-02,3.5,accepted,ddab840c5e4d53083aeb7217de26b5dece57c062f350e3b82072b55dc1b42989
PricingLine,PricingLine:PRICE-CTR-061-superseded-1,source_system_extracts/contract_pricing_schedule.csv,10,skyharbor_global,Icertis Contract Intelligence,"Order form, amendment and pricing exhibit extract",PRICE-CTR-061-superseded-1,extract-pricing-reconciled-v2-001,2027-06-30T21:00:00Z,2027-06-30,CTR-061,DOC-CTR-061-ORDER-BASE,PL-CTR-061-superseded-1,AZ-COMMIT,Azure consumption commitment,1,annual_commitment,17108000,17108000,2023-01-29,2026-06-30,,superseded,CLAUSE-DOC-CTR-061-PRICING-EXHIBIT-02,5,superseded,94ec96c13674b32e9a0cad8eea3470ab9db51773ae23dcbd4fa03b5ac4e44e36
PricingLine,PricingLine:PRICE-CTR-061-superseded-2,source_system_extracts/contract_pricing_schedule.csv,11,skyharbor_global,Icertis Contract Intelligence,"Order form, amendment and pricing exhibit extract",PRICE-CTR-061-superseded-2,extract-pricing-reconciled-v2-001,2027-06-30T21:00:00Z,2027-06-30,CTR-061,DOC-CTR-061-ORDER-BASE,PL-CTR-061-superseded-2,M365-E5,Microsoft 365 E5,34000,seat_month,49.07,20019744,2023-01-29,2026-06-30,,superseded,CLAUSE-DOC-CTR-061-PRICING-EXHIBIT-02,5,superseded,a4475dfda286618aa6c458907fbba17aad0e0492dda19753ac34895b1aa0943e
PricingLine,PricingLine:PRICE-CTR-061-superseded-3,source_system_extracts/contract_pricing_schedule.csv,12,skyharbor_global,Icertis Contract Intelligence,"Order form, amendment and pricing exhibit extract",PRICE-CTR-061-superseded-3,extract-pricing-reconciled-v2-001,2027-06-30T21:00:00Z,2027-06-30,CTR-061,DOC-CTR-061-ORDER-BASE,PL-CTR-061-superseded-3,GITHUB-COPILOT,GitHub Copilot Business,4200,seat_month,17.86,900144,2023-01-29,2026-06-30,,superseded,CLAUSE-DOC-CTR-061-PRICING-EXHIBIT-02,5,superseded,21944dbca5e949d418f307d1dba1281753aa2770cff5b7db34bade5499ed8895
PricingLine,PricingLine:PRICE-CTR-061-superseded-4,source_system_extracts/contract_pricing_schedule.csv,13,skyharbor_global,Icertis Contract Intelligence,"Order form, amendment and pricing exhibit extract",PRICE-CTR-061-superseded-4,extract-pricing-reconciled-v2-001,2027-06-30T21:00:00Z,2027-06-30,CTR-061,DOC-CTR-061-ORDER-BASE,PL-CTR-061-superseded-4,POWERBI-PREM,Power BI Premium capacity,120,capacity_month,6016,8663040,2023-01-29,2026-06-30,,superseded,CLAUSE-DOC-CTR-061-PRICING-EXHIBIT-02,5,superseded,72050762c76e76a23d2fb0ef2f745c8c992ee6e303a04c975e45d003a9291b86
PricingLine,PricingLine:PRICE-CTR-061-current-1,source_system_extracts/contract_pricing_schedule.csv,14,skyharbor_global,Icertis Contract Intelligence,"Order form, amendment and pricing exhibit extract",PRICE-CTR-061-current-1,extract-pricing-reconciled-v2-001,2027-06-30T21:00:00Z,2027-06-30,CTR-061,DOC-CTR-061-AMEND-001,PL-CTR-061-current-1,AZ-COMMIT,Azure consumption commitment,1,annual_commitment,18200000,18200000,2026-07-01,2027-01-28,DOC-CTR-061-AMEND-001,current,CLAUSE-DOC-CTR-061-PRICING-EXHIBIT-02,3.5,accepted,fdec18f0df50f013115027709cd9677ffa4b0ed0a9710af0f0b42ba412f325a9
PricingLine,PricingLine:PRICE-CTR-061-current-2,source_system_extracts/contract_pricing_schedule.csv,15,skyharbor_global,Icertis Contract Intelligence,"Order form, amendment and pricing exhibit extract",PRICE-CTR-061-current-2,extract-pricing-reconciled-v2-001,2027-06-30T21:00:00Z,2027-06-30,CTR-061,DOC-CTR-061-AMEND-001,PL-CTR-061-current-2,M365-E5,Microsoft 365 E5,34000,seat_month,52.2,21297600,2026-07-01,2027-01-28,DOC-CTR-061-AMEND-001,current,CLAUSE-DOC-CTR-061-PRICING-EXHIBIT-02,3.5,accepted,e57207293cdf16a87a6c478afa812f74efaeaa7825bc1c4fddf45afd1c88d754
PricingLine,PricingLine:PRICE-CTR-061-current-3,source_system_extracts/contract_pricing_schedule.csv,16,skyharbor_global,Icertis Contract Intelligence,"Order form, amendment and pricing exhibit extract",PRICE-CTR-061-current-3,extract-pricing-reconciled-v2-001,2027-06-30T21:00:00Z,2027-06-30,CTR-061,DOC-CTR-061-AMEND-001,PL-CTR-061-current-3,GITHUB-COPILOT,GitHub Copilot Business,4200,seat_month,19,957600,2026-07-01,2027-01-28,DOC-CTR-061-AMEND-001,current,CLAUSE-DOC-CTR-061-PRICING-EXHIBIT-02,3.5,accepted,da84688df3c870745114004cb6264e399968c2e0b9c84c0448620fdcf8b058cf
