canonical_object_type,canonical_object_id,source_file,source_row,tenant_key,dataset_version,fact_assertion_id,contract_id,canonical_entity_type,canonical_entity_id,fact_type,fact_field,fact_value_text,fact_value_numeric,grain,source_record_id,evidence_entity_link_id,assertion_basis,confidence,review_state
FactAssertion,FactAssertion:CLM-CTR-090,source_system_extracts/fact_assertions.csv,2,skyharbor_global,golden-production-reconciled-v2,FACT-CTR-090-001,CTR-090,contract,CTR-090,commercial_term,annual_value_usd,,43500000,contract,CLM-CTR-090,LINK-CTR-090-REGISTER,reconciled_native_extract_or_document_clause,0.96,accepted
FactAssertion,FactAssertion:CLAUSE-DOC-CTR-090-NOTICE-RENEWAL-01,source_system_extracts/fact_assertions.csv,3,skyharbor_global,golden-production-reconciled-v2,FACT-CTR-090-002,CTR-090,contract,CTR-090,commercial_term,notice_deadline,2027-06-30,,contract,CLAUSE-DOC-CTR-090-NOTICE-RENEWAL-01,LINK-CTR-090-NOTICE-CLAUSE,reconciled_native_extract_or_document_clause,0.96,accepted
FactAssertion,FactAssertion:PRICE-CTR-090-current-1,source_system_extracts/fact_assertions.csv,4,skyharbor_global,golden-production-reconciled-v2,FACT-CTR-090-003,CTR-090,contract,CTR-090,commercial_term,current_pricing_total_usd,,38850800,contract,PRICE-CTR-090-current-1,LINK-CTR-090-PRICING-CURRENT,reconciled_native_extract_or_document_clause,0.96,accepted
FactAssertion,FactAssertion:AP-CTR-090-2026-07-1,source_system_extracts/fact_assertions.csv,5,skyharbor_global,golden-production-reconciled-v2,FACT-CTR-090-004,CTR-090,contract,CTR-090,operational_evidence,ap_net_total_usd,,50591261.16,contract_period,AP-CTR-090-2026-07-1,LINK-CTR-090-AP-EXCEPTION,reconciled_native_extract_or_document_clause,0.96,accepted
FactAssertion,FactAssertion:AP-CTR-090-2026-07-1,source_system_extracts/fact_assertions.csv,6,skyharbor_global,golden-production-reconciled-v2,FACT-CTR-090-005,CTR-090,contract,CTR-090,operational_evidence,ap_rate_exception_total_usd,,556989.12,contract_period,AP-CTR-090-2026-07-1,LINK-CTR-090-AP-EXCEPTION,reconciled_native_extract_or_document_clause,0.96,accepted
FactAssertion,FactAssertion:SLAEVT-CTR-090-2026-07-1,source_system_extracts/fact_assertions.csv,7,skyharbor_global,golden-production-reconciled-v2,FACT-CTR-090-006,CTR-090,contract,CTR-090,operational_evidence,sla_earned_unclaimed_usd,,87604.18,contract_period,SLAEVT-CTR-090-2026-07-1,LINK-CTR-090-SLA-FEE-BASE,reconciled_native_extract_or_document_clause,0.96,accepted
FactAssertion,FactAssertion:USAGE-CTR-090-2026-07-SF-DC-ENT-crew_ops,source_system_extracts/fact_assertions.csv,8,skyharbor_global,golden-production-reconciled-v2,FACT-CTR-090-007,CTR-090,contract,CTR-090,operational_evidence,usage_annual_avoidance_usd,,1399612.43,contract_period,USAGE-CTR-090-2026-07-SF-DC-ENT-crew_ops,LINK-CTR-090-USAGE-SHELFWARE,reconciled_native_extract_or_document_clause,0.96,accepted
FactAssertion,FactAssertion:VMS-CTR-090-001,source_system_extracts/fact_assertions.csv,9,skyharbor_global,golden-production-reconciled-v2,FACT-CTR-090-008,CTR-090,contract,CTR-090,operational_evidence,vms_variance_total_usd,,13824,contract_period,VMS-CTR-090-001,LINK-CTR-090-VMS-VARIANCE,reconciled_native_extract_or_document_clause,0.96,accepted
FactAssertion,FactAssertion:FIN-CTR-090-2027-Q2,source_system_extracts/fact_assertions.csv,10,skyharbor_global,golden-production-reconciled-v2,FACT-CTR-090-009,CTR-090,contract,CTR-090,finance_or_value,finance_confirmed_value_usd,,191952,value_period,FIN-CTR-090-2027-Q2,LINK-CTR-090-FINANCE,reconciled_native_extract_or_document_clause,0.96,accepted
FactAssertion,FactAssertion:OP-CTR-090-RECOVERY-001,source_system_extracts/fact_assertions.csv,11,skyharbor_global,golden-production-reconciled-v2,FACT-CTR-090-010,CTR-090,opportunity,OP-CTR-090-RECOVERY-001,finance_or_value,opportunity_recovery_base_usd,,658417.3,opportunity,OP-CTR-090-RECOVERY-001,LINK-CTR-090-OPPORTUNITY,reconciled_native_extract_or_document_clause,0.96,accepted
FactAssertion,FactAssertion:CLM-CTR-061,source_system_extracts/fact_assertions.csv,12,skyharbor_global,golden-production-reconciled-v2,FACT-CTR-061-001,CTR-061,contract,CTR-061,commercial_term,annual_value_usd,,35800000,contract,CLM-CTR-061,LINK-CTR-061-REGISTER,reconciled_native_extract_or_document_clause,0.72,conflicted
FactAssertion,FactAssertion:CLAUSE-DOC-CTR-061-NOTICE-RENEWAL-01,source_system_extracts/fact_assertions.csv,13,skyharbor_global,golden-production-reconciled-v2,FACT-CTR-061-002,CTR-061,contract,CTR-061,commercial_term,notice_deadline,2026-09-30,,contract,CLAUSE-DOC-CTR-061-NOTICE-RENEWAL-01,LINK-CTR-061-NOTICE-CLAUSE,reconciled_native_extract_or_document_clause,0.96,accepted
FactAssertion,FactAssertion:PRICE-CTR-061-current-1,source_system_extracts/fact_assertions.csv,14,skyharbor_global,golden-production-reconciled-v2,FACT-CTR-061-003,CTR-061,contract,CTR-061,commercial_term,current_pricing_total_usd,,49671200,contract,PRICE-CTR-061-current-1,LINK-CTR-061-PRICING-CURRENT,reconciled_native_extract_or_document_clause,0.72,conflicted
FactAssertion,FactAssertion:AP-CTR-061-2027-03-2,source_system_extracts/fact_assertions.csv,15,skyharbor_global,golden-production-reconciled-v2,FACT-CTR-061-004,CTR-061,contract,CTR-061,operational_evidence,ap_net_total_usd,,50345328.04,contract_period,AP-CTR-061-2027-03-2,LINK-CTR-061-AP-EXCEPTION,reconciled_native_extract_or_document_clause,0.72,conflicted
FactAssertion,FactAssertion:AP-CTR-061-2027-03-2,source_system_extracts/fact_assertions.csv,16,skyharbor_global,golden-production-reconciled-v2,FACT-CTR-061-005,CTR-061,contract,CTR-061,operational_evidence,ap_rate_exception_total_usd,,639952,contract_period,AP-CTR-061-2027-03-2,LINK-CTR-061-AP-EXCEPTION,reconciled_native_extract_or_document_clause,0.72,conflicted
FactAssertion,FactAssertion:SLAEVT-CTR-061-2026-07-1,source_system_extracts/fact_assertions.csv,17,skyharbor_global,golden-production-reconciled-v2,FACT-CTR-061-006,CTR-061,contract,CTR-061,operational_evidence,sla_earned_unclaimed_usd,,111875.04,contract_period,SLAEVT-CTR-061-2026-07-1,LINK-CTR-061-SLA-FEE-BASE,reconciled_native_extract_or_document_clause,0.78,deferred
FactAssertion,FactAssertion:USAGE-CTR-061-2026-07-M365-E5-crew_ops,source_system_extracts/fact_assertions.csv,18,skyharbor_global,golden-production-reconciled-v2,FACT-CTR-061-007,CTR-061,contract,CTR-061,operational_evidence,usage_annual_avoidance_usd,,0,contract_period,USAGE-CTR-061-2026-07-M365-E5-crew_ops,LINK-CTR-061-USAGE-SHELFWARE,reconciled_native_extract_or_document_clause,0.78,diagnosis_only
FactAssertion,FactAssertion:VMS-CTR-061-001,source_system_extracts/fact_assertions.csv,19,skyharbor_global,golden-production-reconciled-v2,FACT-CTR-061-008,CTR-061,contract,CTR-061,operational_evidence,vms_variance_total_usd,,13824,contract_period,VMS-CTR-061-001,LINK-CTR-061-VMS-VARIANCE,reconciled_native_extract_or_document_clause,0.78,diagnosis_only
FactAssertion,FactAssertion:FIN-CTR-061-2027-Q2,source_system_extracts/fact_assertions.csv,20,skyharbor_global,golden-production-reconciled-v2,FACT-CTR-061-009,CTR-061,contract,CTR-061,finance_or_value,finance_confirmed_value_usd,,0,value_period,FIN-CTR-061-2027-Q2,LINK-CTR-061-FINANCE,reconciled_native_extract_or_document_clause,0.78,blocked_baseline_conflict
FactAssertion,FactAssertion:OP-CTR-061-RECOVERY-001,source_system_extracts/fact_assertions.csv,21,skyharbor_global,golden-production-reconciled-v2,FACT-CTR-061-010,CTR-061,opportunity,OP-CTR-061-RECOVERY-001,finance_or_value,opportunity_recovery_base_usd,,0,opportunity,OP-CTR-061-RECOVERY-001,LINK-CTR-061-OPPORTUNITY,reconciled_native_extract_or_document_clause,0.78,blocked_by_fact_conflict
