canonical_object_type,canonical_object_id,source_file,source_row,tenant_key,source_system,source_object,source_record_id,extract_job_id,extract_timestamp,as_of_date,contract_id,document_id,concept_ref,source_page,span_start,span_end,extracted_text,extraction_method,confidence,conflict_group_id,review_state,row_hash
DocumentClause,DocumentClause:CLAUSE-DOC-CTR-090-MSA-01,source_system_extracts/document_clause_extractions.csv,2,skyharbor_global,Document extraction pipeline,Markdown/PDF-equivalent page-span clause extraction,CLAUSE-DOC-CTR-090-MSA-01,extract-clauses-reconciled-v2-001,2027-06-30T21:00:00Z,2027-06-30,CTR-090,DOC-CTR-090-MSA,audit.records,1,120,190,audit.records extracted from DOC-CTR-090-MSA; page 1; role master_services_agreement.,synthetic_page_span_markdown_pdf_equivalent,0.93,,accepted,4d56ad92800daedb7f6eea589a82f1d7dbff4b7763bcea2e0533a3c22d60bf7c
DocumentClause,DocumentClause:CLAUSE-DOC-CTR-090-MSA-02,source_system_extracts/document_clause_extractions.csv,3,skyharbor_global,Document extraction pipeline,Markdown/PDF-equivalent page-span clause extraction,CLAUSE-DOC-CTR-090-MSA-02,extract-clauses-reconciled-v2-001,2027-06-30T21:00:00Z,2027-06-30,CTR-090,DOC-CTR-090-MSA,terms.precedence,2,200,270,terms.precedence extracted from DOC-CTR-090-MSA; page 2; role master_services_agreement.,synthetic_page_span_markdown_pdf_equivalent,0.93,,accepted,f04d1465c961b1556a45508926aa45979f0b7db4d12b5daf8c2ea0452e87b83b
DocumentClause,DocumentClause:CLAUSE-DOC-CTR-090-MSA-03,source_system_extracts/document_clause_extractions.csv,4,skyharbor_global,Document extraction pipeline,Markdown/PDF-equivalent page-span clause extraction,CLAUSE-DOC-CTR-090-MSA-03,extract-clauses-reconciled-v2-001,2027-06-30T21:00:00Z,2027-06-30,CTR-090,DOC-CTR-090-MSA,dispute.recovery,3,280,350,dispute.recovery extracted from DOC-CTR-090-MSA; page 3; role master_services_agreement.,synthetic_page_span_markdown_pdf_equivalent,0.93,,accepted,4119a4499de61b2b959d672a3526f938624e90d9ba0b8208fae8d675a2e0e12b
DocumentClause,DocumentClause:CLAUSE-DOC-CTR-090-MSA-04,source_system_extracts/document_clause_extractions.csv,5,skyharbor_global,Document extraction pipeline,Markdown/PDF-equivalent page-span clause extraction,CLAUSE-DOC-CTR-090-MSA-04,extract-clauses-reconciled-v2-001,2027-06-30T21:00:00Z,2027-06-30,CTR-090,DOC-CTR-090-MSA,change_control.approval,4,360,430,change_control.approval extracted from DOC-CTR-090-MSA; page 4; role master_services_agreement.,synthetic_page_span_markdown_pdf_equivalent,0.93,,accepted,19f85ad976f97f452852cf3f38332eafe1e16654eb60a98a24f4fbfdc3d008c0
DocumentClause,DocumentClause:CLAUSE-DOC-CTR-090-SOW-CORE-01,source_system_extracts/document_clause_extractions.csv,6,skyharbor_global,Document extraction pipeline,Markdown/PDF-equivalent page-span clause extraction,CLAUSE-DOC-CTR-090-SOW-CORE-01,extract-clauses-reconciled-v2-001,2027-06-30T21:00:00Z,2027-06-30,CTR-090,DOC-CTR-090-SOW-CORE,scope.service,1,120,190,scope.service extracted from DOC-CTR-090-SOW-CORE; page 1; role statement_of_work_core.,synthetic_page_span_markdown_pdf_equivalent,0.93,,accepted,75bfa3a7af191d66a906357f84c723a3770ced917f7403f4cdb5a9130d6186a4
DocumentClause,DocumentClause:CLAUSE-DOC-CTR-090-SOW-CORE-02,source_system_extracts/document_clause_extractions.csv,7,skyharbor_global,Document extraction pipeline,Markdown/PDF-equivalent page-span clause extraction,CLAUSE-DOC-CTR-090-SOW-CORE-02,extract-clauses-reconciled-v2-001,2027-06-30T21:00:00Z,2027-06-30,CTR-090,DOC-CTR-090-SOW-CORE,reporting.native_grain,2,200,270,reporting.native_grain extracted from DOC-CTR-090-SOW-CORE; page 2; role statement_of_work_core.,synthetic_page_span_markdown_pdf_equivalent,0.93,,accepted,3cd851b2c3cf04dd81865d47590144c20d8bed5dabcea95e5472a5f289fc3a91
DocumentClause,DocumentClause:CLAUSE-DOC-CTR-090-SOW-CORE-03,source_system_extracts/document_clause_extractions.csv,8,skyharbor_global,Document extraction pipeline,Markdown/PDF-equivalent page-span clause extraction,CLAUSE-DOC-CTR-090-SOW-CORE-03,extract-clauses-reconciled-v2-001,2027-06-30T21:00:00Z,2027-06-30,CTR-090,DOC-CTR-090-SOW-CORE,acceptance.owner,3,280,350,acceptance.owner extracted from DOC-CTR-090-SOW-CORE; page 3; role statement_of_work_core.,synthetic_page_span_markdown_pdf_equivalent,0.93,,accepted,4e9a2c8bece89976bdbf02b832acb047b1e84e3ab66421b758e698e87f6a451b
DocumentClause,DocumentClause:CLAUSE-DOC-CTR-090-SOW-CORE-04,source_system_extracts/document_clause_extractions.csv,9,skyharbor_global,Document extraction pipeline,Markdown/PDF-equivalent page-span clause extraction,CLAUSE-DOC-CTR-090-SOW-CORE-04,extract-clauses-reconciled-v2-001,2027-06-30T21:00:00Z,2027-06-30,CTR-090,DOC-CTR-090-SOW-CORE,evidence.owner,4,360,430,evidence.owner extracted from DOC-CTR-090-SOW-CORE; page 4; role statement_of_work_core.,synthetic_page_span_markdown_pdf_equivalent,0.93,,accepted,aa0d6b9d46a05bfa9406690f6cc58df8283beaa06da43b7d722e326efb0d9dff
DocumentClause,DocumentClause:CLAUSE-DOC-CTR-090-SOW-TRANSITION-01,source_system_extracts/document_clause_extractions.csv,10,skyharbor_global,Document extraction pipeline,Markdown/PDF-equivalent page-span clause extraction,CLAUSE-DOC-CTR-090-SOW-TRANSITION-01,extract-clauses-reconciled-v2-001,2027-06-30T21:00:00Z,2027-06-30,CTR-090,DOC-CTR-090-SOW-TRANSITION,transition.milestone,1,120,190,transition.milestone extracted from DOC-CTR-090-SOW-TRANSITION; page 1; role statement_of_work_transition.,synthetic_page_span_markdown_pdf_equivalent,0.93,,accepted,a11bfa9a87ee7078ca05e027786aa2c862cd6d7ffb99d2df733cd0be988e6def
DocumentClause,DocumentClause:CLAUSE-DOC-CTR-090-SOW-TRANSITION-02,source_system_extracts/document_clause_extractions.csv,11,skyharbor_global,Document extraction pipeline,Markdown/PDF-equivalent page-span clause extraction,CLAUSE-DOC-CTR-090-SOW-TRANSITION-02,extract-clauses-reconciled-v2-001,2027-06-30T21:00:00Z,2027-06-30,CTR-090,DOC-CTR-090-SOW-TRANSITION,knowledge_transfer,2,200,270,knowledge_transfer extracted from DOC-CTR-090-SOW-TRANSITION; page 2; role statement_of_work_transition.,synthetic_page_span_markdown_pdf_equivalent,0.93,,accepted,e416ae13b67420402f0faf616ebea88244113c92a766336ccb4afb0252b858b9
DocumentClause,DocumentClause:CLAUSE-DOC-CTR-090-SOW-TRANSITION-03,source_system_extracts/document_clause_extractions.csv,12,skyharbor_global,Document extraction pipeline,Markdown/PDF-equivalent page-span clause extraction,CLAUSE-DOC-CTR-090-SOW-TRANSITION-03,extract-clauses-reconciled-v2-001,2027-06-30T21:00:00Z,2027-06-30,CTR-090,DOC-CTR-090-SOW-TRANSITION,exit.dependency,3,280,350,exit.dependency extracted from DOC-CTR-090-SOW-TRANSITION; page 3; role statement_of_work_transition.,synthetic_page_span_markdown_pdf_equivalent,0.93,,accepted,bf2004bae40e744cb95d114ac59970077f05f105da7254d8662af018420f03f6
DocumentClause,DocumentClause:CLAUSE-DOC-CTR-090-SOW-TRANSITION-04,source_system_extracts/document_clause_extractions.csv,13,skyharbor_global,Document extraction pipeline,Markdown/PDF-equivalent page-span clause extraction,CLAUSE-DOC-CTR-090-SOW-TRANSITION-04,extract-clauses-reconciled-v2-001,2027-06-30T21:00:00Z,2027-06-30,CTR-090,DOC-CTR-090-SOW-TRANSITION,transition.credit,4,360,430,transition.credit extracted from DOC-CTR-090-SOW-TRANSITION; page 4; role statement_of_work_transition.,synthetic_page_span_markdown_pdf_equivalent,0.93,,accepted,e5b9a66591dbfec668e4a0397dc6d4f099bd7a8e01ed96ed3167d55b103aa17f
DocumentClause,DocumentClause:CLAUSE-DOC-CTR-090-ORDER-BASE-01,source_system_extracts/document_clause_extractions.csv,14,skyharbor_global,Document extraction pipeline,Markdown/PDF-equivalent page-span clause extraction,CLAUSE-DOC-CTR-090-ORDER-BASE-01,extract-clauses-reconciled-v2-001,2027-06-30T21:00:00Z,2027-06-30,CTR-090,DOC-CTR-090-ORDER-BASE,pricing.base_entitlement,1,120,190,pricing.base_entitlement extracted from DOC-CTR-090-ORDER-BASE; page 1; role order_form_base.,synthetic_page_span_markdown_pdf_equivalent,0.93,,accepted,69c30b8e2821e48c874a77dd1ae5a4024f68c81e6d23a7692290d4e2ff5daf89
DocumentClause,DocumentClause:CLAUSE-DOC-CTR-090-ORDER-BASE-02,source_system_extracts/document_clause_extractions.csv,15,skyharbor_global,Document extraction pipeline,Markdown/PDF-equivalent page-span clause extraction,CLAUSE-DOC-CTR-090-ORDER-BASE-02,extract-clauses-reconciled-v2-001,2027-06-30T21:00:00Z,2027-06-30,CTR-090,DOC-CTR-090-ORDER-BASE,billing.cadence,2,200,270,billing.cadence extracted from DOC-CTR-090-ORDER-BASE; page 2; role order_form_base.,synthetic_page_span_markdown_pdf_equivalent,0.93,,accepted,5b05d3502bb0e9384071a112eee78e4c05c75d69c810c3321e6f5f1d502fb808
DocumentClause,DocumentClause:CLAUSE-DOC-CTR-090-ORDER-BASE-03,source_system_extracts/document_clause_extractions.csv,16,skyharbor_global,Document extraction pipeline,Markdown/PDF-equivalent page-span clause extraction,CLAUSE-DOC-CTR-090-ORDER-BASE-03,extract-clauses-reconciled-v2-001,2027-06-30T21:00:00Z,2027-06-30,CTR-090,DOC-CTR-090-ORDER-BASE,pricing.base_uplift,3,280,350,pricing.base_uplift extracted from DOC-CTR-090-ORDER-BASE; page 3; role order_form_base.,synthetic_page_span_markdown_pdf_equivalent,0.93,,accepted,9071e4102e947cf2deab28ae1e778d2e6c41aeaef7a83b97a8ce2422fe232239
