canonical_object_type,canonical_object_id,source_file,source_row,tenant_key,review_decision_id,contract_id,reviewed_object_type,reviewed_object_id,decision,rationale,reviewer_role,reviewed_at,blocks_stage
ReviewerDecision,ReviewerDecision:reviewer_decisions.csv:2,source_system_extracts/reviewer_decisions.csv,2,skyharbor_global,REVIEW-CONFLICT-CTR-090-terms_precedence,CTR-090,fact_conflict,CONFLICT-CTR-090-terms_precedence,accept_resolution,Resolution is supported by document precedence and source-row evidence.,Commercial data steward,2027-06-30T21:00:00Z,
ReviewerDecision,ReviewerDecision:reviewer_decisions.csv:3,source_system_extracts/reviewer_decisions.csv,3,skyharbor_global,REVIEW-CONFLICT-CTR-090-sla_fee_base,CTR-090,fact_conflict,CONFLICT-CTR-090-sla_fee_base,accept_resolution,Resolution is supported by document precedence and source-row evidence.,Commercial data steward,2027-06-30T21:00:00Z,
ReviewerDecision,ReviewerDecision:reviewer_decisions.csv:4,source_system_extracts/reviewer_decisions.csv,4,skyharbor_global,REVIEW-CONFLICT-CTR-061-annual_value,CTR-061,fact_conflict,CONFLICT-CTR-061-annual_value,preserve_conflict,Evidence is deep enough for diagnosis but not safe for vendor outreach or value sizing.,Commercial data steward,2027-06-30T21:00:00Z,action_ready;vendor_outreach;value_proven
ReviewerDecision,ReviewerDecision:reviewer_decisions.csv:5,source_system_extracts/reviewer_decisions.csv,5,skyharbor_global,REVIEW-CONFLICT-CTR-061-pricing_baseline,CTR-061,fact_conflict,CONFLICT-CTR-061-pricing_baseline,preserve_conflict,Evidence is deep enough for diagnosis but not safe for vendor outreach or value sizing.,Commercial data steward,2027-06-30T21:00:00Z,action_ready;vendor_outreach;value_proven
ReviewerDecision,ReviewerDecision:reviewer_decisions.csv:6,source_system_extracts/reviewer_decisions.csv,6,skyharbor_global,REVIEW-CONFLICT-CTR-061-ap_baseline,CTR-061,fact_conflict,CONFLICT-CTR-061-ap_baseline,preserve_conflict,Evidence is deep enough for diagnosis but not safe for vendor outreach or value sizing.,Commercial data steward,2027-06-30T21:00:00Z,action_ready;vendor_outreach;value_proven
ReviewerDecision,ReviewerDecision:reviewer_decisions.csv:7,source_system_extracts/reviewer_decisions.csv,7,skyharbor_global,REVIEW-CONFLICT-CTR-061-sla_fee_base,CTR-061,fact_conflict,CONFLICT-CTR-061-sla_fee_base,preserve_conflict,Evidence is deep enough for diagnosis but not safe for vendor outreach or value sizing.,Commercial data steward,2027-06-30T21:00:00Z,action_ready;vendor_outreach;value_proven
ReviewerDecision,ReviewerDecision:reviewer_decisions.csv:8,source_system_extracts/reviewer_decisions.csv,8,skyharbor_global,REVIEW-CONFLICT-CTR-061-application_scope,CTR-061,fact_conflict,CONFLICT-CTR-061-application_scope,preserve_conflict,Evidence is deep enough for diagnosis but not safe for vendor outreach or value sizing.,Commercial data steward,2027-06-30T21:00:00Z,action_ready;vendor_outreach;value_proven
ReviewerDecision,ReviewerDecision:reviewer_decisions.csv:9,source_system_extracts/reviewer_decisions.csv,9,skyharbor_global,REVIEW-LINK-CTR-061-AP-EXCEPTION,CTR-061,evidence_link,LINK-CTR-061-AP-EXCEPTION,accept_for_diagnosis_with_caveat,Link resolves to a source row but is not sufficient for action-stage proof without conflict closure.,Source product reviewer,2027-06-30T21:00:00Z,
ReviewerDecision,ReviewerDecision:reviewer_decisions.csv:10,source_system_extracts/reviewer_decisions.csv,10,skyharbor_global,REVIEW-LINK-CTR-061-SLA-FEE-BASE,CTR-061,evidence_link,LINK-CTR-061-SLA-FEE-BASE,accept_for_diagnosis_with_caveat,Link resolves to a source row but is not sufficient for action-stage proof without conflict closure.,Source product reviewer,2027-06-30T21:00:00Z,
ReviewerDecision,ReviewerDecision:reviewer_decisions.csv:11,source_system_extracts/reviewer_decisions.csv,11,skyharbor_global,REVIEW-LINK-CTR-061-USAGE-SHELFWARE,CTR-061,evidence_link,LINK-CTR-061-USAGE-SHELFWARE,accept_for_diagnosis_with_caveat,Link resolves to a source row but is not sufficient for action-stage proof without conflict closure.,Source product reviewer,2027-06-30T21:00:00Z,
ReviewerDecision,ReviewerDecision:reviewer_decisions.csv:12,source_system_extracts/reviewer_decisions.csv,12,skyharbor_global,REVIEW-LINK-CTR-061-CLOUD-FORECAST,CTR-061,evidence_link,LINK-CTR-061-CLOUD-FORECAST,accept_for_diagnosis_with_caveat,Link resolves to a source row but is not sufficient for action-stage proof without conflict closure.,Source product reviewer,2027-06-30T21:00:00Z,
ReviewerDecision,ReviewerDecision:reviewer_decisions.csv:13,source_system_extracts/reviewer_decisions.csv,13,skyharbor_global,REVIEW-LINK-CTR-061-FINANCE,CTR-061,evidence_link,LINK-CTR-061-FINANCE,reject_for_action,Link resolves to a source row but is not sufficient for action-stage proof without conflict closure.,Source product reviewer,2027-06-30T21:00:00Z,action_ready
ReviewerDecision,ReviewerDecision:reviewer_decisions.csv:14,source_system_extracts/reviewer_decisions.csv,14,skyharbor_global,REVIEW-LINK-CTR-061-OPPORTUNITY,CTR-061,evidence_link,LINK-CTR-061-OPPORTUNITY,reject_for_action,Link resolves to a source row but is not sufficient for action-stage proof without conflict closure.,Source product reviewer,2027-06-30T21:00:00Z,action_ready
ReviewerDecision,ReviewerDecision:reviewer_decisions.csv:15,source_system_extracts/reviewer_decisions.csv,15,skyharbor_global,REVIEW-LINK-CTR-061-CASE,CTR-061,evidence_link,LINK-CTR-061-CASE,accept_for_diagnosis_with_caveat,Link resolves to a source row but is not sufficient for action-stage proof without conflict closure.,Source product reviewer,2027-06-30T21:00:00Z,
ReviewerDecision,ReviewerDecision:reviewer_decisions.csv:16,source_system_extracts/reviewer_decisions.csv,16,skyharbor_global,REVIEW-LINK-CTR-061-APPROVAL,CTR-061,evidence_link,LINK-CTR-061-APPROVAL,reject_for_action,Link resolves to a source row but is not sufficient for action-stage proof without conflict closure.,Source product reviewer,2027-06-30T21:00:00Z,action_ready
ReviewerDecision,ReviewerDecision:reviewer_decisions.csv:17,source_system_extracts/reviewer_decisions.csv,17,skyharbor_global,REVIEW-OP-CTR-090-RECOVERY-001,CTR-090,opportunity_case,OP-CTR-090-RECOVERY-001,accept,Opportunity reconciles to included native evidence population.,Source product reviewer,2027-06-30T21:00:00Z,
ReviewerDecision,ReviewerDecision:reviewer_decisions.csv:18,source_system_extracts/reviewer_decisions.csv,18,skyharbor_global,REVIEW-OP-CTR-090-AVOID-001,CTR-090,opportunity_case,OP-CTR-090-AVOID-001,accept,Opportunity reconciles to included native evidence population.,Source product reviewer,2027-06-30T21:00:00Z,
ReviewerDecision,ReviewerDecision:reviewer_decisions.csv:19,source_system_extracts/reviewer_decisions.csv,19,skyharbor_global,REVIEW-OP-CTR-090-NEGOTIATE-001,CTR-090,opportunity_case,OP-CTR-090-NEGOTIATE-001,accept,Opportunity reconciles to included native evidence population.,Source product reviewer,2027-06-30T21:00:00Z,
ReviewerDecision,ReviewerDecision:reviewer_decisions.csv:20,source_system_extracts/reviewer_decisions.csv,20,skyharbor_global,REVIEW-OP-CTR-090-CONTROL-001,CTR-090,opportunity_case,OP-CTR-090-CONTROL-001,accept,Opportunity reconciles to included native evidence population.,Source product reviewer,2027-06-30T21:00:00Z,
