canonical_object_type,canonical_object_id,source_file,source_row,tenant_key,contract_id,opportunity_id,calculation_run_id,output_name,output_value_numeric,output_currency,value_type,inclusion_state,exclusion_reason,review_state,output_rank
CalculationOutput,CalculationOutput:OP-CTR-090-RECOVERY-001,source_system_extracts/calculation_outputs.csv,2,skyharbor_global,CTR-090,OP-CTR-090-RECOVERY-001,CALC-OP-CTR-090-RECOVERY-001,low,526733.84,USD,recoverable,included,,accepted,1
CalculationOutput,CalculationOutput:OP-CTR-090-RECOVERY-001,source_system_extracts/calculation_outputs.csv,3,skyharbor_global,CTR-090,OP-CTR-090-RECOVERY-001,CALC-OP-CTR-090-RECOVERY-001,base,658417.3,USD,recoverable,included,,accepted,2
CalculationOutput,CalculationOutput:OP-CTR-090-RECOVERY-001,source_system_extracts/calculation_outputs.csv,4,skyharbor_global,CTR-090,OP-CTR-090-RECOVERY-001,CALC-OP-CTR-090-RECOVERY-001,high,790100.76,USD,recoverable,included,,accepted,3
CalculationOutput,CalculationOutput:OP-CTR-090-AVOID-001,source_system_extracts/calculation_outputs.csv,5,skyharbor_global,CTR-090,OP-CTR-090-AVOID-001,CALC-OP-CTR-090-AVOID-001,low,1119689.94,USD,avoided,included,,accepted,1
CalculationOutput,CalculationOutput:OP-CTR-090-AVOID-001,source_system_extracts/calculation_outputs.csv,6,skyharbor_global,CTR-090,OP-CTR-090-AVOID-001,CALC-OP-CTR-090-AVOID-001,base,1399612.43,USD,avoided,included,,accepted,2
CalculationOutput,CalculationOutput:OP-CTR-090-AVOID-001,source_system_extracts/calculation_outputs.csv,7,skyharbor_global,CTR-090,OP-CTR-090-AVOID-001,CALC-OP-CTR-090-AVOID-001,high,1679534.92,USD,avoided,included,,accepted,3
CalculationOutput,CalculationOutput:OP-CTR-090-NEGOTIATE-001,source_system_extracts/calculation_outputs.csv,8,skyharbor_global,CTR-090,OP-CTR-090-NEGOTIATE-001,CALC-OP-CTR-090-NEGOTIATE-001,low,0,USD,negotiated,included,,accepted,1
CalculationOutput,CalculationOutput:OP-CTR-090-NEGOTIATE-001,source_system_extracts/calculation_outputs.csv,9,skyharbor_global,CTR-090,OP-CTR-090-NEGOTIATE-001,CALC-OP-CTR-090-NEGOTIATE-001,base,0,USD,negotiated,included,,accepted,2
CalculationOutput,CalculationOutput:OP-CTR-090-NEGOTIATE-001,source_system_extracts/calculation_outputs.csv,10,skyharbor_global,CTR-090,OP-CTR-090-NEGOTIATE-001,CALC-OP-CTR-090-NEGOTIATE-001,high,0,USD,negotiated,included,,accepted,3
CalculationOutput,CalculationOutput:OP-CTR-090-CONTROL-001,source_system_extracts/calculation_outputs.csv,11,skyharbor_global,CTR-090,OP-CTR-090-CONTROL-001,CALC-OP-CTR-090-CONTROL-001,low,0,USD,non_value_control,non_financial_control,,accepted,1
CalculationOutput,CalculationOutput:OP-CTR-090-CONTROL-001,source_system_extracts/calculation_outputs.csv,12,skyharbor_global,CTR-090,OP-CTR-090-CONTROL-001,CALC-OP-CTR-090-CONTROL-001,base,0,USD,non_value_control,non_financial_control,,accepted,2
CalculationOutput,CalculationOutput:OP-CTR-090-CONTROL-001,source_system_extracts/calculation_outputs.csv,13,skyharbor_global,CTR-090,OP-CTR-090-CONTROL-001,CALC-OP-CTR-090-CONTROL-001,high,0,USD,non_value_control,non_financial_control,,accepted,3
CalculationOutput,CalculationOutput:OP-CTR-061-RECOVERY-001,source_system_extracts/calculation_outputs.csv,14,skyharbor_global,CTR-061,OP-CTR-061-RECOVERY-001,CALC-OP-CTR-061-RECOVERY-001,low,0,USD,recoverable,withheld_pending_conflict_resolution,"Conflict-control contract is diagnosis-ready, not action-ready.",blocked_by_fact_conflict,1
CalculationOutput,CalculationOutput:OP-CTR-061-RECOVERY-001,source_system_extracts/calculation_outputs.csv,15,skyharbor_global,CTR-061,OP-CTR-061-RECOVERY-001,CALC-OP-CTR-061-RECOVERY-001,base,0,USD,recoverable,withheld_pending_conflict_resolution,"Conflict-control contract is diagnosis-ready, not action-ready.",blocked_by_fact_conflict,2
CalculationOutput,CalculationOutput:OP-CTR-061-RECOVERY-001,source_system_extracts/calculation_outputs.csv,16,skyharbor_global,CTR-061,OP-CTR-061-RECOVERY-001,CALC-OP-CTR-061-RECOVERY-001,high,0,USD,recoverable,withheld_pending_conflict_resolution,"Conflict-control contract is diagnosis-ready, not action-ready.",blocked_by_fact_conflict,3
CalculationOutput,CalculationOutput:OP-CTR-061-AVOID-001,source_system_extracts/calculation_outputs.csv,17,skyharbor_global,CTR-061,OP-CTR-061-AVOID-001,CALC-OP-CTR-061-AVOID-001,low,0,USD,avoided,withheld_pending_conflict_resolution,"Conflict-control contract is diagnosis-ready, not action-ready.",blocked_by_fact_conflict,1
CalculationOutput,CalculationOutput:OP-CTR-061-AVOID-001,source_system_extracts/calculation_outputs.csv,18,skyharbor_global,CTR-061,OP-CTR-061-AVOID-001,CALC-OP-CTR-061-AVOID-001,base,0,USD,avoided,withheld_pending_conflict_resolution,"Conflict-control contract is diagnosis-ready, not action-ready.",blocked_by_fact_conflict,2
CalculationOutput,CalculationOutput:OP-CTR-061-AVOID-001,source_system_extracts/calculation_outputs.csv,19,skyharbor_global,CTR-061,OP-CTR-061-AVOID-001,CALC-OP-CTR-061-AVOID-001,high,0,USD,avoided,withheld_pending_conflict_resolution,"Conflict-control contract is diagnosis-ready, not action-ready.",blocked_by_fact_conflict,3
CalculationOutput,CalculationOutput:OP-CTR-061-NEGOTIATE-001,source_system_extracts/calculation_outputs.csv,20,skyharbor_global,CTR-061,OP-CTR-061-NEGOTIATE-001,CALC-OP-CTR-061-NEGOTIATE-001,low,0,USD,negotiated,withheld_pending_conflict_resolution,"Conflict-control contract is diagnosis-ready, not action-ready.",blocked_by_fact_conflict,1
CalculationOutput,CalculationOutput:OP-CTR-061-NEGOTIATE-001,source_system_extracts/calculation_outputs.csv,21,skyharbor_global,CTR-061,OP-CTR-061-NEGOTIATE-001,CALC-OP-CTR-061-NEGOTIATE-001,base,0,USD,negotiated,withheld_pending_conflict_resolution,"Conflict-control contract is diagnosis-ready, not action-ready.",blocked_by_fact_conflict,2
CalculationOutput,CalculationOutput:OP-CTR-061-NEGOTIATE-001,source_system_extracts/calculation_outputs.csv,22,skyharbor_global,CTR-061,OP-CTR-061-NEGOTIATE-001,CALC-OP-CTR-061-NEGOTIATE-001,high,0,USD,negotiated,withheld_pending_conflict_resolution,"Conflict-control contract is diagnosis-ready, not action-ready.",blocked_by_fact_conflict,3
CalculationOutput,CalculationOutput:OP-CTR-061-CONTROL-001,source_system_extracts/calculation_outputs.csv,23,skyharbor_global,CTR-061,OP-CTR-061-CONTROL-001,CALC-OP-CTR-061-CONTROL-001,low,0,USD,non_value_control,non_financial_control,"Conflict-control contract is diagnosis-ready, not action-ready.",accepted,1
CalculationOutput,CalculationOutput:OP-CTR-061-CONTROL-001,source_system_extracts/calculation_outputs.csv,24,skyharbor_global,CTR-061,OP-CTR-061-CONTROL-001,CALC-OP-CTR-061-CONTROL-001,base,0,USD,non_value_control,non_financial_control,"Conflict-control contract is diagnosis-ready, not action-ready.",accepted,2
CalculationOutput,CalculationOutput:OP-CTR-061-CONTROL-001,source_system_extracts/calculation_outputs.csv,25,skyharbor_global,CTR-061,OP-CTR-061-CONTROL-001,CALC-OP-CTR-061-CONTROL-001,high,0,USD,non_value_control,non_financial_control,"Conflict-control contract is diagnosis-ready, not action-ready.",accepted,3
