canonical_object_type,canonical_object_id,source_file,source_row,tenant_key,approval_id,contract_id,case_id,approval_type,approval_state,approver_role,approval_timestamp,condition,audit_note
ApprovalDecision,ApprovalDecision:APPROVAL-CTR-090-evidence_scope,source_system_extracts/approval_decisions.csv,2,skyharbor_global,APPROVAL-CTR-090-evidence_scope,CTR-090,CASE-CTR-090-001,evidence_scope,approved,VP Strategic Sourcing,2027-01-22T16:00:00Z,,SYNTHETIC DEMO DATA - NOT CLIENT DATA - FOR ABARVA SOURCE DEEP-EVIDENCE REVIEW ONLY. Approval exists to test governed workflow gates.
ApprovalDecision,ApprovalDecision:APPROVAL-CTR-090-calculation,source_system_extracts/approval_decisions.csv,3,skyharbor_global,APPROVAL-CTR-090-calculation,CTR-090,CASE-CTR-090-001,calculation,approved,VP Strategic Sourcing,2027-02-22T16:00:00Z,,SYNTHETIC DEMO DATA - NOT CLIENT DATA - FOR ABARVA SOURCE DEEP-EVIDENCE REVIEW ONLY. Approval exists to test governed workflow gates.
ApprovalDecision,ApprovalDecision:APPROVAL-CTR-090-legal_position,source_system_extracts/approval_decisions.csv,4,skyharbor_global,APPROVAL-CTR-090-legal_position,CTR-090,CASE-CTR-090-001,legal_position,approved_with_condition,IT FP&A Lead,2027-03-22T16:00:00Z,SLA recovery claim may cite only accepted fee-base rows.,SYNTHETIC DEMO DATA - NOT CLIENT DATA - FOR ABARVA SOURCE DEEP-EVIDENCE REVIEW ONLY. Approval exists to test governed workflow gates.
ApprovalDecision,ApprovalDecision:APPROVAL-CTR-090-finance_baseline,source_system_extracts/approval_decisions.csv,5,skyharbor_global,APPROVAL-CTR-090-finance_baseline,CTR-090,CASE-CTR-090-001,finance_baseline,approved,IT FP&A Lead,2027-04-22T16:00:00Z,,SYNTHETIC DEMO DATA - NOT CLIENT DATA - FOR ABARVA SOURCE DEEP-EVIDENCE REVIEW ONLY. Approval exists to test governed workflow gates.
ApprovalDecision,ApprovalDecision:APPROVAL-CTR-090-vendor_outreach,source_system_extracts/approval_decisions.csv,6,skyharbor_global,APPROVAL-CTR-090-vendor_outreach,CTR-090,CASE-CTR-090-001,vendor_outreach,approved,Source governance owner,2027-05-22T16:00:00Z,,SYNTHETIC DEMO DATA - NOT CLIENT DATA - FOR ABARVA SOURCE DEEP-EVIDENCE REVIEW ONLY. Approval exists to test governed workflow gates.
ApprovalDecision,ApprovalDecision:APPROVAL-CTR-090-lesson_reuse,source_system_extracts/approval_decisions.csv,7,skyharbor_global,APPROVAL-CTR-090-lesson_reuse,CTR-090,CASE-CTR-090-001,lesson_reuse,approved,Source governance owner,2027-06-22T16:00:00Z,,SYNTHETIC DEMO DATA - NOT CLIENT DATA - FOR ABARVA SOURCE DEEP-EVIDENCE REVIEW ONLY. Approval exists to test governed workflow gates.
ApprovalDecision,ApprovalDecision:APPROVAL-CTR-061-evidence_scope,source_system_extracts/approval_decisions.csv,8,skyharbor_global,APPROVAL-CTR-061-evidence_scope,CTR-061,CASE-CTR-061-001,evidence_scope,approved_for_diagnosis_only,Technology Category Lead,2027-01-22T16:00:00Z,No vendor outreach or value sizing until baseline conflict is resolved.,SYNTHETIC DEMO DATA - NOT CLIENT DATA - FOR ABARVA SOURCE DEEP-EVIDENCE REVIEW ONLY. Approval exists to test governed workflow gates.
ApprovalDecision,ApprovalDecision:APPROVAL-CTR-061-calculation,source_system_extracts/approval_decisions.csv,9,skyharbor_global,APPROVAL-CTR-061-calculation,CTR-061,CASE-CTR-061-001,calculation,approved_for_diagnosis_only,Technology Category Lead,2027-02-22T16:00:00Z,No vendor outreach or value sizing until baseline conflict is resolved.,SYNTHETIC DEMO DATA - NOT CLIENT DATA - FOR ABARVA SOURCE DEEP-EVIDENCE REVIEW ONLY. Approval exists to test governed workflow gates.
ApprovalDecision,ApprovalDecision:APPROVAL-CTR-061-legal_position,source_system_extracts/approval_decisions.csv,10,skyharbor_global,APPROVAL-CTR-061-legal_position,CTR-061,CASE-CTR-061-001,legal_position,blocked_by_fact_conflict,Cloud Finance Controller,2027-03-22T16:00:00Z,No vendor outreach or value sizing until baseline conflict is resolved.,SYNTHETIC DEMO DATA - NOT CLIENT DATA - FOR ABARVA SOURCE DEEP-EVIDENCE REVIEW ONLY. Approval exists to test governed workflow gates.
ApprovalDecision,ApprovalDecision:APPROVAL-CTR-061-finance_baseline,source_system_extracts/approval_decisions.csv,11,skyharbor_global,APPROVAL-CTR-061-finance_baseline,CTR-061,CASE-CTR-061-001,finance_baseline,blocked_by_fact_conflict,Cloud Finance Controller,2027-04-22T16:00:00Z,No vendor outreach or value sizing until baseline conflict is resolved.,SYNTHETIC DEMO DATA - NOT CLIENT DATA - FOR ABARVA SOURCE DEEP-EVIDENCE REVIEW ONLY. Approval exists to test governed workflow gates.
ApprovalDecision,ApprovalDecision:APPROVAL-CTR-061-vendor_outreach,source_system_extracts/approval_decisions.csv,12,skyharbor_global,APPROVAL-CTR-061-vendor_outreach,CTR-061,CASE-CTR-061-001,vendor_outreach,blocked_by_fact_conflict,Source governance owner,2027-05-22T16:00:00Z,No vendor outreach or value sizing until baseline conflict is resolved.,SYNTHETIC DEMO DATA - NOT CLIENT DATA - FOR ABARVA SOURCE DEEP-EVIDENCE REVIEW ONLY. Approval exists to test governed workflow gates.
ApprovalDecision,ApprovalDecision:APPROVAL-CTR-061-lesson_reuse,source_system_extracts/approval_decisions.csv,13,skyharbor_global,APPROVAL-CTR-061-lesson_reuse,CTR-061,CASE-CTR-061-001,lesson_reuse,blocked_by_fact_conflict,Source governance owner,2027-06-22T16:00:00Z,No vendor outreach or value sizing until baseline conflict is resolved.,SYNTHETIC DEMO DATA - NOT CLIENT DATA - FOR ABARVA SOURCE DEEP-EVIDENCE REVIEW ONLY. Approval exists to test governed workflow gates.
