canonical_object_type,canonical_object_id,source_file,source_row,tenant_key,case_event_id,case_id,contract_id,opportunity_id,case_stage,event_timestamp,owner_role,state,notes
CaseLifecycleEvent,CaseLifecycleEvent:OP-CTR-090-RECOVERY-001,source_system_extracts/case_lifecycle_events.csv,2,skyharbor_global,CASE-OP-CTR-090-RECOVERY-001-identified,CASE-CTR-090-001,CTR-090,OP-CTR-090-RECOVERY-001,identified,2027-01-20T12:00:00Z,VP Strategic Sourcing,complete,SYNTHETIC DEMO DATA - NOT CLIENT DATA - FOR ABARVA SOURCE DEEP-EVIDENCE REVIEW ONLY. Reconciled case lifecycle event for OP-CTR-090-RECOVERY-001.
CaseLifecycleEvent,CaseLifecycleEvent:OP-CTR-090-RECOVERY-001,source_system_extracts/case_lifecycle_events.csv,3,skyharbor_global,CASE-OP-CTR-090-RECOVERY-001-triaged,CASE-CTR-090-001,CTR-090,OP-CTR-090-RECOVERY-001,triaged,2027-01-27T12:00:00Z,VP Strategic Sourcing,complete,SYNTHETIC DEMO DATA - NOT CLIENT DATA - FOR ABARVA SOURCE DEEP-EVIDENCE REVIEW ONLY. Reconciled case lifecycle event for OP-CTR-090-RECOVERY-001.
CaseLifecycleEvent,CaseLifecycleEvent:OP-CTR-090-RECOVERY-001,source_system_extracts/case_lifecycle_events.csv,4,skyharbor_global,CASE-OP-CTR-090-RECOVERY-001-evidence_requested,CASE-CTR-090-001,CTR-090,OP-CTR-090-RECOVERY-001,evidence_requested,2027-02-20T12:00:00Z,VP Strategic Sourcing,complete,SYNTHETIC DEMO DATA - NOT CLIENT DATA - FOR ABARVA SOURCE DEEP-EVIDENCE REVIEW ONLY. Reconciled case lifecycle event for OP-CTR-090-RECOVERY-001.
CaseLifecycleEvent,CaseLifecycleEvent:OP-CTR-090-RECOVERY-001,source_system_extracts/case_lifecycle_events.csv,5,skyharbor_global,CASE-OP-CTR-090-RECOVERY-001-diagnosed,CASE-CTR-090-001,CTR-090,OP-CTR-090-RECOVERY-001,diagnosed,2027-02-27T12:00:00Z,VP Strategic Sourcing,complete,SYNTHETIC DEMO DATA - NOT CLIENT DATA - FOR ABARVA SOURCE DEEP-EVIDENCE REVIEW ONLY. Reconciled case lifecycle event for OP-CTR-090-RECOVERY-001.
CaseLifecycleEvent,CaseLifecycleEvent:OP-CTR-090-RECOVERY-001,source_system_extracts/case_lifecycle_events.csv,6,skyharbor_global,CASE-OP-CTR-090-RECOVERY-001-reviewed,CASE-CTR-090-001,CTR-090,OP-CTR-090-RECOVERY-001,reviewed,2027-03-20T12:00:00Z,Legal and Finance reviewers,complete,SYNTHETIC DEMO DATA - NOT CLIENT DATA - FOR ABARVA SOURCE DEEP-EVIDENCE REVIEW ONLY. Reconciled case lifecycle event for OP-CTR-090-RECOVERY-001.
CaseLifecycleEvent,CaseLifecycleEvent:OP-CTR-090-RECOVERY-001,source_system_extracts/case_lifecycle_events.csv,7,skyharbor_global,CASE-OP-CTR-090-RECOVERY-001-approved,CASE-CTR-090-001,CTR-090,OP-CTR-090-RECOVERY-001,approved,2027-03-27T12:00:00Z,Legal and Finance reviewers,complete,SYNTHETIC DEMO DATA - NOT CLIENT DATA - FOR ABARVA SOURCE DEEP-EVIDENCE REVIEW ONLY. Reconciled case lifecycle event for OP-CTR-090-RECOVERY-001.
CaseLifecycleEvent,CaseLifecycleEvent:OP-CTR-090-RECOVERY-001,source_system_extracts/case_lifecycle_events.csv,8,skyharbor_global,CASE-OP-CTR-090-RECOVERY-001-negotiating,CASE-CTR-090-001,CTR-090,OP-CTR-090-RECOVERY-001,negotiating,2027-04-20T12:00:00Z,Negotiation lead,active,SYNTHETIC DEMO DATA - NOT CLIENT DATA - FOR ABARVA SOURCE DEEP-EVIDENCE REVIEW ONLY. Reconciled case lifecycle event for OP-CTR-090-RECOVERY-001.
CaseLifecycleEvent,CaseLifecycleEvent:OP-CTR-090-RECOVERY-001,source_system_extracts/case_lifecycle_events.csv,9,skyharbor_global,CASE-OP-CTR-090-RECOVERY-001-finance_tracking,CASE-CTR-090-001,CTR-090,OP-CTR-090-RECOVERY-001,finance_tracking,2027-04-27T12:00:00Z,Negotiation lead,active,SYNTHETIC DEMO DATA - NOT CLIENT DATA - FOR ABARVA SOURCE DEEP-EVIDENCE REVIEW ONLY. Reconciled case lifecycle event for OP-CTR-090-RECOVERY-001.
CaseLifecycleEvent,CaseLifecycleEvent:OP-CTR-090-AVOID-001,source_system_extracts/case_lifecycle_events.csv,10,skyharbor_global,CASE-OP-CTR-090-AVOID-001-identified,CASE-CTR-090-001,CTR-090,OP-CTR-090-AVOID-001,identified,2027-01-20T12:00:00Z,VP Strategic Sourcing,complete,SYNTHETIC DEMO DATA - NOT CLIENT DATA - FOR ABARVA SOURCE DEEP-EVIDENCE REVIEW ONLY. Reconciled case lifecycle event for OP-CTR-090-AVOID-001.
CaseLifecycleEvent,CaseLifecycleEvent:OP-CTR-090-AVOID-001,source_system_extracts/case_lifecycle_events.csv,11,skyharbor_global,CASE-OP-CTR-090-AVOID-001-triaged,CASE-CTR-090-001,CTR-090,OP-CTR-090-AVOID-001,triaged,2027-01-27T12:00:00Z,VP Strategic Sourcing,complete,SYNTHETIC DEMO DATA - NOT CLIENT DATA - FOR ABARVA SOURCE DEEP-EVIDENCE REVIEW ONLY. Reconciled case lifecycle event for OP-CTR-090-AVOID-001.
