canonical_object_type,canonical_object_id,source_file,source_row,tenant_key,source_system,source_object,source_record_id,extract_job_id,extract_timestamp,as_of_date,contract_id,service_id,application_id,incident_id,event_date,severity,sla_name,target_attainment_rate,actual_attainment_rate,breach_state,fee_base_usd,credit_formula,exclusion_code,vendor_responsibility_state,claim_window_deadline,service_credits_earned_usd,service_credits_claimed_usd,service_credits_received_usd,dispute_state,review_state,row_hash
SlaEvent,SlaEvent:SLAEVT-CTR-090-2026-07-1,source_system_extracts/sla_event_extract.csv,2,skyharbor_global,ServiceNow,"SLA breach, claim and vendor responsibility export",SLAEVT-CTR-090-2026-07-1,extract-sla-reconciled-v2-001,2027-06-30T21:00:00Z,2027-06-30,CTR-090,SVC-CUSTOMER-PLATFORM,APP-CX-360,INC-CTR-090-00,2026-07-10,sev1,Platform availability,0.99,0.965,breached,1208333.33,1.25% of monthly fee base for qualifying breach,,supplier_disputed,2026-08-15,15104.17,0,0,supplier_disputed,disputed,d5899f5bd22549373981c6a9892f4d35a259c7d001117c371c9c15146e75f8db
SlaEvent,SlaEvent:SLAEVT-CTR-090-2026-07-2,source_system_extracts/sla_event_extract.csv,3,skyharbor_global,ServiceNow,"SLA breach, claim and vendor responsibility export",SLAEVT-CTR-090-2026-07-2,extract-sla-reconciled-v2-001,2027-06-30T21:00:00Z,2027-06-30,CTR-090,SVC-CUSTOMER-PLATFORM-SUPPORT,APP-CX-360-1,INC-CTR-090-01,2026-07-11,sev3,Priority incident response,0.99,0.995,met,1208333.33,1.25% of monthly fee base for qualifying breach,,,2026-08-15,0,0,0,,accepted,7c81e240df70869cc6139d5d14dd1233c4112fa7b1ef0bff2babc24e34e87fb8
SlaEvent,SlaEvent:SLAEVT-CTR-090-2026-07-3,source_system_extracts/sla_event_extract.csv,4,skyharbor_global,ServiceNow,"SLA breach, claim and vendor responsibility export",SLAEVT-CTR-090-2026-07-3,extract-sla-reconciled-v2-001,2027-06-30T21:00:00Z,2027-06-30,CTR-090,SVC-CUSTOMER-PLATFORM-INTEGRATION,APP-CX-360-2,INC-CTR-090-02,2026-07-12,sev3,Priority incident response,0.99,0.995,met,1208333.33,1.25% of monthly fee base for qualifying breach,,,2026-08-15,0,0,0,,accepted,6c5f9cc3e0b4475e8e416a272ceb5dae53e2673957f156cf578cad15039b7caa
SlaEvent,SlaEvent:SLAEVT-CTR-090-2026-08-1,source_system_extracts/sla_event_extract.csv,5,skyharbor_global,ServiceNow,"SLA breach, claim and vendor responsibility export",SLAEVT-CTR-090-2026-08-1,extract-sla-reconciled-v2-001,2027-06-30T21:00:00Z,2027-06-30,CTR-090,SVC-CUSTOMER-PLATFORM,APP-CX-360,INC-CTR-090-10,2026-08-10,sev3,Platform availability,0.99,0.995,met,1208333.33,1.25% of monthly fee base for qualifying breach,,,2026-09-15,0,0,0,,accepted,bf366437b34fbec8ffb51767fda9ef5f4c5d7c021c8ec55845eefc63c21335df
SlaEvent,SlaEvent:SLAEVT-CTR-090-2026-08-2,source_system_extracts/sla_event_extract.csv,6,skyharbor_global,ServiceNow,"SLA breach, claim and vendor responsibility export",SLAEVT-CTR-090-2026-08-2,extract-sla-reconciled-v2-001,2027-06-30T21:00:00Z,2027-06-30,CTR-090,SVC-CUSTOMER-PLATFORM-SUPPORT,APP-CX-360-1,INC-CTR-090-11,2026-08-11,sev3,Priority incident response,0.99,0.995,met,1208333.33,1.25% of monthly fee base for qualifying breach,,,2026-09-15,0,0,0,,accepted,443344ab28329cf60c7ba52e338444156f23c6b3d71632fc4f351a5f57d735e3
SlaEvent,SlaEvent:SLAEVT-CTR-090-2026-08-3,source_system_extracts/sla_event_extract.csv,7,skyharbor_global,ServiceNow,"SLA breach, claim and vendor responsibility export",SLAEVT-CTR-090-2026-08-3,extract-sla-reconciled-v2-001,2027-06-30T21:00:00Z,2027-06-30,CTR-090,SVC-CUSTOMER-PLATFORM-INTEGRATION,APP-CX-360-2,INC-CTR-090-12,2026-08-12,sev3,Priority incident response,0.99,0.995,met,1208333.33,1.25% of monthly fee base for qualifying breach,,,2026-09-15,0,0,0,,accepted,198b113961a702f40a296d9dd1fb66d6192cb2e228990dd19eea9453278039d9
SlaEvent,SlaEvent:SLAEVT-CTR-090-2026-09-1,source_system_extracts/sla_event_extract.csv,8,skyharbor_global,ServiceNow,"SLA breach, claim and vendor responsibility export",SLAEVT-CTR-090-2026-09-1,extract-sla-reconciled-v2-001,2027-06-30T21:00:00Z,2027-06-30,CTR-090,SVC-CUSTOMER-PLATFORM,APP-CX-360,INC-CTR-090-20,2026-09-10,sev3,Platform availability,0.99,0.995,met,1208333.33,1.25% of monthly fee base for qualifying breach,,,2026-10-15,0,0,0,,accepted,d84d3a49f22488b07934d403e07e172309cad99f107094f82ddc3a1f3c2f1801
SlaEvent,SlaEvent:SLAEVT-CTR-090-2026-09-2,source_system_extracts/sla_event_extract.csv,9,skyharbor_global,ServiceNow,"SLA breach, claim and vendor responsibility export",SLAEVT-CTR-090-2026-09-2,extract-sla-reconciled-v2-001,2027-06-30T21:00:00Z,2027-06-30,CTR-090,SVC-CUSTOMER-PLATFORM-SUPPORT,APP-CX-360-1,INC-CTR-090-21,2026-09-11,sev3,Priority incident response,0.99,0.995,met,1208333.33,1.25% of monthly fee base for qualifying breach,,,2026-10-15,0,0,0,,accepted,77a32b820e060ec1b1e0d7f4b13c51e1c0ee80e5773ecd8fc72479020c9ce35e
SlaEvent,SlaEvent:SLAEVT-CTR-090-2026-09-3,source_system_extracts/sla_event_extract.csv,10,skyharbor_global,ServiceNow,"SLA breach, claim and vendor responsibility export",SLAEVT-CTR-090-2026-09-3,extract-sla-reconciled-v2-001,2027-06-30T21:00:00Z,2027-06-30,CTR-090,SVC-CUSTOMER-PLATFORM-INTEGRATION,APP-CX-360-2,INC-CTR-090-22,2026-09-12,sev2,Priority incident response,0.99,0.973,breached,1208333.33,1.25% of monthly fee base for qualifying breach,planned_maintenance_review,accepted,2026-10-15,15104.17,9666.67,6041.67,,claim_review_ready,dfcfb1b592ca7fcdf59214210b5942cb59f830fa9dafb8e7f6bdd638b235befa
SlaEvent,SlaEvent:SLAEVT-CTR-090-2026-10-1,source_system_extracts/sla_event_extract.csv,11,skyharbor_global,ServiceNow,"SLA breach, claim and vendor responsibility export",SLAEVT-CTR-090-2026-10-1,extract-sla-reconciled-v2-001,2027-06-30T21:00:00Z,2027-06-30,CTR-090,SVC-CUSTOMER-PLATFORM,APP-CX-360,INC-CTR-090-30,2026-10-10,sev3,Platform availability,0.99,0.995,met,1208333.33,1.25% of monthly fee base for qualifying breach,,,2026-11-15,0,0,0,,accepted,02d51bb5b24784b87a9a76f4dabd4a430ec6f89721bcb42b53c4078a430ea002
SlaEvent,SlaEvent:SLAEVT-CTR-090-2026-10-2,source_system_extracts/sla_event_extract.csv,12,skyharbor_global,ServiceNow,"SLA breach, claim and vendor responsibility export",SLAEVT-CTR-090-2026-10-2,extract-sla-reconciled-v2-001,2027-06-30T21:00:00Z,2027-06-30,CTR-090,SVC-CUSTOMER-PLATFORM-SUPPORT,APP-CX-360-1,INC-CTR-090-31,2026-10-11,sev2,Priority incident response,0.99,0.969,breached,1208333.33,1.25% of monthly fee base for qualifying breach,,accepted,2026-11-15,15104.17,9666.67,6041.67,,claim_review_ready,5cff65f5dbb2b334261710ce82349d9b597130112657cfc340c916b0f28b8dd3
