canonical_object_type,canonical_object_id,source_file,source_row,tenant_key,contract_id,contract_archetype,evidence_class,applicability_state,required_for_stage,reason,current_availability,freshness_state,review_state,owner_role,next_request
EvidenceApplicability,EvidenceApplicability:contract_evidence_applicability.csv:2,source_system_extracts/contract_evidence_applicability.csv,2,skyharbor_global,CTR-090,enterprise_saas,contract_register,required,action_ready,Required to prove Vantage Customer Platform Agreement at production depth.,received,current,accepted,VP Strategic Sourcing,Continue monthly/on-change refresh and review deltas.
EvidenceApplicability,EvidenceApplicability:contract_evidence_applicability.csv:3,source_system_extracts/contract_evidence_applicability.csv,3,skyharbor_global,CTR-090,enterprise_saas,supplier_master,required,action_ready,Required to prove Vantage Customer Platform Agreement at production depth.,received,current,accepted,VP Strategic Sourcing,Continue monthly/on-change refresh and review deltas.
EvidenceApplicability,EvidenceApplicability:contract_evidence_applicability.csv:4,source_system_extracts/contract_evidence_applicability.csv,4,skyharbor_global,CTR-090,enterprise_saas,document_inventory,required,action_ready,Required to prove Vantage Customer Platform Agreement at production depth.,received,current,accepted,VP Strategic Sourcing,Continue monthly/on-change refresh and review deltas.
EvidenceApplicability,EvidenceApplicability:contract_evidence_applicability.csv:5,source_system_extracts/contract_evidence_applicability.csv,5,skyharbor_global,CTR-090,enterprise_saas,clause_extraction,required,action_ready,Required to prove Vantage Customer Platform Agreement at production depth.,received,current,accepted,VP Strategic Sourcing,Continue monthly/on-change refresh and review deltas.
EvidenceApplicability,EvidenceApplicability:contract_evidence_applicability.csv:6,source_system_extracts/contract_evidence_applicability.csv,6,skyharbor_global,CTR-090,enterprise_saas,pricing_schedule,required,action_ready,Required to prove Vantage Customer Platform Agreement at production depth.,received,current,accepted,VP Strategic Sourcing,Continue monthly/on-change refresh and review deltas.
EvidenceApplicability,EvidenceApplicability:contract_evidence_applicability.csv:7,source_system_extracts/contract_evidence_applicability.csv,7,skyharbor_global,CTR-090,enterprise_saas,ap_invoice_line,required,action_ready,Required to prove Vantage Customer Platform Agreement at production depth.,received,current,accepted,VP Strategic Sourcing,Continue monthly/on-change refresh and review deltas.
EvidenceApplicability,EvidenceApplicability:contract_evidence_applicability.csv:8,source_system_extracts/contract_evidence_applicability.csv,8,skyharbor_global,CTR-090,enterprise_saas,po_line,required,action_ready,Required to prove Vantage Customer Platform Agreement at production depth.,received,current,accepted,VP Strategic Sourcing,Continue monthly/on-change refresh and review deltas.
EvidenceApplicability,EvidenceApplicability:contract_evidence_applicability.csv:9,source_system_extracts/contract_evidence_applicability.csv,9,skyharbor_global,CTR-090,enterprise_saas,sla_event,required,action_ready,Required to prove Vantage Customer Platform Agreement at production depth.,received,current,accepted,VP Strategic Sourcing,Continue monthly/on-change refresh and review deltas.
EvidenceApplicability,EvidenceApplicability:contract_evidence_applicability.csv:10,source_system_extracts/contract_evidence_applicability.csv,10,skyharbor_global,CTR-090,enterprise_saas,usage_entitlement,required,action_ready,Required to prove Vantage Customer Platform Agreement at production depth.,received,current,accepted,VP Strategic Sourcing,Continue monthly/on-change refresh and review deltas.
EvidenceApplicability,EvidenceApplicability:contract_evidence_applicability.csv:11,source_system_extracts/contract_evidence_applicability.csv,11,skyharbor_global,CTR-090,enterprise_saas,cloud_billing,not_applicable,,Cloud evidence is not applicable to this SaaS-only golden scenario.,not_applicable,not_applicable,accepted,,
EvidenceApplicability,EvidenceApplicability:contract_evidence_applicability.csv:12,source_system_extracts/contract_evidence_applicability.csv,12,skyharbor_global,CTR-090,enterprise_saas,vms_rate_card,conditional,action_ready,Required to prove Vantage Customer Platform Agreement at production depth.,received,current,accepted,VP Strategic Sourcing,Continue monthly/on-change refresh and review deltas.
EvidenceApplicability,EvidenceApplicability:contract_evidence_applicability.csv:13,source_system_extracts/contract_evidence_applicability.csv,13,skyharbor_global,CTR-090,enterprise_saas,renewal_negotiation,required,action_ready,Required to prove Vantage Customer Platform Agreement at production depth.,received,current,accepted,VP Strategic Sourcing,Continue monthly/on-change refresh and review deltas.
EvidenceApplicability,EvidenceApplicability:contract_evidence_applicability.csv:14,source_system_extracts/contract_evidence_applicability.csv,14,skyharbor_global,CTR-090,enterprise_saas,finance_realization,required,value_proven,Required to prove Vantage Customer Platform Agreement at production depth.,received,current,accepted,VP Strategic Sourcing,Continue monthly/on-change refresh and review deltas.
