canonical_object_type,canonical_object_id,source_file,source_row,tenant_key,learning_pattern_id,originating_contract_id,originating_opportunity_id,contract_archetype,problem_pattern,root_cause,evidence_that_proved_it,recommended_requirement,recommended_clause,response_template_field,pricing_normalization_rule,evaluation_criterion,bafo_ask,transition_control,value_measurement_rule,review_status,owner_role
CommercialLearningPattern,CommercialLearningPattern:LEARN-CTR-090-quantity_uom_required,source_system_extracts/commercial_learning_patterns.csv,2,skyharbor_global,LEARN-CTR-090-quantity_uom_required,CTR-090,OP-CTR-090-RECOVERY-001,enterprise_saas,quantity_uom_required,Reconciled evidence showed the control should be mandatory in future sourcing.,"AP, PO, SLA, usage, cloud, pricing, review, and Finance evidence in this reconciled package.",Require native quantity/UOM and service period for every priced line.,quantity_uom_required clause with evidence obligation and remedy.,quantity_uom_required_response_field,quantity_uom_required_normalization_rule,Evidence-backed commercial controllability,Supplier must close quantity_uom_required before BAFO selection.,quantity_uom_required tracked in transition and value measurement plan.,No realized value without periodized Finance proof.,review_ready,VP Strategic Sourcing
CommercialLearningPattern,CommercialLearningPattern:LEARN-CTR-090-auto_credit_sla,source_system_extracts/commercial_learning_patterns.csv,3,skyharbor_global,LEARN-CTR-090-auto_credit_sla,CTR-090,OP-CTR-090-AVOID-001,enterprise_saas,auto_credit_sla,Reconciled evidence showed the control should be mandatory in future sourcing.,"AP, PO, SLA, usage, cloud, pricing, review, and Finance evidence in this reconciled package.","Define SLA fee base, exclusion logic, claim owner, and automatic credit method.",auto_credit_sla clause with evidence obligation and remedy.,auto_credit_sla_response_field,auto_credit_sla_normalization_rule,Evidence-backed commercial controllability,Supplier must close auto_credit_sla before BAFO selection.,auto_credit_sla tracked in transition and value measurement plan.,No realized value without periodized Finance proof.,review_ready,VP Strategic Sourcing
CommercialLearningPattern,CommercialLearningPattern:LEARN-CTR-090-usage_true_down,source_system_extracts/commercial_learning_patterns.csv,4,skyharbor_global,LEARN-CTR-090-usage_true_down,CTR-090,OP-CTR-090-NEGOTIATE-001,enterprise_saas,usage_true_down,Reconciled evidence showed the control should be mandatory in future sourcing.,"AP, PO, SLA, usage, cloud, pricing, review, and Finance evidence in this reconciled package.",Require active/inactive usage reporting and true-down economics.,usage_true_down clause with evidence obligation and remedy.,usage_true_down_response_field,usage_true_down_normalization_rule,Evidence-backed commercial controllability,Supplier must close usage_true_down before BAFO selection.,usage_true_down tracked in transition and value measurement plan.,No realized value without periodized Finance proof.,review_ready,VP Strategic Sourcing
CommercialLearningPattern,CommercialLearningPattern:LEARN-CTR-090-cloud_forecast_control,source_system_extracts/commercial_learning_patterns.csv,5,skyharbor_global,LEARN-CTR-090-cloud_forecast_control,CTR-090,OP-CTR-090-CONTROL-001,enterprise_saas,cloud_forecast_control,Reconciled evidence showed the control should be mandatory in future sourcing.,"AP, PO, SLA, usage, cloud, pricing, review, and Finance evidence in this reconciled package.","Require cloud commitment forecast, tag quality, and overage approval controls.",cloud_forecast_control clause with evidence obligation and remedy.,cloud_forecast_control_response_field,cloud_forecast_control_normalization_rule,Evidence-backed commercial controllability,Supplier must close cloud_forecast_control before BAFO selection.,cloud_forecast_control tracked in transition and value measurement plan.,No realized value without periodized Finance proof.,review_ready,VP Strategic Sourcing
CommercialLearningPattern,CommercialLearningPattern:LEARN-CTR-090-pricing_supersession,source_system_extracts/commercial_learning_patterns.csv,6,skyharbor_global,LEARN-CTR-090-pricing_supersession,CTR-090,OP-CTR-090-RECOVERY-001,enterprise_saas,pricing_supersession,Reconciled evidence showed the control should be mandatory in future sourcing.,"AP, PO, SLA, usage, cloud, pricing, review, and Finance evidence in this reconciled package.",Require explicit superseded/current pricing and amendment precedence.,pricing_supersession clause with evidence obligation and remedy.,pricing_supersession_response_field,pricing_supersession_normalization_rule,Evidence-backed commercial controllability,Supplier must close pricing_supersession before BAFO selection.,pricing_supersession tracked in transition and value measurement plan.,No realized value without periodized Finance proof.,review_ready,VP Strategic Sourcing
CommercialLearningPattern,CommercialLearningPattern:LEARN-CTR-090-po_coverage,source_system_extracts/commercial_learning_patterns.csv,7,skyharbor_global,LEARN-CTR-090-po_coverage,CTR-090,OP-CTR-090-AVOID-001,enterprise_saas,po_coverage,Reconciled evidence showed the control should be mandatory in future sourcing.,"AP, PO, SLA, usage, cloud, pricing, review, and Finance evidence in this reconciled package.",Require PO-to-contract coverage and exception approval evidence.,po_coverage clause with evidence obligation and remedy.,po_coverage_response_field,po_coverage_normalization_rule,Evidence-backed commercial controllability,Supplier must close po_coverage before BAFO selection.,po_coverage tracked in transition and value measurement plan.,No realized value without periodized Finance proof.,review_ready,VP Strategic Sourcing
CommercialLearningPattern,CommercialLearningPattern:LEARN-CTR-090-finance_measurement,source_system_extracts/commercial_learning_patterns.csv,8,skyharbor_global,LEARN-CTR-090-finance_measurement,CTR-090,OP-CTR-090-NEGOTIATE-001,enterprise_saas,finance_measurement,Reconciled evidence showed the control should be mandatory in future sourcing.,"AP, PO, SLA, usage, cloud, pricing, review, and Finance evidence in this reconciled package.",Lock Finance baseline and periodized realization method before selection.,finance_measurement clause with evidence obligation and remedy.,finance_measurement_response_field,finance_measurement_normalization_rule,Evidence-backed commercial controllability,Supplier must close finance_measurement before BAFO selection.,finance_measurement tracked in transition and value measurement plan.,No realized value without periodized Finance proof.,review_ready,VP Strategic Sourcing
CommercialLearningPattern,CommercialLearningPattern:LEARN-CTR-090-exit_assistance,source_system_extracts/commercial_learning_patterns.csv,9,skyharbor_global,LEARN-CTR-090-exit_assistance,CTR-090,OP-CTR-090-CONTROL-001,enterprise_saas,exit_assistance,Reconciled evidence showed the control should be mandatory in future sourcing.,"AP, PO, SLA, usage, cloud, pricing, review, and Finance evidence in this reconciled package.","Require transition assistance, data portability, KT, and milestone acceptance.",exit_assistance clause with evidence obligation and remedy.,exit_assistance_response_field,exit_assistance_normalization_rule,Evidence-backed commercial controllability,Supplier must close exit_assistance before BAFO selection.,exit_assistance tracked in transition and value measurement plan.,No realized value without periodized Finance proof.,review_ready,VP Strategic Sourcing
CommercialLearningPattern,CommercialLearningPattern:LEARN-CTR-061-quantity_uom_required,source_system_extracts/commercial_learning_patterns.csv,10,skyharbor_global,LEARN-CTR-061-quantity_uom_required,CTR-061,OP-CTR-061-RECOVERY-001,cloud_and_saas,quantity_uom_required,Conflict-control evidence showed the missing control prevents safe action.,"AP, PO, SLA, usage, cloud, pricing, review, and Finance evidence in this reconciled package.",Require native quantity/UOM and service period for every priced line.,quantity_uom_required clause with evidence obligation and remedy.,quantity_uom_required_response_field,quantity_uom_required_normalization_rule,Evidence-backed commercial controllability,Supplier must close quantity_uom_required before BAFO selection.,quantity_uom_required tracked in transition and value measurement plan.,No realized value without periodized Finance proof.,diagnosis_learning_only,Technology Category Lead
CommercialLearningPattern,CommercialLearningPattern:LEARN-CTR-061-auto_credit_sla,source_system_extracts/commercial_learning_patterns.csv,11,skyharbor_global,LEARN-CTR-061-auto_credit_sla,CTR-061,OP-CTR-061-AVOID-001,cloud_and_saas,auto_credit_sla,Conflict-control evidence showed the missing control prevents safe action.,"AP, PO, SLA, usage, cloud, pricing, review, and Finance evidence in this reconciled package.","Define SLA fee base, exclusion logic, claim owner, and automatic credit method.",auto_credit_sla clause with evidence obligation and remedy.,auto_credit_sla_response_field,auto_credit_sla_normalization_rule,Evidence-backed commercial controllability,Supplier must close auto_credit_sla before BAFO selection.,auto_credit_sla tracked in transition and value measurement plan.,No realized value without periodized Finance proof.,diagnosis_learning_only,Technology Category Lead
