tenant_key,entity_id,entity_name,entity_scope,asset_id,asset_name,hosting_model,platform,region_or_datacenter,annual_cost_usd,resilience_tier,owner_team,modernization_note,source_file,source_row,value_source,source_basis
lakeshore-industries,LSH-HOLDCO,Lakeshore Holdings,holdco,INFRA-HOLDCO-001-infra-0,Lakeshore Azure landing zone,cloud,cloud,mixed portfolio locations,,critical,Lakeshore Holdings,Entity scoped pilot infrastructure row,datasets/lakeshore-industries-synthetic-v7-holdco/V7_24_infrastructure_cloud_estate.csv,2,synthetic_pilot_reconciled,v7_holdco_entity_scoped_infrastructure
lakeshore-industries,LSH-HOLDCO,Lakeshore Holdings,holdco,INFRA-HOLDCO-002-infra-1,Lakeshore AWS workload account,network,network,mixed portfolio locations,,high,Lakeshore Holdings,Entity scoped pilot infrastructure row,datasets/lakeshore-industries-synthetic-v7-holdco/V7_24_infrastructure_cloud_estate.csv,3,synthetic_pilot_reconciled,v7_holdco_entity_scoped_infrastructure
lakeshore-industries,LSH-HOLDCO,Lakeshore Holdings,holdco,INFRA-HOLDCO-003-infra-2,Lakeshore plant network segment,endpoint,endpoint,mixed portfolio locations,,high,Lakeshore Holdings,Entity scoped pilot infrastructure row,datasets/lakeshore-industries-synthetic-v7-holdco/V7_24_infrastructure_cloud_estate.csv,4,synthetic_pilot_reconciled,v7_holdco_entity_scoped_infrastructure
lakeshore-industries,LSH-HOLDCO,Lakeshore Holdings,holdco,INFRA-HOLDCO-004-infra-3,Lakeshore endpoint fleet,identity,identity,mixed portfolio locations,,high,Lakeshore Holdings,Entity scoped pilot infrastructure row,datasets/lakeshore-industries-synthetic-v7-holdco/V7_24_infrastructure_cloud_estate.csv,5,synthetic_pilot_reconciled,v7_holdco_entity_scoped_infrastructure
lakeshore-industries,LSH-HOLDCO,Lakeshore Holdings,holdco,INFRA-HOLDCO-005-infra-4,Lakeshore identity tenant,backup,backup,mixed portfolio locations,,high,Lakeshore Holdings,Entity scoped pilot infrastructure row,datasets/lakeshore-industries-synthetic-v7-holdco/V7_24_infrastructure_cloud_estate.csv,6,synthetic_pilot_reconciled,v7_holdco_entity_scoped_infrastructure
lakeshore-industries,LSH-HOLDCO,Lakeshore Holdings,holdco,INFRA-HOLDCO-006-infra-5,Lakeshore backup vault,integration,integration,mixed portfolio locations,,critical,Lakeshore Holdings,Entity scoped pilot infrastructure row,datasets/lakeshore-industries-synthetic-v7-holdco/V7_24_infrastructure_cloud_estate.csv,7,synthetic_pilot_reconciled,v7_holdco_entity_scoped_infrastructure
lakeshore-industries,LSH-HOLDCO,Lakeshore Holdings,holdco,INFRA-HOLDCO-007-infra-6,Lakeshore data gateway,security,security,mixed portfolio locations,,high,Lakeshore Holdings,Entity scoped pilot infrastructure row,datasets/lakeshore-industries-synthetic-v7-holdco/V7_24_infrastructure_cloud_estate.csv,8,synthetic_pilot_reconciled,v7_holdco_entity_scoped_infrastructure
lakeshore-industries,LSH-HOLDCO,Lakeshore Holdings,holdco,INFRA-HOLDCO-008-infra-7,Lakeshore API gateway,observability,observability,mixed portfolio locations,,high,Lakeshore Holdings,Entity scoped pilot infrastructure row,datasets/lakeshore-industries-synthetic-v7-holdco/V7_24_infrastructure_cloud_estate.csv,9,synthetic_pilot_reconciled,v7_holdco_entity_scoped_infrastructure
lakeshore-industries,LSH-HOLDCO,Lakeshore Holdings,holdco,INFRA-HOLDCO-009-infra-8,Lakeshore VDI pool,cloud,cloud,mixed portfolio locations,,high,Lakeshore Holdings,Entity scoped pilot infrastructure row,datasets/lakeshore-industries-synthetic-v7-holdco/V7_24_infrastructure_cloud_estate.csv,10,synthetic_pilot_reconciled,v7_holdco_entity_scoped_infrastructure
lakeshore-industries,LSH-HOLDCO,Lakeshore Holdings,holdco,INFRA-HOLDCO-010-infra-9,Lakeshore warehouse Wi-Fi,network,network,mixed portfolio locations,,high,Lakeshore Holdings,Entity scoped pilot infrastructure row,datasets/lakeshore-industries-synthetic-v7-holdco/V7_24_infrastructure_cloud_estate.csv,11,synthetic_pilot_reconciled,v7_holdco_entity_scoped_infrastructure
lakeshore-industries,LSH-HOLDCO,Lakeshore Holdings,holdco,INFRA-HOLDCO-011-infra-10,Lakeshore OT firewall,endpoint,endpoint,mixed portfolio locations,,critical,Lakeshore Holdings,Entity scoped pilot infrastructure row,datasets/lakeshore-industries-synthetic-v7-holdco/V7_24_infrastructure_cloud_estate.csv,12,synthetic_pilot_reconciled,v7_holdco_entity_scoped_infrastructure
lakeshore-industries,LSH-HOLDCO,Lakeshore Holdings,holdco,INFRA-HOLDCO-012-infra-11,Lakeshore monitoring workspace,identity,identity,mixed portfolio locations,,high,Lakeshore Holdings,Entity scoped pilot infrastructure row,datasets/lakeshore-industries-synthetic-v7-holdco/V7_24_infrastructure_cloud_estate.csv,13,synthetic_pilot_reconciled,v7_holdco_entity_scoped_infrastructure
lakeshore-industries,LSH-HOLDCO,Lakeshore Holdings,holdco,INFRA-HOLDCO-013-infra-12,Lakeshore branch SD-WAN,backup,backup,mixed portfolio locations,,high,Lakeshore Holdings,Entity scoped pilot infrastructure row,datasets/lakeshore-industries-synthetic-v7-holdco/V7_24_infrastructure_cloud_estate.csv,14,synthetic_pilot_reconciled,v7_holdco_entity_scoped_infrastructure
lakeshore-industries,LSH-HOLDCO,Lakeshore Holdings,holdco,INFRA-HOLDCO-014-infra-13,Lakeshore mobile device fleet,integration,integration,mixed portfolio locations,,high,Lakeshore Holdings,Entity scoped pilot infrastructure row,datasets/lakeshore-industries-synthetic-v7-holdco/V7_24_infrastructure_cloud_estate.csv,15,synthetic_pilot_reconciled,v7_holdco_entity_scoped_infrastructure
lakeshore-industries,LSH-HOLDCO,Lakeshore Holdings,holdco,INFRA-HOLDCO-015-infra-14,Lakeshore secrets vault,security,security,mixed portfolio locations,,high,Lakeshore Holdings,Entity scoped pilot infrastructure row,datasets/lakeshore-industries-synthetic-v7-holdco/V7_24_infrastructure_cloud_estate.csv,16,synthetic_pilot_reconciled,v7_holdco_entity_scoped_infrastructure
lakeshore-industries,LSH-HOLDCO,Lakeshore Holdings,holdco,INFRA-HOLDCO-016-infra-15,Lakeshore observability collector,observability,observability,mixed portfolio locations,,critical,Lakeshore Holdings,Entity scoped pilot infrastructure row,datasets/lakeshore-industries-synthetic-v7-holdco/V7_24_infrastructure_cloud_estate.csv,17,synthetic_pilot_reconciled,v7_holdco_entity_scoped_infrastructure
lakeshore-industries,LSH-OPCO-NLS,Northline Supply Chain,portfolio_company,INFRA-OPCO-NLS-001-infra-0,Northline Azure landing zone,cloud,cloud,mixed portfolio locations,,critical,Northline Supply Chain,Entity scoped pilot infrastructure row,datasets/lakeshore-industries-synthetic-v7-holdco/V7_24_infrastructure_cloud_estate.csv,18,synthetic_pilot_reconciled,v7_holdco_entity_scoped_infrastructure
lakeshore-industries,LSH-OPCO-NLS,Northline Supply Chain,portfolio_company,INFRA-OPCO-NLS-002-infra-1,Northline AWS workload account,network,network,mixed portfolio locations,,high,Northline Supply Chain,Entity scoped pilot infrastructure row,datasets/lakeshore-industries-synthetic-v7-holdco/V7_24_infrastructure_cloud_estate.csv,19,synthetic_pilot_reconciled,v7_holdco_entity_scoped_infrastructure
lakeshore-industries,LSH-OPCO-NLS,Northline Supply Chain,portfolio_company,INFRA-OPCO-NLS-003-infra-2,Northline plant network segment,endpoint,endpoint,mixed portfolio locations,,high,Northline Supply Chain,Entity scoped pilot infrastructure row,datasets/lakeshore-industries-synthetic-v7-holdco/V7_24_infrastructure_cloud_estate.csv,20,synthetic_pilot_reconciled,v7_holdco_entity_scoped_infrastructure
lakeshore-industries,LSH-OPCO-NLS,Northline Supply Chain,portfolio_company,INFRA-OPCO-NLS-004-infra-3,Northline endpoint fleet,identity,identity,mixed portfolio locations,,high,Northline Supply Chain,Entity scoped pilot infrastructure row,datasets/lakeshore-industries-synthetic-v7-holdco/V7_24_infrastructure_cloud_estate.csv,21,synthetic_pilot_reconciled,v7_holdco_entity_scoped_infrastructure
lakeshore-industries,LSH-OPCO-NLS,Northline Supply Chain,portfolio_company,INFRA-OPCO-NLS-005-infra-4,Northline identity tenant,backup,backup,mixed portfolio locations,,high,Northline Supply Chain,Entity scoped pilot infrastructure row,datasets/lakeshore-industries-synthetic-v7-holdco/V7_24_infrastructure_cloud_estate.csv,22,synthetic_pilot_reconciled,v7_holdco_entity_scoped_infrastructure
lakeshore-industries,LSH-OPCO-NLS,Northline Supply Chain,portfolio_company,INFRA-OPCO-NLS-006-infra-5,Northline backup vault,integration,integration,mixed portfolio locations,,critical,Northline Supply Chain,Entity scoped pilot infrastructure row,datasets/lakeshore-industries-synthetic-v7-holdco/V7_24_infrastructure_cloud_estate.csv,23,synthetic_pilot_reconciled,v7_holdco_entity_scoped_infrastructure
lakeshore-industries,LSH-OPCO-NLS,Northline Supply Chain,portfolio_company,INFRA-OPCO-NLS-007-infra-6,Northline data gateway,security,security,mixed portfolio locations,,high,Northline Supply Chain,Entity scoped pilot infrastructure row,datasets/lakeshore-industries-synthetic-v7-holdco/V7_24_infrastructure_cloud_estate.csv,24,synthetic_pilot_reconciled,v7_holdco_entity_scoped_infrastructure
lakeshore-industries,LSH-OPCO-NLS,Northline Supply Chain,portfolio_company,INFRA-OPCO-NLS-008-infra-7,Northline API gateway,observability,observability,mixed portfolio locations,,high,Northline Supply Chain,Entity scoped pilot infrastructure row,datasets/lakeshore-industries-synthetic-v7-holdco/V7_24_infrastructure_cloud_estate.csv,25,synthetic_pilot_reconciled,v7_holdco_entity_scoped_infrastructure
lakeshore-industries,LSH-OPCO-NLS,Northline Supply Chain,portfolio_company,INFRA-OPCO-NLS-009-infra-8,Northline VDI pool,cloud,cloud,mixed portfolio locations,,high,Northline Supply Chain,Entity scoped pilot infrastructure row,datasets/lakeshore-industries-synthetic-v7-holdco/V7_24_infrastructure_cloud_estate.csv,26,synthetic_pilot_reconciled,v7_holdco_entity_scoped_infrastructure
lakeshore-industries,LSH-OPCO-NLS,Northline Supply Chain,portfolio_company,INFRA-OPCO-NLS-010-infra-9,Northline warehouse Wi-Fi,network,network,mixed portfolio locations,,high,Northline Supply Chain,Entity scoped pilot infrastructure row,datasets/lakeshore-industries-synthetic-v7-holdco/V7_24_infrastructure_cloud_estate.csv,27,synthetic_pilot_reconciled,v7_holdco_entity_scoped_infrastructure
lakeshore-industries,LSH-OPCO-NLS,Northline Supply Chain,portfolio_company,INFRA-OPCO-NLS-011-infra-10,Northline OT firewall,endpoint,endpoint,mixed portfolio locations,,critical,Northline Supply Chain,Entity scoped pilot infrastructure row,datasets/lakeshore-industries-synthetic-v7-holdco/V7_24_infrastructure_cloud_estate.csv,28,synthetic_pilot_reconciled,v7_holdco_entity_scoped_infrastructure
lakeshore-industries,LSH-OPCO-NLS,Northline Supply Chain,portfolio_company,INFRA-OPCO-NLS-012-infra-11,Northline monitoring workspace,identity,identity,mixed portfolio locations,,high,Northline Supply Chain,Entity scoped pilot infrastructure row,datasets/lakeshore-industries-synthetic-v7-holdco/V7_24_infrastructure_cloud_estate.csv,29,synthetic_pilot_reconciled,v7_holdco_entity_scoped_infrastructure
lakeshore-industries,LSH-OPCO-NLS,Northline Supply Chain,portfolio_company,INFRA-OPCO-NLS-013-infra-12,Northline branch SD-WAN,backup,backup,mixed portfolio locations,,high,Northline Supply Chain,Entity scoped pilot infrastructure row,datasets/lakeshore-industries-synthetic-v7-holdco/V7_24_infrastructure_cloud_estate.csv,30,synthetic_pilot_reconciled,v7_holdco_entity_scoped_infrastructure
lakeshore-industries,LSH-OPCO-NLS,Northline Supply Chain,portfolio_company,INFRA-OPCO-NLS-014-infra-13,Northline mobile device fleet,integration,integration,mixed portfolio locations,,high,Northline Supply Chain,Entity scoped pilot infrastructure row,datasets/lakeshore-industries-synthetic-v7-holdco/V7_24_infrastructure_cloud_estate.csv,31,synthetic_pilot_reconciled,v7_holdco_entity_scoped_infrastructure
lakeshore-industries,LSH-OPCO-NLS,Northline Supply Chain,portfolio_company,INFRA-OPCO-NLS-015-infra-14,Northline secrets vault,security,security,mixed portfolio locations,,high,Northline Supply Chain,Entity scoped pilot infrastructure row,datasets/lakeshore-industries-synthetic-v7-holdco/V7_24_infrastructure_cloud_estate.csv,32,synthetic_pilot_reconciled,v7_holdco_entity_scoped_infrastructure
lakeshore-industries,LSH-OPCO-NLS,Northline Supply Chain,portfolio_company,INFRA-OPCO-NLS-016-infra-15,Northline observability collector,observability,observability,mixed portfolio locations,,critical,Northline Supply Chain,Entity scoped pilot infrastructure row,datasets/lakeshore-industries-synthetic-v7-holdco/V7_24_infrastructure_cloud_estate.csv,33,synthetic_pilot_reconciled,v7_holdco_entity_scoped_infrastructure
