tenant_key,entity_id,entity_name,entity_scope,application_id,application_name,domain,primary_business_owner,technical_owner_team,platform_type,hosting_model,environment,criticality,annual_run_cost_usd,users_or_entities_supported,integration_count,data_classification,modernization_state,system_scope,evidence_id,source_file,source_row,value_source,source_basis
lakeshore-industries,LSH-HOLDCO,Lakeshore Holdings,holdco,SYS-HOLDCO-001-kyriba-treasury,Kyriba Treasury,treasury,Treasurer,VP Enterprise Applications,Kyriba,SaaS / cloud,production,critical,1800000,424,5,cash_visibility_and_payments,standardize_and_optimize,corporate_shared_service,SYS-HOLDCO-001-kyriba-treasury,datasets/lakeshore-industries-synthetic-v7-holdco/V7_05_applications_systems.csv,2,synthetic_pilot_reconciled,v7_holdco_entity_scoped_system
lakeshore-industries,LSH-HOLDCO,Lakeshore Holdings,holdco,SYS-HOLDCO-002-oracle-epm-planning,Oracle EPM Planning,planning,CFO,VP Enterprise Applications,Oracle EPM,hybrid,production,critical,2100000,1161,6,fpna_planning,standardize_and_optimize,corporate_shared_service,SYS-HOLDCO-002-oracle-epm-planning,datasets/lakeshore-industries-synthetic-v7-holdco/V7_05_applications_systems.csv,3,synthetic_pilot_reconciled,v7_holdco_entity_scoped_system
lakeshore-industries,LSH-HOLDCO,Lakeshore Holdings,holdco,SYS-HOLDCO-003-onestream-consolidation,OneStream Consolidation,consolidation,CFO,VP Enterprise Applications,OneStream,hybrid,production,critical,1600000,498,7,financial_close,standardize_and_optimize,corporate_shared_service,SYS-HOLDCO-003-onestream-consolidation,datasets/lakeshore-industries-synthetic-v7-holdco/V7_05_applications_systems.csv,4,synthetic_pilot_reconciled,v7_holdco_entity_scoped_system
lakeshore-industries,LSH-HOLDCO,Lakeshore Holdings,holdco,SYS-HOLDCO-004-workday-hcm,Workday HCM,hcm,CHRO,VP Enterprise Applications,Workday,SaaS / cloud,production,critical,2400000,535,8,hr_core,standardize_and_optimize,corporate_shared_service,SYS-HOLDCO-004-workday-hcm,datasets/lakeshore-industries-synthetic-v7-holdco/V7_05_applications_systems.csv,5,synthetic_pilot_reconciled,v7_holdco_entity_scoped_system
lakeshore-industries,LSH-HOLDCO,Lakeshore Holdings,holdco,SYS-HOLDCO-005-servicenow-itsm,ServiceNow ITSM,itsm,Corporate CIO,VP IT Operations,ServiceNow,SaaS / cloud,production,critical,2100000,572,9,it_service_management,standardize_and_optimize,corporate_shared_service,SYS-HOLDCO-005-servicenow-itsm,datasets/lakeshore-industries-synthetic-v7-holdco/V7_05_applications_systems.csv,6,synthetic_pilot_reconciled,v7_holdco_entity_scoped_system
lakeshore-industries,LSH-HOLDCO,Lakeshore Holdings,holdco,SYS-HOLDCO-006-servicenow-cmdb,ServiceNow CMDB,cmdb,Corporate CIO,VP IT Operations,ServiceNow,SaaS / cloud,production,high,1200000,609,10,asset_and_configuration,standardize_and_optimize,corporate_shared_service,SYS-HOLDCO-006-servicenow-cmdb,datasets/lakeshore-industries-synthetic-v7-holdco/V7_05_applications_systems.csv,7,synthetic_pilot_reconciled,v7_holdco_entity_scoped_system
lakeshore-industries,LSH-HOLDCO,Lakeshore Holdings,holdco,SYS-HOLDCO-007-azure-integration-servic,Azure Integration Services,integration,Corporate CIO,VP Enterprise Architecture,Microsoft Azure,SaaS / cloud,production,critical,2900000,646,11,enterprise_integration,standardize_and_optimize,corporate_shared_service,SYS-HOLDCO-007-azure-integration-servic,datasets/lakeshore-industries-synthetic-v7-holdco/V7_05_applications_systems.csv,8,synthetic_pilot_reconciled,v7_holdco_entity_scoped_system
lakeshore-industries,LSH-HOLDCO,Lakeshore Holdings,holdco,SYS-HOLDCO-008-snowflake-enterprise-lak,Snowflake Enterprise Lake,data_platform,Chief Data Officer,Chief Data Officer,Snowflake,SaaS / cloud,production,critical,3200000,350,12,enterprise_data_platform,standardize_and_optimize,corporate_shared_service,SYS-HOLDCO-008-snowflake-enterprise-lak,datasets/lakeshore-industries-synthetic-v7-holdco/V7_05_applications_systems.csv,9,synthetic_pilot_reconciled,v7_holdco_entity_scoped_system
lakeshore-industries,LSH-HOLDCO,Lakeshore Holdings,holdco,SYS-HOLDCO-009-dbt-semantic-layer,dbt Semantic Layer,semantic_layer,Chief Data Officer,Chief Data Officer,dbt Labs,SaaS / cloud,production,high,850000,387,13,metric_semantics,standardize_and_optimize,corporate_shared_service,SYS-HOLDCO-009-dbt-semantic-layer,datasets/lakeshore-industries-synthetic-v7-holdco/V7_05_applications_systems.csv,10,synthetic_pilot_reconciled,v7_holdco_entity_scoped_system
lakeshore-industries,LSH-HOLDCO,Lakeshore Holdings,holdco,SYS-HOLDCO-010-microsoft-365-copilot,Microsoft 365 Copilot,ai_productivity,VP Innovation,VP Enterprise Applications,Microsoft,SaaS / cloud,production,high,4800000,424,14,knowledge_work_ai,standardize_and_optimize,corporate_shared_service,SYS-HOLDCO-010-microsoft-365-copilot,datasets/lakeshore-industries-synthetic-v7-holdco/V7_05_applications_systems.csv,11,synthetic_pilot_reconciled,v7_holdco_entity_scoped_system
