integration_id,source_system,target_system,interface_type,protocol_or_standard,cadence,data_domain,avg_daily_volume,latency_sla_minutes,failure_rate_30d_pct,owning_team,control_gap,evidence_id
LAK-INT-0001,SAP MM,Bank of America CashPro,bank_connectivity,BAI2/MT940/ISO20022,intraday,treasury,83800,60,0.45,SAP and ERP Platforms,none_reported,LAK-EVID-002
LAK-INT-0002,SAP PI/PO,SQL Server finance mart,bank_connectivity,BAI2/MT940/ISO20022,intraday,treasury,85600,60,0.66,SAP and ERP Platforms,none_reported,LAK-EVID-003
LAK-INT-0003,Quantum legacy TMS,Alteryx finance workflows,bank_connectivity,BAI2/MT940/ISO20022,intraday,treasury,87400,60,0.87,Treasury and Finance Systems,none_reported,LAK-EVID-004
LAK-INT-0004,SWIFT Alliance Lite2,QualityOne QMS,bank_connectivity,BAI2/MT940/ISO20022,intraday,treasury,89200,60,1.08,Treasury and Finance Systems,none_reported,LAK-EVID-005
LAK-INT-0005,Treasury spreadsheet control repository,Claude Code,bank_connectivity,BAI2/MT940/ISO20022,intraday,treasury,91000,60,1.29,Treasury and Finance Systems,none_reported,LAK-EVID-006
LAK-INT-0006,Tableau Server,Lakeshore regional workflow app 53,bank_connectivity,BAI2/MT940/ISO20022,intraday,treasury,92800,60,0.24,Data Platform and BI,bank_format_mapping_not_signed_off,LAK-EVID-007
LAK-INT-0007,dbt semantic layer,Lakeshore regional workflow app 61,bank_connectivity,BAI2/MT940/ISO20022,intraday,treasury,94600,60,0.45,Data Platform and BI,none_reported,LAK-EVID-008
LAK-INT-0008,Rockwell FactoryTalk,Lakeshore regional workflow app 69,bank_connectivity,BAI2/MT940/ISO20022,intraday,treasury,96400,60,0.66,Manufacturing and OT Systems,none_reported,LAK-EVID-009
LAK-INT-0009,SAP APO legacy,Lakeshore regional workflow app 77,bank_connectivity,BAI2/MT940/ISO20022,intraday,treasury,98200,60,0.87,Manufacturing and OT Systems,none_reported,LAK-EVID-010
LAK-INT-0010,Supplier portal,Lakeshore regional workflow app 85,bank_connectivity,BAI2/MT940/ISO20022,intraday,treasury,100000,60,1.08,Manufacturing and OT Systems,none_reported,LAK-EVID-011
