tenant_key,portfolio_company,fiscal_year,budget_area,business_function,accounting_treatment,spend_posture,spend_type,amount_type,total_it_budget_usd,actual_spend_ytd_usd,forecast_spend_usd,opex_amount_usd,capex_amount_usd,run_amount_usd,change_amount_usd,vendor_amount_usd,labor_amount_usd,confidence,freshness,source_template,is_synthetic
lakeshore-holdings,Northline Logistics Group,FY2026,infrastructure_cloud,IT,mixed,mixed_run_change,cloud_consumption,annual_budget,8680000.0,4166000.0,8506000.0,7812000.0,868000.0,6944000.0,1736000.0,5382000.0,3298000.0,medium,FY2026 synthetic reference,F12_it-budget-financials,True
lakeshore-holdings,Northline Logistics Group,FY2026,data_center_network,IT,mixed,mixed_run_change,data_center,annual_budget,4960000.0,2381000.0,4861000.0,3224000.0,1736000.0,3968000.0,992000.0,3075000.0,1885000.0,medium,FY2026 synthetic reference,F12_it-budget-financials,True
lakeshore-holdings,Northline Logistics Group,FY2026,ERP_finance_systems,finance,mixed,mixed_run_change,ERP_platform,annual_budget,9920000.0,4762000.0,9722000.0,6448000.0,3472000.0,5456000.0,4464000.0,6150000.0,3770000.0,medium,FY2026 synthetic reference,F12_it-budget-financials,True
lakeshore-holdings,Northline Logistics Group,FY2026,data_analytics,IT,mixed,mixed_run_change,data_platform,annual_budget,6820000.0,3274000.0,6684000.0,4433000.0,2387000.0,3751000.0,3069000.0,4228000.0,2592000.0,medium,FY2026 synthetic reference,F12_it-budget-financials,True
lakeshore-holdings,Northline Logistics Group,FY2026,workplace_collaboration,HR,mixed,mixed_run_change,collaboration_tools,annual_budget,4960000.0,2381000.0,4861000.0,4861000.0,99000.0,3968000.0,992000.0,3075000.0,1885000.0,medium,FY2026 synthetic reference,F12_it-budget-financials,True
lakeshore-holdings,Northline Logistics Group,FY2026,security_risk_compliance,risk_compliance,mixed,mixed_run_change,security_tools,annual_budget,4960000.0,2381000.0,4861000.0,4861000.0,99000.0,3968000.0,992000.0,3075000.0,1885000.0,medium,FY2026 synthetic reference,F12_it-budget-financials,True
lakeshore-holdings,Northline Logistics Group,FY2026,application_development,IT,mixed,mixed_run_change,internal_labor,annual_budget,7440000.0,3571000.0,7291000.0,6696000.0,744000.0,4092000.0,3348000.0,1860000.0,5580000.0,medium,FY2026 synthetic reference,F12_it-budget-financials,True
lakeshore-holdings,Northline Logistics Group,FY2026,business_applications,operations,mixed,mixed_run_change,SaaS,annual_budget,6200000.0,2976000.0,6076000.0,6076000.0,124000.0,4960000.0,1240000.0,3844000.0,2356000.0,medium,FY2026 synthetic reference,F12_it-budget-financials,True
lakeshore-holdings,Northline Logistics Group,FY2026,operations_service_management,IT,mixed,mixed_run_change,managed_services,annual_budget,3720000.0,1786000.0,3646000.0,3646000.0,74000.0,2976000.0,744000.0,2306000.0,1414000.0,medium,FY2026 synthetic reference,F12_it-budget-financials,True
lakeshore-holdings,Northline Logistics Group,FY2026,AI_automation,enterprise_shared_services,mixed,mixed_run_change,AI_tooling,annual_budget,2480000.0,1190000.0,2430000.0,2430000.0,50000.0,1364000.0,1116000.0,1538000.0,942000.0,medium,FY2026 synthetic reference,F12_it-budget-financials,True
lakeshore-holdings,Northline Logistics Group,FY2026,telecom_end_user,IT,mixed,mixed_run_change,end_user_compute,annual_budget,1860000.0,893000.0,1823000.0,1823000.0,37000.0,1488000.0,372000.0,1153000.0,707000.0,medium,FY2026 synthetic reference,F12_it-budget-financials,True
