contract_id,story_step,client_talk_track,fact_1,fact_2,evidence_files,ui_location
CF-001,1. Why this contract,Crestline Analytics Services LLC is a material optimization candidate because Data and Analytics Managed Services carries USD 35000000 annual value and supports Enterprise analytics; clinical quality reporting; payer performance; finance analytics; executive dashboards.,Annual value USD 35000000,Actual annual spend USD 31820000,contract_overview.csv; contract_pricing_schedule.csv; contract_application_scope.csv,Contract 360 > Story
CF-001,2. What it covers,"Crestline operates Meridian's enterprise analytics managed-services tower. The agreement covers data-platform operations, clinical and financial data products, BI support, data engineering squads, production incident response, and release management for executive, payer, quality, and operational reporting. Spend is driven by named managed-service towers, offshore and onshore data-engineering capacity, platform administration, premium support, and change-order capacity. The optimization question is whether Meridian can recover missed service credits, stop paying premium blended rates where rate cards were not amended, reduce underused platform support capacity, and lock a narrower renewal scope before the next sourcing gate.",10 scope rows,6 pricing lines,contract_overview.csv; contract_application_scope.csv; contract_pricing_schedule.csv,Contract 360 > Scope
CF-001,3. What creates pressure,"Service, invoice, rate-card, usage, and finance records quantify the optimization thesis without converting gaps into value.",Recoverable leakage USD 3083164,Realized value USD 735000,sla_incident_service_credit_monthly.csv; invoice_lines.csv; rate_card_variance.csv; finance_value_confirmation.csv,Contract 360 > Performance and Evidence
CF-001,4. What action follows,"Door 1 should convert the evidence into a scoped optimization plan, an approval record, and a finance-confirmed value proof path.",Avoided cost USD 1920000,Negotiated improvement USD 1180000,renewal_negotiation_history.csv; finance_value_confirmation.csv,Contract 360 > Optimize
CF-001,5. How to source it,"Start with controlled extracts from CLM, AP/ERP, S2P, ITSM, usage/admin exports, and finance value ledger. APIs can come later.",6 evidence families,No PII or PHI,evidence_source_inventory.csv; field_level_extraction_guide.csv,Contract 360 > Relationship and Evidence
CF-001,6. What not to claim,"Do not claim value from spend variance, missing evidence, or negotiation targets until finance confirms realized value.",Opportunity separate from realized value,Tower gate required,finance_value_confirmation.csv,Contract 360 > Value proof
CF-003,1. Why this contract,"Sterling Workforce Systems, Inc." is a material optimization candidate because Sterling Finance HCM SaaS and Services carries USD 12500000 annual value and supports Finance operations; HR operations; payroll; workforce planning; procurement intake.,Annual value USD 12500000,Actual annual spend USD 11680000,contract_overview.csv; contract_pricing_schedule.csv; contract_application_scope.csv,Contract 360 > Story
CF-003,2. What it covers,"Sterling provides Meridian's finance and workforce SaaS platform, subscription modules, integration support, release-management advisory, and selected optimization services. The agreement includes named enterprise modules, worker and financial seat entitlements, premium support, integration capacity, and transformation advisory hours. The optimization question is whether Meridian can remove shelfware, reduce underused Extend and Prism capacity, claim service-performance credits where available, cap renewal uplift, and convert loosely scoped advisory work into outcome-bound work packages.",8 scope rows,5 pricing lines,contract_overview.csv; contract_application_scope.csv; contract_pricing_schedule.csv,Contract 360 > Scope
CF-003,3. What creates pressure,"Service, invoice, rate-card, usage, and finance records quantify the optimization thesis without converting gaps into value.",Recoverable leakage USD 312964,Realized value USD 260000,sla_incident_service_credit_monthly.csv; invoice_lines.csv; rate_card_variance.csv; finance_value_confirmation.csv,Contract 360 > Performance and Evidence
CF-003,4. What action follows,"Door 1 should convert the evidence into a scoped optimization plan, an approval record, and a finance-confirmed value proof path.",Avoided cost USD 820000,Negotiated improvement USD 520000,renewal_negotiation_history.csv; finance_value_confirmation.csv,Contract 360 > Optimize
CF-003,5. How to source it,"Start with controlled extracts from CLM, AP/ERP, S2P, ITSM, usage/admin exports, and finance value ledger. APIs can come later.",6 evidence families,No PII or PHI,evidence_source_inventory.csv; field_level_extraction_guide.csv,Contract 360 > Relationship and Evidence
CF-003,6. What not to claim,"Do not claim value from spend variance, missing evidence, or negotiation targets until finance confirms realized value.",Opportunity separate from realized value,Tower gate required,finance_value_confirmation.csv,Contract 360 > Value proof
