kpi_id,kpi_name,business_area,period,current_value,target_value,unit,owner_role,evidence_id
APX-KPI-001,gross_margin_rate,Store Operations,2026-Q2,72.0,78.0,pct,COO,APX-EVID-001
APX-KPI-002,inventory_turns,Digital Commerce,2026-Q2,73.7,79.4,index,Chief Digital Officer,APX-EVID-002
APX-KPI-003,digital_conversion,Merchandising,2026-Q2,75.4,80.8,pct,Chief Merchandising Officer,APX-EVID-003
APX-KPI-004,shrink_rate,Supply Chain and Fulfillment,2026-Q2,77.1,82.2,index,Chief Supply Chain Officer,APX-EVID-004
APX-KPI-005,labor_productivity,Loyalty and Customer Growth,2026-Q2,78.8,83.6,pct,Chief Marketing Officer,APX-EVID-005
APX-KPI-006,on_time_fulfillment,Finance and FP&A,2026-Q2,80.5,85.0,index,CFO,APX-EVID-006
APX-KPI-007,loyalty_active_rate,Loss Prevention and Risk,2026-Q2,82.2,86.4,pct,Chief Risk Officer,APX-EVID-007
APX-KPI-008,gross_margin_rate,Technology,2026-Q2,83.9,87.8,index,CIO,APX-EVID-008
APX-KPI-009,inventory_turns,Human Resources,2026-Q2,85.6,89.2,pct,CHRO,APX-EVID-009
APX-KPI-010,digital_conversion,Procurement and Vendor Management,2026-Q2,87.3,90.6,index,Chief Procurement Officer,APX-EVID-010
APX-KPI-011,shrink_rate,Real Estate and Facilities,2026-Q2,89.0,92.0,pct,Chief Real Estate Officer,APX-EVID-011
APX-KPI-012,labor_productivity,Private Brands,2026-Q2,90.7,93.4,index,SVP Private Brands,APX-EVID-012
APX-KPI-013,on_time_fulfillment,Store Operations,2026-Q2,92.4,94.8,pct,COO,APX-EVID-013
APX-KPI-014,loyalty_active_rate,Digital Commerce,2026-Q2,94.1,96.2,index,Chief Digital Officer,APX-EVID-014
