sla_id,business_service,ci_id,sla_name,metric_name,target_value,unit,measurement_source,owner,breach_count_90d,trending_status,penalty_or_impact,source_system,source_record_id,source_owner,last_validated_date,confidence,evidence_usable,notes_gaps
SLA-001,Clinical Documentation,CI-APP-EPIC-HYPERSPACE,Clinical Documentation availability and response,Availability,99.9,percent,ServiceNow APM,Integration Operations,6,Worsening,Operational escalation and executive review if breached.,ServiceNow,SLA-1,IT Service Management,2026-06-01,0.84,true,
SLA-002,Clinical Analytics,CI-APP-EPIC-CABOODLE,Clinical Analytics availability and response,Incident response,4,hours,ServiceNow APM,Revenue Cycle Technology,1,Stable,Operational escalation and executive review if breached.,ServiceNow,SLA-2,IT Service Management,2026-05-01,0.84,true,
SLA-003,Clinical Integration,CI-INT-MIRTH,Clinical Integration availability and response,Availability,99.9,percent,ServiceNow APM,Contact Center Technology,2,Stable,Operational escalation and executive review if breached.,ServiceNow,SLA-3,IT Service Management,2026-05-01,0.84,true,
SLA-004,Contact Center Operations,CI-SVC-CONTACT-CENTER,Contact Center Operations availability and response,Incident response,4,hours,ServiceNow APM,Cloud Platform Services,3,Improving,Operational escalation and executive review if breached.,ServiceNow,SLA-4,IT Service Management,2026-05-01,0.84,true,
SLA-005,CRM and Care Navigation,CI-APP-SALESFORCE-HEALTH,CRM and Care Navigation availability and response,Availability,99.9,percent,ServiceNow APM,Research Technology Office,4,Stable,Operational escalation and executive review if breached.,ServiceNow,SLA-5,IT Service Management,2026-05-01,0.84,true,
SLA-006,IT Service Management,CI-APP-SERVICENOW,IT Service Management availability and response,Incident response,4,hours,ServiceNow APM,Payer Platform Operations,5,Worsening,Operational escalation and executive review if breached.,ServiceNow,SLA-6,IT Service Management,2026-05-01,0.84,true,
SLA-007,Finance and Procurement,CI-APP-ORACLE-ERP,Finance and Procurement availability and response,Availability,99.9,percent,ServiceNow APM,Cybersecurity Governance,6,Worsening,Operational escalation and executive review if breached.,ServiceNow,SLA-7,IT Service Management,2026-05-01,0.84,true,
SLA-008,Workforce Management,CI-APP-WORKDAY-HCM,Workforce Management availability and response,Incident response,4,hours,ServiceNow APM,IT Sourcing,0,Stable,Operational escalation and executive review if breached.,ServiceNow,SLA-8,IT Service Management,2026-05-01,0.84,true,
SLA-009,Research Analytics,CI-DATA-RESEARCH-LAKE,Research Analytics availability and response,Availability,99.9,percent,ServiceNow APM,EHR Platform Engineering,1,Stable,Operational escalation and executive review if breached.,ServiceNow,SLA-9,IT Service Management,2026-05-01,0.84,true,
SLA-010,Advanced Analytics,CI-PLAT-DATABRICKS,Advanced Analytics availability and response,Incident response,4,hours,ServiceNow APM,Clinical Informatics,2,Improving,Operational escalation and executive review if breached.,ServiceNow,SLA-10,IT Service Management,2026-05-01,0.84,true,
SLA-011,Enterprise Reporting,CI-WH-SNOWFLAKE,Enterprise Reporting availability and response,Availability,99.9,percent,ServiceNow APM,Integration Operations,3,Stable,Operational escalation and executive review if breached.,ServiceNow,SLA-11,IT Service Management,2026-05-01,0.84,true,
SLA-012,Identity and Access,CI-SEC-OKTA,Identity and Access availability and response,Incident response,4,hours,ServiceNow APM,Revenue Cycle Technology,4,Stable,Operational escalation and executive review if breached.,ServiceNow,SLA-12,IT Service Management,2026-05-01,0.84,true,
SLA-013,Clinical Identity,CI-SEC-IMPRIVATA,Clinical Identity availability and response,Availability,99.9,percent,ServiceNow APM,Contact Center Technology,5,Worsening,Operational escalation and executive review if breached.,ServiceNow,SLA-13,IT Service Management,2026-05-01,0.84,true,
SLA-014,Cloud Hosting,CI-CLOUD-AWS-PROD,Cloud Hosting availability and response,Incident response,4,hours,ServiceNow APM,Cloud Platform Services,6,Worsening,Operational escalation and executive review if breached.,ServiceNow,SLA-14,IT Service Management,2026-05-01,0.84,true,
SLA-015,Cloud Hosting,CI-CLOUD-AZURE-PROD,Cloud Hosting availability and response,Availability,99.9,percent,ServiceNow APM,Research Technology Office,0,Stable,Operational escalation and executive review if breached.,ServiceNow,SLA-15,IT Service Management,2026-05-01,0.84,true,
SLA-016,Revenue Cycle Operations,CI-APP-ENSEMBLE-RCM,Revenue Cycle Operations availability and response,Incident response,4,hours,ServiceNow APM,Payer Platform Operations,1,Improving,Operational escalation and executive review if breached.,ServiceNow,SLA-16,IT Service Management,2026-05-01,0.84,true,
SLA-017,PACS Imaging,CI-APP-001,PACS Imaging availability and response,Availability,99.9,percent,ServiceNow APM,Contact Center Technology,2,Stable,Operational escalation and executive review if breached.,ServiceNow,SLA-17,IT Service Management,2026-05-01,0.84,true,
SLA-018,Laboratory Information System,CI-SVC-002,Laboratory Information System availability and response,Incident response,4,hours,ServiceNow APM,Cloud Platform Services,3,Stable,Operational escalation and executive review if breached.,ServiceNow,SLA-18,IT Service Management,2026-05-01,0.84,true,
SLA-019,Pharmacy Dispensing,CI-DATA-003,Pharmacy Dispensing availability and response,Availability,99.9,percent,ServiceNow APM,Research Technology Office,4,Improving,Operational escalation and executive review if breached.,ServiceNow,SLA-19,IT Service Management,2026-05-01,0.84,true,
