change_id,planned_start,planned_end,ci_id,business_service,change_type,risk_level,approval_group,implementation_owner,status,backout_plan_tested,caused_incident_id,source_system,source_record_id,source_owner,last_validated_date,confidence,evidence_usable,notes_gaps
CHG0048000,2026-01-01,2026-01-01,CI-APP-EPIC-HYPERSPACE,Clinical Documentation,Emergency,High,Clinical Change Advisory Board,Clinical Informatics,Failed,false,INC0120000,ServiceNow,CHG48000,Change Management,2026-05-01,0.83,false,
CHG0048001,2026-02-02,2026-02-02,CI-APP-SERVICENOW,IT Service Management,Normal,Low,Enterprise CAB,Research Technology Office,Scheduled,true,,ServiceNow,CHG48001,Change Management,2026-05-01,0.83,true,
CHG0048002,2026-03-03,2026-03-03,CI-WH-SNOWFLAKE,Enterprise Reporting,Normal,Low,Enterprise CAB,Clinical Informatics,Scheduled,true,,ServiceNow,CHG48002,Change Management,2026-05-01,0.83,true,
CHG0048003,2026-04-04,2026-04-04,CI-APP-ENSEMBLE-RCM,Revenue Cycle Operations,Normal,Low,Clinical Change Advisory Board,Research Technology Office,Implemented,true,,ServiceNow,CHG48003,Change Management,2026-05-01,0.83,true,
CHG0048004,2026-05-05,2026-05-05,CI-SVC-005,Referral Management,Standard,Low,Enterprise CAB,Payer Platform Operations,Scheduled,true,,ServiceNow,CHG48004,Change Management,2026-05-01,0.83,true,
CHG0048005,2026-06-06,2026-06-06,CI-APP-010,Clinical Trial Matching,Normal,Medium,Enterprise CAB,Integration Operations,Scheduled,true,,ServiceNow,CHG48005,Change Management,2026-05-01,0.83,true,
CHG0048006,2026-01-07,2026-01-07,CI-DATA-015,Telehealth Platform,Normal,Low,Clinical Change Advisory Board,Payer Platform Operations,Implemented,true,,ServiceNow,CHG48006,Change Management,2026-05-01,0.83,true,
CHG0048007,2026-02-08,2026-02-08,CI-SVC-020,Contract Lifecycle Management,Normal,Low,Enterprise CAB,Integration Operations,Scheduled,false,,ServiceNow,CHG48007,Change Management,2026-05-01,0.83,true,
CHG0048008,2026-03-09,2026-03-09,CI-APP-025,Referral Management,Standard,Low,Enterprise CAB,Payer Platform Operations,Scheduled,true,,ServiceNow,CHG48008,Change Management,2026-05-01,0.83,true,
CHG0048009,2026-04-10,2026-04-10,CI-DATA-030,Clinical Trial Matching,Normal,Low,Clinical Change Advisory Board,Integration Operations,Implemented,true,,ServiceNow,CHG48009,Change Management,2026-05-01,0.83,true,
