facility_id,business_unit_id,facility_name,facility_type,region,service_line,bed_count,annual_encounters,revenue_owner,it_site_owner,critical_services,source_system,source_record_id,source_owner,last_validated_date,confidence,evidence_usable,notes_gaps
FAC-MH-001,BU-ACUTE,Atlanta Medical Center,Hospital,Southeast,Acute Care,180,45000,Regional CFO,EHR Platform Engineering,Epic|Identity|Network|ServiceNow,Facilities master,FAC-1,Facilities Operations,2026-05-01,0.84,true,
FAC-MH-002,BU-ACUTE,North Valley Hospital,Hospital,Mid-Atlantic,Ambulatory,222,53750,Service Line Finance,Clinical Informatics,Epic|Identity|Network|ServiceNow,Facilities master,FAC-2,Facilities Operations,2026-05-01,0.84,true,
FAC-MH-003,BU-ACUTE,Central City Hospital,Hospital,North,Research,264,62500,Shared Services Finance,Integration Operations,Epic|Identity|Network|ServiceNow,Facilities master,FAC-3,Facilities Operations,2026-05-01,0.84,true,
FAC-MH-004,BU-ACUTE,Piedmont Community Hospital,Hospital,Central,Revenue Cycle,306,71250,Regional CFO,Revenue Cycle Technology,Epic|Identity|Network|ServiceNow,Facilities master,FAC-4,Facilities Operations,2026-05-01,0.84,true,
FAC-MH-005,BU-ACUTE,Riverbend Medical Center,Hospital,Southeast,Contact Center,348,80000,Service Line Finance,Contact Center Technology,Epic|Identity|Network|ServiceNow,Facilities master,FAC-5,Facilities Operations,2026-05-01,0.84,true,
FAC-MH-006,BU-ACUTE,Eastside Children's Hospital,Hospital,Mid-Atlantic,Population Health,390,88750,Shared Services Finance,Cloud Platform Services,Epic|Identity|Network|ServiceNow,Facilities master,FAC-6,Facilities Operations,2026-05-01,0.84,true,
FAC-MH-007,BU-AMBULATORY,West Market Clinic Network,Clinic,North,Acute Care,,97500,Regional CFO,Research Technology Office,Epic|Identity|Network|ServiceNow,Facilities master,FAC-7,Facilities Operations,2026-05-01,0.84,true,
FAC-MH-008,BU-AMBULATORY,Meridian Research Institute,Clinic,Central,Ambulatory,,106250,Service Line Finance,Payer Platform Operations,Epic|Identity|Network|ServiceNow,Facilities master,FAC-8,Facilities Operations,2026-05-01,0.84,true,
FAC-MH-009,BU-AMBULATORY,Meridian Contact Center North,Clinic,Southeast,Research,,115000,Shared Services Finance,Cybersecurity Governance,Epic|Identity|Network|ServiceNow,Facilities master,FAC-9,Facilities Operations,2026-05-01,0.84,true,
FAC-MH-010,BU-AMBULATORY,Meridian Shared Services Campus,Clinic,Mid-Atlantic,Revenue Cycle,,123750,Regional CFO,IT Sourcing,Epic|Identity|Network|ServiceNow,Facilities master,FAC-10,Facilities Operations,2026-05-01,0.84,true,
FAC-MH-011,BU-AMBULATORY,South Ridge Hospital,Clinic,North,Contact Center,,132500,Service Line Finance,EHR Platform Engineering,Epic|Identity|Network|ServiceNow,Facilities master,FAC-11,Facilities Operations,2026-05-01,0.84,true,
FAC-MH-012,BU-AMBULATORY,Lakeshore Hospital,Clinic,Central,Population Health,,141250,Shared Services Finance,Clinical Informatics,Epic|Identity|Network|ServiceNow,Facilities master,FAC-12,Facilities Operations,2026-05-01,0.84,true,
FAC-MH-013,BU-AMBULATORY,Northwest Ambulatory Hub,Clinic,Southeast,Acute Care,,150000,Regional CFO,Integration Operations,Epic|Identity|Network|ServiceNow,Facilities master,FAC-13,Facilities Operations,2026-05-01,0.84,true,
