tenant_key,target_table,planned_rows,write_status
first-capital-financial,intelligence_v7.source_files,20,not_run_preload_only
first-capital-financial,intelligence_v7.business_records,4840,not_run_preload_only
first-capital-financial,public.enterprise_context_facts,9680,not_run_preload_only
first-capital-financial,public.enterprise_context_evidence,140,not_run_preload_only
first-capital-financial,intelligence_v7.graph_nodes,1600,not_run_preload_only
first-capital-financial,intelligence_v7.relationship_edges,2600,not_run_preload_only
first-capital-financial,public.enterprise_context_chunks,4600,not_run_preload_only
skyharbor-air,intelligence_v7.source_files,20,not_run_preload_only
skyharbor-air,intelligence_v7.business_records,4840,not_run_preload_only
skyharbor-air,public.enterprise_context_facts,9680,not_run_preload_only
skyharbor-air,public.enterprise_context_evidence,140,not_run_preload_only
skyharbor-air,intelligence_v7.graph_nodes,1600,not_run_preload_only
skyharbor-air,intelligence_v7.relationship_edges,2600,not_run_preload_only
skyharbor-air,public.enterprise_context_chunks,4600,not_run_preload_only
