tenant_key,layer,count,persistence_status,active_runtime_visible
first-capital-financial,source_template_files,19,generated_preload_only,false
first-capital-financial,source_template_rows,4840,generated_preload_only,false
first-capital-financial,interview_rows,216,generated_preload_only,false
first-capital-financial,canonical_records,4840,generated_preload_only,false
first-capital-financial,canonical_facts,9680,generated_preload_only,false
first-capital-financial,entity_profiles,1100,generated_preload_only,false
first-capital-financial,graph_nodes,1600,generated_preload_only,false
first-capital-financial,graph_edges,2600,generated_preload_only,false
first-capital-financial,context_gaps,2100,generated_preload_only,false
first-capital-financial,evidence_references,140,generated_preload_only,false
first-capital-financial,retrieval_chunks,4600,generated_preload_only,false
first-capital-financial,approved_programs,12,generated_preload_only,false
first-capital-financial,candidate_ai_opportunities,12,generated_preload_only,false
first-capital-financial,budget_rows,76,generated_preload_only,false
skyharbor-air,source_template_files,19,generated_preload_only,false
skyharbor-air,source_template_rows,4840,generated_preload_only,false
skyharbor-air,interview_rows,216,generated_preload_only,false
skyharbor-air,canonical_records,4840,generated_preload_only,false
skyharbor-air,canonical_facts,9680,generated_preload_only,false
skyharbor-air,entity_profiles,1100,generated_preload_only,false
skyharbor-air,graph_nodes,1600,generated_preload_only,false
skyharbor-air,graph_edges,2600,generated_preload_only,false
skyharbor-air,context_gaps,2100,generated_preload_only,false
skyharbor-air,evidence_references,140,generated_preload_only,false
skyharbor-air,retrieval_chunks,4600,generated_preload_only,false
skyharbor-air,approved_programs,12,generated_preload_only,false
skyharbor-air,candidate_ai_opportunities,12,generated_preload_only,false
skyharbor-air,budget_rows,76,generated_preload_only,false
