data_domain_id,domain_name,data_owner,data_steward,source_systems,critical_data_elements,classification,quality_score,retention_policy,ai_use_allowed,last_quality_review,source_system,source_record_id,source_owner,last_validated_date,confidence,evidence_usable,notes_gaps
DATA-MH-001,Orders Domain 1,CMO,Epic Analytics,CI-APP-EPIC-CABOODLE|CI-IAM-ENTRA,Patient ID|Encounter ID|Owner|Timestamp|Status,Restricted,0.69,Enterprise healthcare retention schedule,Allowed with governance,2026-02-11,Data catalog,DATA-MH-001,Data Governance,2026-06-04,0.82,true,
DATA-MH-002,Medication Domain 1,CRO,Revenue Cycle Analytics,CI-APP-EPIC-CLARITY|CI-LEGACY-VM-011,Patient ID|Encounter ID|Owner|Timestamp|Status,Internal,0.7,Enterprise healthcare retention schedule,Allowed with governance,2026-02-12,Data catalog,DATA-MH-002,Data Governance,2026-06-04,0.82,true,
DATA-MH-003,Revenue Cycle Domain 1,Health Plan President,Health Plan Analytics,CI-APP-EPIC-MYCHART|CI-LEGACY-VM-024,Patient ID|Encounter ID|Owner|Timestamp|Status,Restricted,0.71,Enterprise healthcare retention schedule,Restricted,2026-02-13,Data catalog,DATA-MH-003,Data Governance,2026-06-04,0.82,true,
DATA-MH-004,Claims Domain 1,CFO,Cloud Data Platform,CI-APP-EPIC-RESOLUTE-HB|CI-LEGACY-VM-037,Patient ID|Encounter ID|Owner|Timestamp|Status,Internal,0.72,Enterprise healthcare retention schedule,Allowed with governance,2026-02-14,Data catalog,DATA-MH-004,Data Governance,2026-06-04,0.82,true,
DATA-MH-005,Member Domain 1,CDAO,Data Governance,CI-APP-EPIC-RESOLUTE-PB|CI-LEGACY-VM-050,Patient ID|Encounter ID|Owner|Timestamp|Status,Restricted,0.73,Enterprise healthcare retention schedule,Allowed with governance,2026-02-15,Data catalog,DATA-MH-005,Data Governance,2026-06-04,0.82,true,
DATA-MH-006,Provider Domain 1,CMO,Epic Analytics,CI-INT-RHAPSODY|CI-LEGACY-VM-063,Patient ID|Encounter ID|Owner|Timestamp|Status,Internal,0.74,Enterprise healthcare retention schedule,Restricted,2026-02-16,Data catalog,DATA-MH-006,Data Governance,2026-06-04,0.82,true,
DATA-MH-007,Access Domain 1,CRO,Revenue Cycle Analytics,CI-API-FHIR-GATEWAY|CI-LEGACY-VM-076,Patient ID|Encounter ID|Owner|Timestamp|Status,Restricted,0.75,Enterprise healthcare retention schedule,Allowed with governance,2026-02-17,Data catalog,DATA-MH-007,Data Governance,2026-06-04,0.82,true,
DATA-MH-008,Care Management Domain 1,Health Plan President,Health Plan Analytics,CI-ERP-ORACLE|CI-LEGACY-VM-089,Patient ID|Encounter ID|Owner|Timestamp|Status,Internal,0.76,Enterprise healthcare retention schedule,Allowed with governance,2026-02-18,Data catalog,DATA-MH-008,Data Governance,2026-06-04,0.82,true,
DATA-MH-009,Quality Domain 1,CFO,Cloud Data Platform,CI-HCM-WORKDAY|CI-LEGACY-VM-102,Patient ID|Encounter ID|Owner|Timestamp|Status,Restricted,0.77,Enterprise healthcare retention schedule,Restricted,2026-02-19,Data catalog,DATA-MH-009,Data Governance,2026-06-04,0.82,true,
DATA-MH-010,Finance Domain 1,CDAO,Data Governance,CI-ITSM-SERVICENOW|CI-LEGACY-VM-115,Patient ID|Encounter ID|Owner|Timestamp|Status,Internal,0.78,Enterprise healthcare retention schedule,Allowed with governance,2026-02-20,Data catalog,DATA-MH-010,Data Governance,2026-06-04,0.82,true,
DATA-MH-011,Supply Chain Domain 1,CMO,Epic Analytics,CI-DATA-DATABRICKS|CI-LEGACY-VM-128,Patient ID|Encounter ID|Owner|Timestamp|Status,Restricted,0.79,Enterprise healthcare retention schedule,Allowed with governance,2026-02-21,Data catalog,DATA-MH-011,Data Governance,2026-06-04,0.82,true,
