sla_id,business_service,ci_id,sla_name,metric_name,target_value,unit,measurement_source,owner,breach_count_90d,trending_status,penalty_or_impact,source_system,source_record_id,source_owner,last_validated_date,confidence,evidence_usable,notes_gaps
SLA-MH-0001,Revenue Cycle,CI-APP-EPIC-CABOODLE,Revenue Cycle availability SLA,P1 response,30,minutes,ServiceNow and observability platform,Epic Platform Operations,1,Flat,Operational escalation,SLA repository,SLA-MH-0001,Service Management,2026-06-04,0.83,true,
SLA-MH-0002,Patient Access,CI-APP-EPIC-CLARITY,Patient Access availability SLA,Batch completion,4,hours,ServiceNow and observability platform,Integration Operations,2,Worsening,Operational escalation,SLA repository,SLA-MH-0002,Service Management,2026-06-04,0.83,true,
SLA-MH-0003,Claims,CI-APP-EPIC-MYCHART,Claims availability SLA,API latency,250,milliseconds,ServiceNow and observability platform,Platform Reliability,3,Improving,Operational escalation,SLA repository,SLA-MH-0003,Service Management,2026-06-04,0.83,true,
SLA-MH-0004,Care Management,CI-APP-EPIC-RESOLUTE-HB,Care Management availability SLA,Availability,99.9,percent,ServiceNow and observability platform,Epic Platform Operations,4,Flat,Operational escalation,SLA repository,SLA-MH-0004,Service Management,2026-06-04,0.83,true,
SLA-MH-0005,Cloud Hosting,CI-APP-EPIC-RESOLUTE-PB,Cloud Hosting availability SLA,P1 response,30,minutes,ServiceNow and observability platform,Integration Operations,5,Worsening,Operational escalation,SLA repository,SLA-MH-0005,Service Management,2026-06-04,0.83,true,
SLA-MH-0006,Enterprise Analytics,CI-INT-RHAPSODY,Enterprise Analytics availability SLA,Batch completion,4,hours,ServiceNow and observability platform,Platform Reliability,6,Improving,Operational escalation,SLA repository,SLA-MH-0006,Service Management,2026-06-04,0.83,true,
SLA-MH-0007,Clinical Documentation,CI-API-FHIR-GATEWAY,Clinical Documentation availability SLA,API latency,250,milliseconds,ServiceNow and observability platform,Epic Platform Operations,7,Flat,Clinical continuity risk,SLA repository,SLA-MH-0007,Service Management,2026-06-04,0.83,true,
SLA-MH-0008,Revenue Cycle,CI-ERP-ORACLE,Revenue Cycle availability SLA,Availability,99.9,percent,ServiceNow and observability platform,Integration Operations,8,Worsening,Operational escalation,SLA repository,SLA-MH-0008,Service Management,2026-06-04,0.83,true,
SLA-MH-0009,Patient Access,CI-HCM-WORKDAY,Patient Access availability SLA,P1 response,30,minutes,ServiceNow and observability platform,Platform Reliability,0,Improving,Operational escalation,SLA repository,SLA-MH-0009,Service Management,2026-06-04,0.83,true,
SLA-MH-0010,Claims,CI-ITSM-SERVICENOW,Claims availability SLA,Batch completion,4,hours,ServiceNow and observability platform,Epic Platform Operations,1,Flat,Operational escalation,SLA repository,SLA-MH-0010,Service Management,2026-06-04,0.83,true,
SLA-MH-0011,Care Management,CI-DATA-DATABRICKS,Care Management availability SLA,API latency,250,milliseconds,ServiceNow and observability platform,Integration Operations,2,Worsening,Operational escalation,SLA repository,SLA-MH-0011,Service Management,2026-06-04,0.83,true,
SLA-MH-0012,Cloud Hosting,CI-DATA-COLLIBRA,Cloud Hosting availability SLA,Availability,99.9,percent,ServiceNow and observability platform,Platform Reliability,3,Improving,Operational escalation,SLA repository,SLA-MH-0012,Service Management,2026-06-04,0.83,true,
SLA-MH-0013,Enterprise Analytics,CI-IAM-ENTRA,Enterprise Analytics availability SLA,P1 response,30,minutes,ServiceNow and observability platform,Epic Platform Operations,4,Flat,Operational escalation,SLA repository,SLA-MH-0013,Service Management,2026-06-04,0.83,true,
SLA-MH-0014,Clinical Documentation,CI-SEC-CROWDSTRIKE,Clinical Documentation availability SLA,Batch completion,4,hours,ServiceNow and observability platform,Integration Operations,5,Worsening,Clinical continuity risk,SLA repository,SLA-MH-0014,Service Management,2026-06-04,0.83,true,
SLA-MH-0015,Revenue Cycle,CI-AWS-LANDING-ZONE,Revenue Cycle availability SLA,API latency,250,milliseconds,ServiceNow and observability platform,Platform Reliability,6,Improving,Operational escalation,SLA repository,SLA-MH-0015,Service Management,2026-06-04,0.83,true,
SLA-MH-0016,Patient Access,CI-LEGACY-VM-001,Patient Access availability SLA,Availability,99.9,percent,ServiceNow and observability platform,Epic Platform Operations,7,Flat,Operational escalation,SLA repository,SLA-MH-0016,Service Management,2026-06-04,0.83,true,
SLA-MH-0017,Claims,CI-LEGACY-VM-002,Claims availability SLA,P1 response,30,minutes,ServiceNow and observability platform,Integration Operations,8,Worsening,Operational escalation,SLA repository,SLA-MH-0017,Service Management,2026-06-04,0.83,true,
SLA-MH-0018,Care Management,CI-LEGACY-VM-003,Care Management availability SLA,Batch completion,4,hours,ServiceNow and observability platform,Platform Reliability,0,Improving,Operational escalation,SLA repository,SLA-MH-0018,Service Management,2026-06-04,0.83,true,
SLA-MH-0019,Cloud Hosting,CI-LEGACY-VM-004,Cloud Hosting availability SLA,API latency,250,milliseconds,ServiceNow and observability platform,Epic Platform Operations,1,Flat,Operational escalation,SLA repository,SLA-MH-0019,Service Management,2026-06-04,0.83,true,
SLA-MH-0020,Enterprise Analytics,CI-LEGACY-VM-005,Enterprise Analytics availability SLA,Availability,99.9,percent,ServiceNow and observability platform,Integration Operations,2,Worsening,Operational escalation,SLA repository,SLA-MH-0020,Service Management,2026-06-04,0.83,true,
SLA-MH-0021,Clinical Documentation,CI-LEGACY-VM-006,Clinical Documentation availability SLA,P1 response,30,minutes,ServiceNow and observability platform,Platform Reliability,3,Improving,Clinical continuity risk,SLA repository,SLA-MH-0021,Service Management,2026-06-04,0.83,true,
SLA-MH-0022,Revenue Cycle,CI-LEGACY-VM-007,Revenue Cycle availability SLA,Batch completion,4,hours,ServiceNow and observability platform,Epic Platform Operations,4,Flat,Operational escalation,SLA repository,SLA-MH-0022,Service Management,2026-06-04,0.83,true,
SLA-MH-0023,Patient Access,CI-LEGACY-VM-008,Patient Access availability SLA,API latency,250,milliseconds,ServiceNow and observability platform,Integration Operations,5,Worsening,Operational escalation,SLA repository,SLA-MH-0023,Service Management,2026-06-04,0.83,true,
SLA-MH-0024,Claims,CI-LEGACY-VM-009,Claims availability SLA,Availability,99.9,percent,ServiceNow and observability platform,Platform Reliability,6,Improving,Operational escalation,SLA repository,SLA-MH-0024,Service Management,2026-06-04,0.83,true,
SLA-MH-0025,Care Management,CI-LEGACY-VM-010,Care Management availability SLA,P1 response,30,minutes,ServiceNow and observability platform,Epic Platform Operations,7,Flat,Operational escalation,SLA repository,SLA-MH-0025,Service Management,2026-06-04,0.83,true,
SLA-MH-0026,Cloud Hosting,CI-LEGACY-VM-011,Cloud Hosting availability SLA,Batch completion,4,hours,ServiceNow and observability platform,Integration Operations,8,Worsening,Operational escalation,SLA repository,SLA-MH-0026,Service Management,2026-06-04,0.83,true,
SLA-MH-0027,Enterprise Analytics,CI-LEGACY-VM-012,Enterprise Analytics availability SLA,API latency,250,milliseconds,ServiceNow and observability platform,Platform Reliability,0,Improving,Operational escalation,SLA repository,SLA-MH-0027,Service Management,2026-06-04,0.83,true,
SLA-MH-0028,Clinical Documentation,CI-LEGACY-VM-013,Clinical Documentation availability SLA,Availability,99.9,percent,ServiceNow and observability platform,Epic Platform Operations,1,Flat,Clinical continuity risk,SLA repository,SLA-MH-0028,Service Management,2026-06-04,0.83,true,
SLA-MH-0029,Revenue Cycle,CI-LEGACY-VM-014,Revenue Cycle availability SLA,P1 response,30,minutes,ServiceNow and observability platform,Integration Operations,2,Worsening,Operational escalation,SLA repository,SLA-MH-0029,Service Management,2026-06-04,0.83,true,
SLA-MH-0030,Patient Access,CI-LEGACY-VM-015,Patient Access availability SLA,Batch completion,4,hours,ServiceNow and observability platform,Platform Reliability,3,Improving,Operational escalation,SLA repository,SLA-MH-0030,Service Management,2026-06-04,0.83,true,
SLA-MH-0031,Claims,CI-LEGACY-VM-016,Claims availability SLA,API latency,250,milliseconds,ServiceNow and observability platform,Epic Platform Operations,4,Flat,Operational escalation,SLA repository,SLA-MH-0031,Service Management,2026-06-04,0.83,true,
SLA-MH-0032,Care Management,CI-LEGACY-VM-017,Care Management availability SLA,Availability,99.9,percent,ServiceNow and observability platform,Integration Operations,5,Worsening,Operational escalation,SLA repository,SLA-MH-0032,Service Management,2026-06-04,0.83,true,
SLA-MH-0033,Cloud Hosting,CI-LEGACY-VM-018,Cloud Hosting availability SLA,P1 response,30,minutes,ServiceNow and observability platform,Platform Reliability,6,Improving,Operational escalation,SLA repository,SLA-MH-0033,Service Management,2026-06-04,0.83,true,
SLA-MH-0034,Enterprise Analytics,CI-LEGACY-VM-019,Enterprise Analytics availability SLA,Batch completion,4,hours,ServiceNow and observability platform,Epic Platform Operations,7,Flat,Operational escalation,SLA repository,SLA-MH-0034,Service Management,2026-06-04,0.83,true,
SLA-MH-0035,Clinical Documentation,CI-LEGACY-VM-020,Clinical Documentation availability SLA,API latency,250,milliseconds,ServiceNow and observability platform,Integration Operations,8,Worsening,Clinical continuity risk,SLA repository,SLA-MH-0035,Service Management,2026-06-04,0.83,true,
